      Date	    Open	    High	    Low	  Close  Volume	    	    Total
2015-09-02	12.59	14.29	12.39	12.80	41581627	620592192.00
2015-09-07	13.17	13.79	12.84	12.97	31333918	470999296.00
2015-09-08	13.09	14.02	12.64	13.89	30980853	467367264.00
2015-09-09	13.99	15.09	13.81	15.04	50697661	818334144.00
2015-09-10	14.54	15.55	14.34	14.58	45775621	758493312.00
2015-09-11	14.47	14.87	14.21	14.66	28756801	467672032.00
2015-09-14	15.01	15.18	13.02	13.04	41781011	653177152.00
2015-09-15	12.56	12.98	11.57	11.59	34953506	486714336.00
2015-09-16	11.78	12.92	11.57	12.92	40413116	564991424.00
2015-09-17	12.92	13.59	12.27	12.45	47317258	702361536.00
2015-09-18	12.69	12.88	12.25	12.61	27399946	389670496.00
2015-09-21	12.51	13.59	12.29	13.58	39599707	587511168.00
2015-09-22	13.67	13.77	13.09	13.51	38005561	577489152.00
2015-09-23	13.09	13.46	12.99	13.20	26042993	389206720.00
2015-09-24	13.20	13.80	13.15	13.58	28402911	432035840.00
2015-09-25	13.39	13.86	12.89	13.01	28549267	430429888.00
2015-09-28	13.10	13.24	12.74	13.09	13791982	202677376.00
2015-09-29	12.84	13.03	12.60	12.65	15977301	231373280.00
2015-09-30	12.79	12.88	12.54	12.67	12174640	175455088.00
2015-10-08	13.19	13.69	13.01	13.41	23662912	356866976.00
2015-10-09	13.47	13.54	13.19	13.50	25326550	382792736.00
2015-10-12	13.69	14.57	13.48	14.27	43022624	680405440.00
2015-10-13	14.32	14.69	14.10	14.38	41830977	675365248.00
2015-10-14	14.35	14.63	14.19	14.34	36271831	584526848.00
2015-10-15	14.24	15.39	14.10	15.19	51805134	858427968.00
2015-10-16	15.28	15.36	14.85	15.31	53114017	894430592.00
2015-10-19	15.31	15.68	14.79	14.95	44416258	750841280.00
2015-10-20	15.05	15.27	14.79	15.22	33369238	559729280.00
2015-10-21	15.25	15.37	13.53	13.55	47274679	765079552.00
2015-10-22	13.35	14.05	13.25	14.00	31527753	486037632.00
2015-10-23	14.02	14.20	13.70	14.13	30134237	473011904.00
2015-10-26	14.47	14.64	14.11	14.32	32522971	522228288.00
2015-10-27	14.26	14.26	13.39	14.22	27044469	422481792.00
2015-10-28	14.06	14.63	14.05	14.22	31531987	506606720.00
2015-10-29	14.32	14.48	14.05	14.18	23933197	381271168.00
2015-10-30	14.19	14.26	13.80	13.94	17879418	281229792.00
2015-11-02	13.60	14.14	13.47	13.58	17727106	273744832.00
2015-11-03	13.54	13.74	13.39	13.52	13190845	201013616.00
2015-11-04	13.54	14.23	13.53	14.20	40707936	637389824.00
2015-11-05	14.31	15.50	14.06	14.95	77310892	1277804288.00
2015-11-06	14.95	15.17	14.79	15.07	50585062	842584128.00
2015-11-09	15.00	15.47	14.99	15.20	53942366	913854080.00
2015-11-10	15.18	15.18	14.79	15.10	40826580	682938880.00
2015-11-11	15.17	15.59	15.08	15.52	46141340	787425536.00
2015-11-12	15.64	15.64	15.07	15.19	36195100	614172416.00
2015-11-13	14.99	15.60	14.89	15.15	44848365	764306368.00
2015-11-16	14.60	15.07	14.60	15.05	25480829	421449312.00
2015-11-17	15.23	15.54	14.95	15.09	39330371	668485696.00
2015-11-18	15.19	15.24	14.60	14.69	21257104	353108416.00
2015-11-19	14.86	14.94	14.53	14.93	17436231	286259904.00
2015-11-20	14.92	15.04	14.74	14.89	21272429	352683424.00
2015-11-23	14.79	15.03	14.57	14.67	20960836	345745056.00
2015-11-24	14.59	14.68	14.33	14.51	17055336	275486464.00
2015-11-25	14.48	14.67	14.39	14.61	17990801	291870016.00
2015-11-26	14.61	14.69	14.41	14.45	18626742	302355488.00
2015-11-27	14.38	14.58	13.24	13.40	27897409	439318272.00
2015-11-30	13.78	14.18	13.12	13.96	26650189	412404128.00
2015-12-01	14.19	14.19	13.56	13.77	16383052	253459616.00
