600162 香江控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	2.94	3.21	2.86	2.92	15771200	93133000.00
2015-09-07	2.92	3.17	2.92	3.06	14856700	89582000.00
2015-09-08	3.07	3.29	3.00	3.28	14098400	86490000.00
2015-09-09	3.30	3.46	3.28	3.41	20002900	128993000.00
2015-09-10	3.32	3.39	3.22	3.24	14367200	91468000.00
2015-09-11	3.25	3.36	3.19	3.35	15150700	95636000.00
2015-09-14	3.36	3.40	2.92	2.92	17530100	105855000.00
2015-09-15	2.78	2.90	2.60	2.64	13193800	73014000.00
2015-09-16	2.70	3.00	2.69	2.98	13155400	74141000.00
2015-09-17	2.92	3.14	2.86	2.88	16185500	94720000.00
2015-09-18	2.92	2.96	2.85	2.91	9326400	53515000.00
2015-09-21	2.86	3.06	2.86	3.04	11109300	65187000.00
2015-09-22	3.08	3.13	3.01	3.10	12933600	77792000.00
2015-09-23	3.03	3.10	3.00	3.06	12197200	72794000.00
2015-09-24	3.06	3.19	3.06	3.16	10121200	61656000.00
2015-09-25	3.12	3.18	3.00	3.02	11073500	66480000.00
2015-09-28	3.02	3.12	2.92	3.08	6457600	38436000.00
2015-09-29	3.03	3.05	2.94	2.98	5841200	34328000.00
2015-09-30	2.98	3.31	2.98	3.17	13780100	84074000.00
2015-10-08	3.34	3.36	3.21	3.30	16842200	106665000.00
2015-10-09	3.32	3.35	3.23	3.33	10808400	68530000.00
2015-10-12	3.35	3.53	3.31	3.48	20120000	131986000.00
2015-10-15	3.69	3.78	3.56	3.70	26313600	182110000.00
2015-10-16	3.68	3.76	3.58	3.71	19376000	133931000.00
2015-10-19	3.74	4.13	3.71	3.83	24568100	176472992.00
2015-10-20	3.82	3.90	3.70	3.86	14715200	103989000.00
2015-10-21	3.82	3.84	3.40	3.48	20712500	143172000.00
2015-10-22	3.49	3.72	3.49	3.68	15357100	104933000.00
2015-10-23	3.72	3.98	3.69	3.86	16879900	120599000.00
2015-10-26	3.88	4.34	3.88	4.34	47031400	364347008.00
2015-11-16	4.87	4.87	4.65	4.87	16333600	140990000.00
2015-11-17	5.14	5.21	4.46	4.84	47513000	420764000.00
2015-11-18	4.86	5.15	4.79	4.86	34644900	306764000.00
2015-11-19	4.82	4.88	4.53	4.86	26845300	226170000.00
2015-11-20	4.74	4.96	4.72	4.83	17393000	149442000.00
2015-11-23	4.86	5.40	4.78	5.26	32326900	290832992.00
