600168 武汉控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	5.46	6.03	5.36	5.61	12706940	113961072.00
2015-09-07	5.78	6.05	5.68	5.77	13957507	128626368.00
2015-09-08	5.75	6.23	5.67	6.21	13145799	122338528.00
2015-09-09	6.23	6.48	6.18	6.43	16703658	165303888.00
2015-09-10	6.27	6.39	6.13	6.18	11643901	114461776.00
2015-09-11	6.22	6.82	6.17	6.79	30609072	311314880.00
2015-09-14	6.84	6.84	6.04	6.11	27869427	279462560.00
2015-09-15	5.88	6.45	5.81	5.93	16701183	159840736.00
2015-09-16	6.01	6.59	5.86	6.53	18387781	179580704.00
2015-09-17	6.43	6.72	6.28	6.28	22987390	231398448.00
2015-09-18	6.33	6.58	6.18	6.47	15295545	152141824.00
2015-09-21	6.31	6.72	6.28	6.64	16816684	170646800.00
2015-09-22	6.65	6.71	6.46	6.56	13852468	141764992.00
2015-09-23	6.41	6.53	6.27	6.29	10805673	107418072.00
2015-09-24	6.33	6.48	6.30	6.43	8885203	88730848.00
2015-09-25	6.39	6.58	6.18	6.33	13658814	136367216.00
2015-09-28	6.33	6.41	6.15	6.38	6838894	67325880.00
2015-09-29	6.24	6.33	6.13	6.17	6699260	65099808.00
2015-09-30	6.22	6.26	6.13	6.19	4493146	43565316.00
2016-04-07	6.88	6.88	6.88	6.88	1585491	16885480.00
2016-04-08	7.49	7.65	7.17	7.65	53757926	609771136.00
2016-04-11	7.67	7.76	7.36	7.48	37705356	435916448.00
2016-04-12	7.40	7.40	7.16	7.25	20113680	224724944.00
2016-04-13	7.26	7.53	7.26	7.41	25670680	290049248.00
2016-04-14	7.36	7.41	7.21	7.30	16180376	181858640.00
2016-04-15	7.29	7.31	7.18	7.22	11542725	128324400.00
2016-04-18	7.18	7.43	7.06	7.36	20533672	230066624.00
2016-04-19	7.38	7.42	7.26	7.38	12646921	142664272.00
2016-04-20	7.35	7.40	6.78	6.93	15547253	169585136.00
2016-04-21	6.91	7.04	6.80	6.88	7473287	80161488.00
2016-04-22	6.86	7.05	6.76	7.01	7601335	81278480.00
2016-04-25	6.86	7.03	6.81	7.02	6051015	64839988.00
2016-04-26	6.99	7.13	6.96	7.13	5751761	62612788.00
2016-04-27	7.16	7.18	6.99	7.01	5981013	65236916.00
2016-04-28	7.02	7.06	6.74	6.92	6004080	63028864.00
2016-04-29	6.88	7.07	6.69	6.92	5310576	56019028.00
2016-05-03	6.90	7.27	6.88	7.21	8684345	94228352.00
2016-05-04	7.22	7.24	7.12	7.19	5753869	62841040.00
2016-05-05	7.19	7.24	7.14	7.21	5100138	55842772.00
2016-05-06	7.17	7.55	7.17	7.25	25183414	281140640.00
2016-05-09	7.19	7.19	6.63	6.69	13603609	142144464.00
2016-05-10	6.66	6.77	6.48	6.55	6987408	70271360.00
2016-05-11	6.64	6.64	6.44	6.47	5138062	51371976.00
2016-05-12	6.35	6.49	6.17	6.47	5970829	58267308.00
2016-05-13	6.44	6.52	6.38	6.47	4026471	39952272.00
2016-05-16	6.47	6.52	6.30	6.51	3431667	33802152.00
2016-05-17	6.49	6.54	6.41	6.42	3628454	36046476.00
2016-05-18	6.38	6.38	6.04	6.14	5327927	50828524.00
2016-05-19	6.15	6.22	6.06	6.08	3807593	36098164.00
2016-05-20	6.07	6.14	5.97	6.13	3212879	30084946.00
2016-05-23	6.13	6.28	6.11	6.26	5015230	47663996.00
2016-05-24	6.22	6.24	6.12	6.14	2654336	25206512.00
2016-05-25	6.20	6.22	6.07	6.08	3590307	33983704.00
2016-05-26	6.05	6.12	5.96	6.08	3677951	34271276.00
2016-05-27	6.07	6.12	6.04	6.09	2707202	25417704.00
2016-05-30	6.06	6.12	6.00	6.04	2100700	19657836.00
2016-05-31	6.04	6.31	6.04	6.30	6864149	65843812.00
2016-06-01	6.28	6.39	6.27	6.32	6616669	64465728.00
2016-06-02	6.29	6.54	6.27	6.53	9326903	91979048.00
2016-06-03	6.49	6.51	6.39	6.44	7560463	74763984.00
2016-06-06	6.43	6.47	6.37	6.39	5603510	55120540.00
2016-06-07	6.41	6.42	6.34	6.40	3912219	38353140.00
2016-06-08	6.39	6.40	6.31	6.34	4659357	45458376.00
2016-06-13	6.25	6.27	6.02	6.09	6007643	57076028.00
2016-06-14	6.04	6.09	6.02	6.06	2910424	27186946.00
2016-06-15	6.03	6.21	5.99	6.19	4634493	43905856.00
2016-06-16	6.15	6.19	6.07	6.11	3572443	33728844.00
2016-06-17	6.12	6.22	6.07	6.09	5093580	48238544.00
2016-06-20	6.09	6.16	6.06	6.14	4256143	40114860.00
2016-06-21	6.15	6.20	6.09	6.10	4947826	46887680.00
