600262 北方股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	26.55	30.79	26.49	26.53	4037862	119385200.00
2015-09-07	26.94	29.33	26.94	29.33	3345679	102474200.00
2015-09-08	30.49	32.41	29.64	32.41	4571496	148436912.00
2015-09-09	32.09	35.73	32.08	35.07	6166465	221569328.00
2015-09-10	34.63	36.52	33.04	33.55	5787263	209603184.00
2015-09-11	33.56	35.72	33.09	34.94	5636806	202901456.00
2015-09-14	35.49	37.04	31.87	32.57	6250698	225062128.00
2015-09-15	30.14	34.14	30.14	33.85	4493635	152909040.00
2015-09-16	33.93	37.38	33.93	37.38	5790635	215728672.00
2015-09-17	37.48	39.54	35.24	35.30	9710370	376228192.00
2015-09-18	34.75	36.06	33.55	34.44	4876243	176830176.00
2015-09-21	33.54	38.03	32.54	38.03	5639759	212141632.00
2015-09-22	38.53	39.13	36.79	37.62	5357915	210976720.00
2015-09-23	36.72	38.28	35.84	37.18	3221848	125031024.00
2015-09-24	37.44	38.14	36.12	36.59	2975852	114261136.00
2015-09-25	36.64	38.39	35.83	36.89	4530621	176318096.00
2015-09-28	36.74	36.76	34.56	35.73	3529997	130263008.00
2015-09-29	35.20	36.27	34.34	34.84	2602811	95094120.00
2015-09-30	35.51	37.03	34.85	35.24	2053730	76424176.00
2015-10-08	37.04	37.42	35.66	36.92	2499566	95355344.00
2015-10-09	36.59	37.09	35.91	36.91	3043554	115640736.00
2015-10-12	37.84	40.62	37.08	40.13	3955038	159339888.00
2015-10-13	39.14	40.54	39.14	39.38	2851279	117270696.00
2015-10-14	39.18	39.98	37.96	38.06	2858950	114050968.00
2015-10-15	38.05	38.72	37.44	38.69	1987762	79220840.00
2015-10-16	38.98	39.95	37.91	38.60	2284687	91961648.00
2015-10-19	38.60	38.88	36.94	37.98	2393672	93306384.00
2015-10-20	37.98	38.45	37.09	38.40	2109031	82413808.00
2015-10-21	38.54	38.59	34.54	35.07	3236463	123171472.00
2015-10-22	34.73	36.16	34.31	35.75	2071701	76099248.00
2015-10-23	35.85	36.52	34.75	36.32	2318525	85879056.00
2015-10-26	36.30	37.64	36.30	36.95	1874993	72034240.00
2015-10-27	37.09	38.27	35.62	37.84	3153713	122861344.00
2015-10-28	37.84	38.54	36.38	36.97	1715940	66791148.00
2015-10-29	36.70	37.26	35.83	36.33	1858906	70284168.00
2015-10-30	36.32	36.51	35.34	35.48	1635626	61078536.00
2015-11-02	33.84	35.89	33.54	34.69	1163724	42434232.00
2015-11-03	35.04	36.04	34.24	35.43	1189385	43616584.00
2015-11-04	35.84	36.54	35.09	36.42	1237767	46414776.00
2015-11-05	36.50	36.93	35.24	35.80	1774083	66624332.00
2015-11-06	35.85	37.14	35.54	37.11	1983102	75278648.00
2015-11-09	36.64	38.36	36.56	37.82	2854040	111418640.00
2015-11-10	37.55	37.78	37.02	37.42	1886041	73171976.00
2015-11-11	37.34	37.99	37.14	37.72	1565481	61420344.00
2015-11-12	37.65	37.84	36.84	37.40	1812853	70095848.00
2015-11-13	37.06	38.54	36.59	37.78	2740024	107966416.00
2015-11-16	37.43	40.67	35.35	40.56	6573063	267082400.00
2015-11-17	40.41	44.34	40.14	43.55	6524168	288405728.00
2015-11-18	42.64	43.98	42.04	42.71	2877374	127295704.00
2015-11-19	42.36	46.52	42.36	45.76	4113097	191871712.00
2015-11-20	45.77	46.42	44.04	45.52	3558243	166537952.00
2015-11-23	44.54	46.04	44.06	44.83	1999175	92643200.00
2015-11-24	44.85	45.40	43.15	43.57	1612869	72961520.00
2015-11-25	44.50	44.51	43.56	44.04	1102244	50060204.00
2015-11-26	44.04	47.83	43.84	46.72	2709800	128779256.00
2015-11-27	46.94	48.04	41.91	41.95	2699520	124636880.00
2015-11-30	42.05	43.29	39.04	41.50	2607922	112424360.00
2015-12-01	41.91	42.43	39.60	40.22	1447912	61957884.00
2015-12-02	40.22	41.34	36.54	39.53	1224484	49555220.00
2015-12-03	39.54	42.14	39.13	41.90	1255150	53278248.00
2015-12-04	41.90	43.39	41.31	41.91	1105158	48288404.00
2015-12-07	42.34	46.25	42.34	46.25	5705503	267550784.00
2015-12-08	46.35	47.53	43.72	44.01	2624926	122512528.00
2015-12-09	43.55	46.27	42.92	45.47	1497794	69093432.00
2015-12-10	45.00	45.88	43.16	43.22	1381900	62701056.00
2015-12-11	43.04	43.68	41.34	42.81	850730	37419728.00
2015-12-14	43.55	44.49	41.93	43.30	1443765	64079448.00
2015-12-15	43.30	45.79	42.57	43.82	1948487	89385472.00
2015-12-16	43.30	43.80	41.91	42.36	2565193	112643920.00
2015-12-17	42.52	43.99	42.12	43.85	2574981	113861128.00
2015-12-18	43.24	44.80	43.19	44.44	2469191	113006656.00
2015-12-21	44.52	45.02	43.54	43.74	1776619	80909456.00
2015-12-22	43.80	44.03	41.75	42.66	1762797	77550272.00
2015-12-23	42.65	42.93	41.95	42.72	1464434	64136668.00
2015-12-24	42.64	42.99	41.34	41.74	806827	34995420.00
2015-12-25	41.74	42.54	41.24	42.49	658097	28638460.00
2015-12-28	42.73	42.74	40.54	40.69	1008900	43679564.00
2015-12-29	41.74	41.87	40.85	40.93	819216	34851648.00
2015-12-30	40.74	41.69	40.64	40.96	946036	40312316.00
2015-12-31	40.97	41.84	40.72	40.84	743766	31739358.00
2016-01-04	40.65	41.54	36.76	36.91	885098	35864192.00
2016-01-05	33.49	36.14	33.07	34.20	3013396	107908264.00
2016-01-06	34.34	34.73	33.62	34.23	1559049	55644168.00
2016-01-07	34.24	34.24	30.84	32.04	354900	12118018.00
2016-01-08	29.87	34.04	29.87	33.31	2074753	71432488.00
2016-01-11	32.52	34.72	31.54	31.81	1736902	60360984.00
2016-01-12	31.84	33.24	31.24	32.74	974094	32940092.00
2016-01-13	32.86	34.42	32.04	32.89	1014664	35107880.00
2016-01-14	32.32	34.54	31.69	34.35	1066895	37204240.00
2016-01-15	34.22	35.34	32.75	32.97	991400	35106956.00
2016-01-18	31.85	33.44	31.34	33.02	1140713	38763452.00
