600268 国电南自 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	4.61	5.13	4.45	4.45	21194353	157507760.00
2015-09-07	4.55	4.87	4.44	4.54	18649802	138412080.00
2015-09-08	4.52	4.90	4.44	4.85	13373839	99711232.00
2015-09-09	4.95	5.20	4.88	5.18	23217326	186630016.00
2015-09-10	5.04	5.19	4.97	4.98	16074024	129378712.00
2015-09-11	4.95	5.08	4.87	5.04	14268016	112852320.00
2015-09-14	5.22	5.29	4.49	4.50	22799403	176630448.00
2015-09-15	4.35	4.42	4.01	4.04	17237279	117075360.00
2015-09-16	4.08	4.50	4.08	4.50	14411911	99532960.00
2015-09-17	4.53	4.76	4.35	4.37	19336021	142439152.00
2015-09-18	4.43	4.60	4.35	4.47	12243337	87563320.00
2015-09-21	4.37	4.90	4.35	4.86	18439766	137767952.00
2015-09-22	4.90	5.22	4.79	5.17	32011169	253438272.00
2015-09-23	4.96	5.10	4.83	4.92	25117178	197918240.00
2015-09-24	5.10	5.24	4.96	5.02	23661716	191058592.00
2015-09-25	4.90	5.02	4.65	4.73	17898045	137648576.00
2015-09-28	4.74	4.81	4.54	4.79	10930004	82386488.00
2015-09-29	4.65	4.74	4.50	4.59	10179543	75225976.00
2015-09-30	4.62	4.69	4.53	4.64	8254344	61206104.00
2015-10-08	4.85	5.03	4.77	4.94	15988076	125263712.00
2015-10-09	4.95	5.49	4.90	5.49	40587125	340443872.00
2015-10-12	5.67	6.01	5.56	5.78	67598093	613355008.00
2015-10-13	5.65	6.41	5.47	6.41	62432132	590916096.00
2015-10-14	6.50	6.99	6.21	6.63	84733262	871263872.00
2015-10-15	6.49	6.77	6.36	6.72	60034096	614661888.00
2015-10-16	6.72	7.36	6.54	6.90	62456019	672716672.00
2015-10-19	6.75	7.12	6.57	6.90	57851964	610482496.00
2015-10-20	6.74	6.86	6.64	6.78	38212751	398670656.00
2015-10-21	6.72	6.76	6.05	6.05	45316272	451486304.00
2015-10-22	5.98	6.49	5.92	6.44	40106446	388045728.00
2015-10-23	6.36	6.69	6.29	6.56	41268886	416342624.00
2015-10-26	6.57	6.92	6.36	6.85	44159370	451884288.00
2015-10-27	6.66	6.76	6.29	6.61	38854282	394022400.00
2015-10-28	6.56	6.80	6.26	6.35	31132299	317862240.00
2015-10-29	6.42	6.57	6.29	6.42	21098090	211207696.00
2015-10-30	6.44	6.57	6.17	6.35	23344713	232338416.00
2015-11-02	6.12	6.31	5.92	5.94	20968591	200419968.00
2015-11-03	5.94	6.06	5.83	5.92	15409476	143165488.00
2015-11-04	5.94	6.34	5.94	6.33	24835281	239331936.00
2015-11-05	6.38	6.67	6.34	6.64	40092049	403496800.00
2015-11-06	6.63	6.77	6.51	6.69	40749431	420995744.00
2015-11-09	6.51	6.89	6.36	6.71	43915590	453373376.00
2015-11-10	6.67	6.98	6.58	6.81	44778925	472006176.00
2015-11-11	6.81	7.04	6.70	6.96	40298948	429733856.00
2015-11-12	6.91	7.47	6.62	7.26	56339111	615636160.00
2015-11-13	7.13	7.67	7.03	7.29	58712011	664191552.00
2015-11-16	7.06	7.22	6.99	7.17	29950693	329081408.00
2015-11-17	7.28	7.32	6.83	6.90	36394600	398111488.00
2015-11-18	6.92	7.26	6.80	6.88	30954397	337584960.00
2015-11-19	6.88	7.04	6.70	7.02	24879441	264078048.00
2015-11-20	6.99	7.02	6.82	6.88	23282878	249324896.00
2015-11-23	6.87	7.04	6.78	6.85	20051004	214306656.00
2015-11-24	6.87	6.97	6.76	6.97	17760483	189073136.00
2015-11-25	6.94	7.05	6.85	7.04	21484892	232151072.00
2015-11-26	7.04	7.20	6.92	7.07	30110499	329480544.00
2015-11-27	7.09	7.09	6.31	6.31	30854128	318791328.00
2015-11-30	6.31	6.36	5.88	6.22	20185606	193757632.00
2015-12-01	6.22	6.40	6.01	6.22	15865957	153840256.00
2015-12-02	6.22	6.35	6.05	6.35	14729191	142880336.00
2015-12-03	6.33	6.42	6.22	6.41	12111265	119661056.00
2015-12-04	6.41	6.46	6.15	6.23	14318041	140275728.00
2015-12-07	6.19	6.31	6.19	6.29	8812497	85805656.00
2015-12-08	6.22	6.27	6.01	6.02	10689645	102177048.00
2015-12-09	6.02	6.17	5.94	6.13	12199634	115534664.00
2015-12-10	6.08	6.21	5.99	6.01	10779551	102824800.00
2015-12-11	5.99	6.03	5.69	5.76	16033985	146082928.00
2015-12-14	5.70	6.19	5.61	6.13	16666205	153871712.00
2015-12-15	6.10	6.17	6.02	6.14	9614391	91628832.00
2015-12-16	6.19	6.21	6.08	6.08	8690259	83335296.00
2015-12-17	6.11	6.56	6.11	6.37	21005600	207978656.00
2015-12-18	6.33	6.35	6.19	6.23	13938709	135725696.00
2015-12-21	6.22	6.31	6.19	6.29	11838525	115496320.00
2015-12-22	6.29	6.40	6.26	6.35	11679003	115082816.00
2015-12-23	6.38	6.42	6.09	6.12	13587514	132708184.00
2015-12-24	6.14	6.15	5.88	6.05	11113674	104154944.00
2015-12-25	6.01	6.14	6.01	6.13	7470814	70995320.00
2015-12-28	6.13	6.26	5.88	5.93	12893469	123161272.00
2015-12-29	5.88	6.08	5.88	6.08	8211310	76776040.00
2015-12-30	6.10	6.36	6.08	6.35	18239657	177647408.00
2015-12-31	6.31	6.69	6.30	6.37	28860184	291481984.00
2016-01-04	6.36	6.38	5.69	5.70	13368402	125667056.00
2016-01-05	5.36	6.08	5.24	5.90	20477937	183982336.00
2016-01-06	5.81	6.00	5.76	5.95	14733996	135271248.00
2016-01-07	5.85	5.85	5.31	5.31	3158500	27518862.00
2016-01-08	5.53	5.63	4.84	5.30	16345839	138052832.00
2016-01-11	5.04	5.17	4.72	4.72	15919364	124168056.00
2016-01-12	4.73	4.83	4.49	4.68	9721900	72415816.00
2016-01-13	4.71	4.79	4.33	4.35	8987065	66687748.00
2016-01-14	4.21	4.55	4.15	4.55	11515743	80391656.00
2016-01-15	4.51	4.53	4.25	4.34	9117206	64589728.00
2016-01-18	4.17	4.48	4.17	4.42	7813912	55175236.00
2016-01-19	4.42	4.66	4.38	4.64	10833131	78995960.00
2016-01-20	4.63	4.70	4.52	4.55	10267316	75732408.00
2016-01-21	4.44	4.62	4.29	4.32	8362648	59985804.00
2016-01-22	4.36	4.47	4.29	4.44	7394801	52303620.00
2016-01-25	4.46	4.58	4.46	4.55	6320600	45834496.00
2016-01-26	4.60	4.79	4.22	4.33	19115069	141037280.00
2016-01-27	4.40	4.44	3.96	4.25	11689696	79221432.00
