600382 广东明珠 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	3.99	4.56	3.86	4.07	15394268	153959808.00
2015-09-07	4.32	4.60	4.28	4.37	12846848	134206544.00
2015-09-08	4.28	4.83	4.21	4.82	12595436	132900424.00
2015-09-09	5.03	5.22	4.86	5.12	17521833	201599680.00
2015-09-10	5.00	5.41	4.97	5.05	16998492	200570816.00
2015-09-11	5.05	5.27	4.85	5.07	10662632	121800504.00
2015-09-14	5.12	5.14	4.39	4.39	13573841	148928368.00
2015-09-15	4.26	4.35	3.80	3.85	16360922	161954736.00
2015-09-16	3.89	4.41	3.80	4.40	14216657	140828016.00
2015-09-17	4.40	4.69	4.27	4.28	18483341	195080240.00
2015-09-18	4.34	4.65	4.28	4.57	13059741	137179760.00
2015-09-21	4.47	4.89	4.42	4.85	11349804	123530216.00
2015-09-22	4.87	4.96	4.67	4.85	14047155	155772544.00
2015-09-23	4.66	4.76	4.57	4.60	10161626	109914368.00
2015-09-24	4.65	4.75	4.59	4.73	7892207	85827856.00
2015-09-25	4.73	4.74	4.29	4.37	8662575	91211808.00
2015-09-28	4.36	4.56	4.29	4.50	6294605	65991044.00
2015-09-29	4.34	4.42	4.20	4.33	5492477	56489384.00
2015-09-30	4.38	4.43	4.28	4.36	4863697	50131156.00
2015-10-08	4.65	4.86	4.60	4.85	16069921	177174016.00
2015-10-09	4.82	5.12	4.78	5.01	15437725	175011152.00
2015-10-12	5.04	5.58	5.03	5.47	18747166	225543840.00
2015-10-13	5.41	5.56	5.31	5.53	11885654	144187440.00
2015-10-14	5.52	5.53	5.19	5.24	11317784	135670960.00
2015-10-15	5.24	5.53	5.24	5.51	13973403	169419936.00
2015-10-16	5.58	5.99	5.58	5.81	16464401	210023776.00
2015-10-19	5.80	5.80	5.53	5.59	12750596	159331008.00
2015-10-20	5.56	5.91	5.44	5.87	18918640	236607040.00
2015-10-21	5.81	5.85	5.11	5.22	21974460	264969824.00
2015-10-22	5.22	5.53	5.14	5.51	14093861	169281408.00
2015-10-23	5.60	5.77	5.46	5.69	17783105	220929760.00
2015-10-26	5.88	6.10	5.77	5.94	22995236	298198080.00
