600617 国新能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	9.90	10.92	9.60	10.80	8747080	132922640.00
2015-09-07	10.98	11.44	10.55	10.74	3693933	58605796.00
2015-09-08	10.43	11.19	10.41	11.15	2378832	37158272.00
2015-09-09	11.29	11.71	11.16	11.47	4689060	77230592.00
2015-09-10	11.55	11.98	11.30	11.35	5167542	87002480.00
2015-09-11	11.10	11.62	11.08	11.32	2539708	41165968.00
2015-09-14	11.47	11.61	10.15	10.15	3244342	50366612.00
2015-09-15	9.98	10.49	9.69	10.00	2982800	43589612.00
2015-09-16	10.07	11.03	10.07	11.02	3341990	50886092.00
2015-09-17	10.90	11.12	10.45	10.48	6775636	106080032.00
2015-09-18	10.46	10.68	10.27	10.43	2803602	42079040.00
2015-09-21	10.33	10.83	10.18	10.78	2280973	35027192.00
2015-09-22	10.80	11.30	10.80	11.18	4230904	67949160.00
2015-09-23	11.03	11.45	10.99	11.11	2795419	44910748.00
2015-09-24	11.18	11.45	11.05	11.25	2278103	36648292.00
2015-09-25	11.12	11.23	10.34	10.68	2508566	38940204.00
2015-09-28	10.66	11.12	10.63	11.01	1566659	24623442.00
2015-09-29	10.89	11.40	10.68	11.00	2562405	41088264.00
2015-09-30	11.19	11.33	10.89	10.94	1186206	18834072.00
2015-10-08	11.48	11.70	11.26	11.48	3039150	50361328.00
2015-10-09	11.33	12.30	11.33	12.17	5290537	91426712.00
2015-10-12	12.70	13.42	12.10	12.13	24535312	439487488.00
2015-10-13	12.00	12.44	11.83	12.37	13079387	230306352.00
2015-10-14	12.32	12.80	12.26	12.40	9699481	174896640.00
2015-10-15	12.40	12.65	12.19	12.62	10505850	186529136.00
2015-10-16	12.86	13.03	12.32	12.55	11315866	205030704.00
2015-10-19	12.50	12.63	12.27	12.33	9637542	171067584.00
2015-10-20	12.34	12.40	11.90	12.30	6689745	117016840.00
2015-10-21	12.39	12.43	11.23	11.35	8162985	140478688.00
2015-10-22	11.20	11.79	11.20	11.70	5991936	98706624.00
2015-10-23	11.76	12.39	11.58	12.28	9794303	168930464.00
2015-10-26	12.39	12.46	12.05	12.20	8299856	146325824.00
2015-10-27	12.11	12.20	11.41	11.98	6311681	106799864.00
2015-10-28	11.97	12.18	11.45	11.57	6572243	111410168.00
2015-10-29	11.80	11.80	11.44	11.64	6698813	112050504.00
2015-10-30	11.48	11.76	11.48	11.68	4091727	68289568.00
2015-11-02	11.67	12.22	11.48	11.77	12007784	205154016.00
2015-11-03	11.90	11.97	11.33	11.46	4560628	75751936.00
2015-11-04	11.48	11.91	11.48	11.89	9453845	159138640.00
2015-11-05	11.97	12.15	11.80	12.09	11289734	194767408.00
2015-11-06	12.14	12.30	11.98	12.18	8717170	151945104.00
2015-11-09	12.12	12.46	12.06	12.17	11548427	202931072.00
2015-11-10	12.13	12.27	12.02	12.10	8133576	141627584.00
2015-11-11	12.16	12.28	12.08	12.24	9824639	171741024.00
2015-11-12	12.25	12.26	11.98	12.05	7256237	126074720.00
2015-11-13	12.00	12.23	11.90	12.08	7067540	122788664.00
2015-11-16	12.08	12.59	11.93	12.55	12043862	213445248.00
2015-11-17	12.66	12.76	12.30	12.33	14836100	266187840.00
2015-11-18	12.30	12.48	12.21	12.40	6856716	121402176.00
