600626 申达股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	9.32	10.82	9.30	9.30	45862080	470883424.00
2015-09-07	9.72	10.14	9.42	9.69	31513134	320480000.00
2015-09-08	9.72	10.70	9.53	10.70	30006510	314486464.00
2015-09-09	11.81	11.81	11.42	11.81	50133707	608107008.00
2015-10-29	13.03	13.03	13.03	13.03	754868	10122780.00
2015-10-30	14.37	14.37	14.37	14.37	975803	14393094.00
2015-11-02	15.29	15.85	14.63	15.43	102572613	1623073024.00
2015-11-03	15.02	15.28	13.85	13.91	65077164	963728512.00
2015-11-04	13.82	15.07	13.63	14.76	56792334	836536128.00
2015-11-05	14.62	15.14	14.23	14.36	45096564	676111744.00
2015-11-06	14.40	15.24	14.38	14.79	41485946	631314560.00
2015-11-09	14.53	14.81	14.13	14.62	35092689	524038528.00
2015-11-10	14.57	16.05	14.43	15.66	57991856	899487744.00
2015-11-11	15.57	15.62	15.12	15.35	36472957	573689088.00
2015-11-12	15.35	15.87	15.04	15.24	34213374	539875584.00
2015-11-13	15.00	15.82	14.82	15.15	36933235	580884288.00
2015-11-16	14.70	15.10	14.58	15.05	22570651	344515872.00
2015-11-17	15.32	15.72	15.12	15.22	38026965	599598720.00
2015-11-18	15.36	16.02	15.13	15.38	43015935	691077120.00
2015-11-19	15.15	15.42	14.87	15.37	28039751	435381920.00
2015-11-20	15.40	15.94	15.29	15.49	33401495	533460192.00
2015-11-23	15.68	16.09	15.38	15.84	34929029	562965184.00
2015-11-24	16.00	16.11	15.44	15.66	22001835	353300832.00
2015-11-25	15.68	15.69	15.25	15.53	21641460	342434016.00
2015-11-26	15.67	16.03	15.42	15.62	33593608	540670720.00
2015-11-27	15.62	15.92	14.12	14.28	35453017	556760768.00
2015-11-30	14.34	14.51	13.19	14.29	28508345	410090656.00
2015-12-01	14.12	14.48	13.87	14.13	19493015	284897184.00
2015-12-02	14.10	14.35	13.38	14.26	19651211	283332288.00
2015-12-03	14.18	14.77	14.10	14.67	20283858	301583680.00
2015-12-04	14.67	14.85	14.41	14.50	20906853	313371744.00
2015-12-07	14.50	14.60	14.17	14.37	14897340	219076832.00
2015-12-08	14.32	14.32	13.80	14.02	18592896	267318384.00
2015-12-09	13.98	14.12	13.70	14.00	12879357	184723504.00
2015-12-10	13.94	14.70	13.88	14.07	21410933	312445184.00
2015-12-11	13.97	14.21	13.87	13.94	11675655	167871824.00
2015-12-14	13.81	14.12	13.70	14.11	10682197	152891312.00
2015-12-15	14.11	14.36	14.07	14.29	13711468	200875616.00
2015-12-16	14.41	14.41	14.02	14.07	12599480	183640800.00
2015-12-17	14.14	14.40	14.14	14.30	15691023	229981184.00
2015-12-18	14.30	14.80	14.23	14.43	21574876	321991424.00
2015-12-21	14.38	14.74	14.32	14.65	20609428	307970848.00
2015-12-22	14.65	14.76	14.44	14.56	13630238	203585072.00
2015-12-23	14.64	15.41	14.53	15.04	35523595	548674240.00
2015-12-24	15.20	16.12	15.12	16.01	48126535	773760640.00
2015-12-25	16.31	16.41	15.54	15.71	28462607	461907328.00
2015-12-28	15.83	16.07	15.38	15.45	33784999	545144896.00
2015-12-29	15.49	16.44	15.47	16.41	38569805	631889728.00
2015-12-30	16.47	16.61	16.13	16.34	28966578	484353248.00
2015-12-31	16.34	16.99	16.13	16.16	30826269	523106336.00
2016-01-04	16.02	16.14	14.51	14.62	22003109	348293792.00
2016-01-05	13.80	15.10	13.47	14.84	30230227	446435712.00
2016-01-06	14.87	14.99	14.32	14.87	22296795	335661536.00
2016-01-07	14.55	14.57	13.35	13.36	6325675	90287752.00
2016-01-08	13.80	13.95	12.12	13.16	22908686	313497472.00
2016-01-11	12.97	13.72	11.92	11.94	24739437	328074496.00
2016-01-12	12.07	12.45	11.50	11.84	16677431	206056176.00
2016-01-13	12.11	12.28	10.62	10.66	19391331	231781456.00
2016-01-14	10.14	11.08	10.12	11.03	18243886	200212144.00
2016-01-15	10.95	10.97	9.95	10.05	18555791	202094960.00
2016-01-18	9.61	10.50	9.61	10.20	17573555	183808576.00
2016-01-19	10.42	11.26	10.42	11.26	8538438	97066672.00
2016-01-20	12.28	12.42	11.88	11.98	52353157	660924480.00
2016-01-21	11.72	12.29	11.13	11.16	35946326	441386304.00
2016-01-22	11.62	12.21	11.30	12.02	32071889	389833472.00
2016-01-25	12.30	12.60	11.78	12.09	28322823	355935232.00
2016-01-26	11.82	12.00	10.84	10.88	24549743	289877824.00
2016-01-27	10.77	11.52	9.77	11.36	26129601	284493056.00
2016-01-28	10.95	11.66	10.82	10.92	26314478	306611232.00
2016-01-29	10.96	11.80	10.84	11.59	27178176	320628448.00
2016-02-01	11.62	11.72	10.82	11.07	20180983	236614656.00
2016-02-02	11.02	11.61	11.00	11.50	17237494	202713088.00
2016-02-03	11.20	11.39	10.97	11.31	13865076	160898352.00
2016-02-04	11.45	11.85	11.43	11.66	21920086	263819792.00
2016-02-05	11.79	11.99	11.43	11.45	18923154	229761296.00
2016-02-15	10.97	11.24	10.72	11.00	12737847	145363376.00
2016-02-16	11.18	11.67	11.17	11.61	16541312	195930512.00
2016-02-17	11.62	11.99	11.51	11.86	23437989	285299328.00
