600629 华建集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	10.02	11.31	9.84	10.03	4023883	77657584.00
2015-09-07	10.32	11.07	10.30	10.42	2473685	48367596.00
2015-09-08	10.29	11.46	10.13	11.36	2626122	52013544.00
2015-09-09	11.69	12.31	11.46	11.80	4084570	88802880.00
2015-09-10	11.51	11.92	11.27	11.32	2207264	46731280.00
2015-09-11	11.34	12.13	11.31	11.93	2815450	59888228.00
2015-09-14	12.04	12.27	10.76	10.85	4344543	92784616.00
2015-09-15	10.59	11.12	10.01	10.10	2850132	55041548.00
2015-09-16	10.29	11.18	10.19	11.16	3157680	61728672.00
2015-09-17	11.45	11.75	10.95	11.05	3303599	69175256.00
2015-09-18	11.25	11.37	10.83	11.04	2193706	44384460.00
2015-09-21	11.01	11.50	10.69	11.45	2074268	42803704.00
2015-09-22	11.46	11.69	11.30	11.43	2106502	44429556.00
2015-09-23	11.34	11.86	11.24	11.41	2257460	47744840.00
2015-09-24	11.47	11.66	11.38	11.51	1537462	32408204.00
2015-09-25	11.62	11.62	10.94	11.05	1383792	28656940.00
2015-09-28	11.07	11.34	10.82	11.13	1690848	34103016.00
2015-09-29	10.91	10.96	10.17	10.40	4032851	78122288.00
2015-09-30	10.41	10.49	10.03	10.07	3325662	62233664.00
2015-10-08	10.47	10.91	10.03	10.85	5439630	104229344.00
2015-10-09	10.66	10.83	10.59	10.75	3281458	64619900.00
2015-10-12	11.05	11.88	10.76	11.72	6036865	126010080.00
2015-10-13	11.56	12.15	11.47	12.01	5578802	121277456.00
2015-10-14	11.80	12.00	11.57	11.62	3448046	74100624.00
2015-10-15	11.64	12.20	11.64	12.14	3481349	76214848.00
2015-10-16	12.35	12.72	11.92	12.48	4690177	105211296.00
2015-10-19	12.33	12.54	11.98	12.06	3364231	75425584.00
2015-10-20	12.15	12.30	11.99	12.23	3304716	73318456.00
2015-10-21	12.24	13.52	11.87	13.52	11514528	267487888.00
2015-10-22	13.19	14.92	13.08	14.70	10128445	257275168.00
2015-10-23	14.41	15.73	14.36	14.83	8949030	244401888.00
2015-10-26	14.81	15.44	14.36	14.57	5725001	153055504.00
2015-10-27	14.80	15.21	14.36	14.87	5847394	156476624.00
2015-10-28	14.83	15.33	14.07	14.18	4418638	117307344.00
2015-10-29	14.49	15.67	14.30	15.67	6658716	182039296.00
2015-10-30	15.59	15.61	14.36	14.73	5878582	159464464.00
2015-11-02	14.04	14.04	13.19	13.19	8550092	209621440.00
2015-11-03	12.98	13.38	12.42	12.73	4326117	100812944.00
2015-11-04	12.61	13.54	12.61	13.45	4038082	96894160.00
2015-11-05	13.53	13.88	13.19	13.31	3875208	95003144.00
2015-11-06	13.37	13.95	13.37	13.59	3663953	90799544.00
2015-11-09	13.77	13.77	13.25	13.52	3859323	94426120.00
2015-11-10	13.38	13.59	13.25	13.41	3522021	86038808.00
2015-11-11	13.45	13.80	13.26	13.79	4692979	115189536.00
2015-11-12	13.77	13.92	13.41	13.73	4442092	110533520.00
2015-11-13	13.63	13.71	13.34	13.42	3012196	74099400.00
2015-11-16	13.14	13.77	13.02	13.64	3329069	81072616.00
2015-11-17	13.71	13.84	13.37	13.55	3233956	80224440.00
2015-11-18	13.56	13.70	13.38	13.42	1735369	42677844.00
2015-11-19	13.57	14.83	13.48	14.83	9491356	246430128.00
2015-11-20	15.02	15.02	14.52	14.64	5166448	137515840.00
2015-11-23	14.59	14.76	14.19	14.32	3921639	102395880.00
2015-11-24	14.34	14.81	14.34	14.59	3609977	95494816.00
2015-11-25	14.55	14.56	14.27	14.44	2849966	74207008.00
2015-11-26	14.50	14.50	13.97	14.15	4032599	103793232.00
2015-11-27	13.77	14.22	12.81	13.55	3967308	99486128.00
2015-11-30	13.56	13.74	12.86	13.36	2209528	53202184.00
2015-12-01	13.25	13.75	13.20	13.40	2227939	54550676.00
2015-12-02	13.28	13.60	12.91	13.34	1584986	38336760.00
2015-12-03	13.46	14.00	13.37	13.78	2710928	67871976.00
2015-12-04	13.92	14.14	13.38	13.48	3474644	86101344.00
2015-12-07	13.49	13.58	13.28	13.52	1688209	41199552.00
2015-12-08	13.41	13.75	13.18	13.23	1932260	47175152.00
2015-12-09	13.19	13.38	13.01	13.26	1717047	41161820.00
2015-12-10	13.17	13.37	12.94	13.14	1274825	30560748.00
2015-12-11	13.19	13.19	12.95	13.01	922381	21867530.00
2015-12-14	13.02	13.19	12.65	13.18	1648693	38576188.00
2015-12-15	13.18	13.43	13.14	13.35	1999102	48356216.00
2015-12-16	13.41	14.06	13.30	13.99	3603145	89249032.00
2015-12-17	14.14	14.68	14.03	14.65	5302815	138013888.00
2015-12-18	15.80	16.18	14.99	15.11	12869023	361500384.00
2015-12-21	14.95	15.04	14.38	14.57	7676264	203107792.00
2015-12-22	14.69	14.81	14.39	14.58	4741906	125384104.00
2015-12-23	14.68	14.68	14.09	14.12	5008185	129772392.00
2015-12-24	13.83	14.23	13.77	14.06	2998174	75666064.00
2015-12-25	14.06	14.27	13.95	14.17	1921746	49288084.00
2015-12-28	14.21	14.51	13.71	13.79	3735002	96378216.00
2015-12-29	13.77	13.92	13.54	13.82	2373346	59019880.00
2015-12-30	13.82	13.96	13.66	13.84	1934362	48447836.00
2015-12-31	13.89	14.00	13.61	13.62	2045551	51149128.00
2016-01-04	13.54	13.55	12.19	12.19	2592156	60705152.00
2016-01-05	11.54	12.44	11.17	11.60	3574340	77579424.00
2016-01-06	11.60	11.95	11.56	11.88	2516283	54270896.00
2016-01-07	11.73	11.73	10.63	10.67	592600	12120905.00
2016-01-08	11.16	11.27	10.10	10.79	3098350	61314508.00
2016-01-11	10.74	10.74	9.65	9.65	3317481	61284124.00
2016-01-12	9.33	9.91	9.15	9.36	2614401	45974324.00
2016-01-13	9.48	9.59	8.58	8.63	2612410	44364500.00
2016-01-14	8.27	8.95	8.10	8.90	2311671	37272540.00
2016-01-15	8.91	8.93	8.33	8.40	1926312	30991584.00
2016-01-18	8.27	8.90	8.15	8.69	2584188	41363080.00
2016-01-19	8.71	9.32	8.70	9.29	2671739	44956636.00
2016-01-20	9.20	9.32	8.86	8.91	3116356	52561800.00
2016-01-21	8.78	9.14	8.51	8.53	2170045	35835200.00
2016-01-22	8.63	8.84	8.49	8.78	1581336	25775274.00
2016-01-25	8.88	9.05	8.81	8.92	1541934	25690150.00
2016-01-26	8.91	8.91	8.07	8.11	2098263	33504342.00
2016-01-27	8.20	8.33	7.29	7.86	2686856	39575916.00
2016-01-28	7.78	8.07	7.67	7.83	1662828	24601728.00
2016-01-29	7.93	8.37	7.85	8.16	1656071	25105362.00
2016-02-01	8.22	8.62	8.16	8.40	2407971	37857460.00
2016-02-02	8.39	9.06	8.34	8.83	2561078	41954312.00
2016-02-03	8.79	8.82	8.39	8.72	1670674	26886038.00
2016-02-04	8.56	8.93	8.56	8.84	1621518	26716304.00
2016-02-05	8.83	8.92	8.65	8.67	1246990	20447396.00
2016-02-15	8.39	8.62	8.18	8.48	1291947	20448346.00
2016-02-16	8.56	8.96	8.56	8.91	1595324	26159740.00
2016-02-17	8.85	9.25	8.76	9.17	2662928	45203216.00
2016-02-18	9.21	9.25	8.94	9.14	2296716	38897532.00
2016-02-19	9.06	9.21	9.03	9.15	1996930	33883988.00
2016-02-22	9.27	9.63	9.24	9.34	2767168	48422184.00
2016-02-23	9.34	9.41	9.07	9.17	1827328	31348122.00
2016-02-24	9.17	9.70	9.06	9.65	2703768	46801144.00
2016-02-25	9.70	9.70	8.61	8.61	3465808	58257896.00
2016-02-26	8.62	8.75	8.40	8.70	2767089	44579620.00
2016-02-29	8.67	8.68	7.76	8.54	3332681	50255884.00
2016-03-01	8.30	8.55	8.16	8.48	1905017	29690140.00
2016-03-02	8.42	9.03	8.39	9.01	2845782	46494864.00
2016-03-03	9.19	9.25	8.97	8.97	3796147	64343908.00
2016-03-04	8.91	9.04	8.27	8.38	2297734	37189196.00
2016-03-07	8.45	8.82	8.45	8.49	1336388	21410994.00
2016-03-08	8.56	8.56	8.06	8.41	1548276	23903776.00
2016-03-09	8.29	8.29	7.81	8.11	1689605	25502208.00
2016-03-10	8.10	8.20	7.96	7.97	1120128	16977974.00
2016-03-11	7.93	8.08	7.82	8.04	900944	13516231.00
2016-03-14	8.16	8.55	8.08	8.47	2191306	34095492.00
2016-03-15	8.34	8.44	8.26	8.32	1436629	22414002.00
2016-03-16	8.39	8.39	8.01	8.09	1437200	21976302.00
2016-03-17	8.12	8.37	8.06	8.31	2265043	34890148.00
2016-03-18	8.42	8.73	8.34	8.69	3228563	51698600.00
2016-03-21	8.83	9.19	8.74	9.05	3559480	59930236.00
2016-03-22	9.03	9.25	8.86	9.02	2217284	37526464.00
2016-03-23	9.03	9.19	9.02	9.13	1856565	31478824.00
2016-03-24	9.11	9.17	8.97	9.00	1877281	31684958.00
2016-03-25	8.97	9.21	8.89	9.16	1507372	25370048.00
2016-03-28	9.54	9.60	8.90	8.96	3471012	59674632.00
2016-03-29	8.85	8.97	8.57	8.63	2182212	35533588.00
2016-03-30	8.67	8.94	8.67	8.90	1815280	29838994.00
2016-03-31	8.92	9.11	8.92	8.96	1763615	29571892.00
2016-04-01	9.00	9.33	8.90	9.31	3149880	53165604.00
2016-04-05	9.25	10.31	9.19	10.31	4381760	81307712.00
2016-04-06	10.70	11.41	10.62	11.41	11886233	244361408.00
2016-04-07	11.73	11.73	10.96	11.13	8300145	171141376.00
2016-04-08	11.14	11.33	10.99	11.22	5632124	115424384.00
2016-04-11	11.17	11.60	10.88	11.38	6346239	131251496.00
2016-04-12	11.28	12.02	11.28	11.65	6457133	137606480.00
2016-04-13	11.81	11.84	11.47	11.51	4480046	95118112.00
2016-04-14	11.56	11.56	10.99	11.34	4106669	84390352.00
2016-04-15	11.28	11.45	10.89	11.12	3722048	75698504.00
2016-04-18	11.05	11.05	10.65	10.84	3005821	59548348.00
2016-04-19	10.89	11.02	10.79	10.94	2020984	40457240.00
2016-04-20	11.03	11.05	10.06	10.32	3902567	75121936.00
2016-04-21	10.29	10.49	10.19	10.41	2998244	57487860.00
2016-04-22	10.46	10.46	10.13	10.43	1181233	22530374.00
2016-04-25	10.52	10.58	10.23	10.47	1608616	31044552.00
2016-04-26	10.47	10.58	10.41	10.56	2095239	40450708.00
2016-04-27	10.65	10.76	10.47	10.69	1926090	37526512.00
2016-04-28	10.59	10.59	10.06	10.33	2137985	40591640.00
