600681 百川能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	3.81	4.55	3.75	3.75	8020510	76987496.00
2015-09-07	3.85	4.37	3.82	3.96	5001437	48176252.00
2015-09-08	3.96	4.47	3.89	4.46	3976503	38770968.00
2015-09-09	4.65	5.18	4.61	5.18	9105843	98104072.00
2015-09-10	5.23	5.57	4.80	5.35	9729568	110095168.00
2015-09-11	5.31	5.41	4.95	5.20	6377187	71012952.00
2015-09-14	5.37	5.73	4.40	4.40	8737272	95605840.00
2015-09-15	4.09	4.72	3.91	4.42	8165740	81334072.00
2015-09-16	4.42	5.12	4.23	4.98	7792179	80904568.00
2015-09-17	4.98	5.27	4.69	4.86	7461276	80881832.00
2015-09-18	4.80	5.09	4.80	5.01	4079569	44127460.00
2015-09-21	4.77	5.26	4.74	5.17	6657402	73225800.00
2015-09-22	5.15	5.57	5.02	5.37	7684928	87403320.00
2015-09-23	5.16	5.80	5.12	5.67	10712914	124421480.00
2015-09-24	5.63	5.91	5.40	5.60	6621278	77608360.00
2015-09-25	5.55	5.55	4.95	5.07	5998470	66773176.00
2015-09-28	5.07	5.25	4.96	5.20	3315054	36532200.00
2015-09-29	5.12	5.52	4.95	5.22	5839280	65650960.00
2015-09-30	5.45	5.45	5.10	5.12	2841662	31724838.00
2015-10-08	5.41	5.87	5.32	5.76	8487275	99931896.00
2015-10-09	5.70	6.41	5.70	6.27	13861219	172120352.00
2015-10-12	6.27	6.87	6.27	6.87	13385766	177432976.00
2015-10-13	6.70	6.80	6.34	6.60	9781449	127598272.00
2015-10-14	6.52	6.99	6.43	6.49	10064337	132648928.00
2015-10-22	5.56	6.49	5.56	6.12	42501993	507575040.00
2015-10-23	5.66	5.92	5.37	5.72	36059636	422939360.00
2015-10-26	5.66	5.92	5.57	5.76	23706571	282642752.00
2015-10-27	5.69	6.61	4.91	6.61	39462849	481774592.00
2015-10-28	6.52	6.57	5.67	5.77	31129045	387557440.00
2015-10-29	5.77	6.11	5.45	5.82	16222910	195191088.00
2015-10-30	5.73	5.76	5.45	5.64	10842507	127194512.00
2015-11-02	5.45	5.65	5.12	5.12	12384889	140681056.00
2015-11-03	5.15	5.32	5.12	5.17	7125548	79530336.00
2015-11-04	5.20	5.51	5.20	5.48	11810808	134916128.00
2015-11-05	5.52	5.78	5.46	5.65	15956234	187011296.00
2015-11-12	6.00	6.50	5.89	6.41	33650691	431868544.00
2015-11-13	6.09	6.20	5.78	5.92	20715924	254711104.00
2015-11-16	5.68	6.07	5.52	6.03	15172940	181751568.00
2015-11-17	6.09	6.41	5.95	6.03	15206346	190445184.00
2015-11-18	6.12	6.14	5.80	5.85	8882892	108431872.00
2015-11-19	5.87	6.02	5.58	5.84	9759834	117097360.00
2015-11-20	5.86	5.98	5.77	5.93	10482177	126958440.00
2015-11-23	6.05	6.51	6.02	6.36	21530636	274672160.00
2015-11-24	6.42	6.84	6.41	6.60	17779066	233950704.00
2015-11-25	6.62	6.70	6.39	6.58	11481117	149506640.00
2015-11-26	6.65	7.52	6.52	7.19	17852433	248042944.00
2015-11-27	7.17	7.48	6.74	6.80	16985140	234765824.00
2015-11-30	7.09	7.19	5.84	6.80	18612003	243454496.00
2015-12-01	6.46	6.62	6.16	6.45	12650592	162315088.00
2015-12-02	6.12	6.51	5.78	6.12	8340461	103388648.00
2015-12-03	6.08	6.27	5.93	6.26	11713689	145173136.00
2015-12-04	6.26	6.50	6.10	6.42	11581404	147254672.00
2015-12-07	6.47	6.55	6.27	6.45	8618611	110744680.00
2015-12-08	6.32	6.42	6.06	6.12	8223976	103609024.00
2015-12-09	6.09	6.12	5.91	5.96	5971540	73271472.00
2015-12-10	5.94	6.60	5.94	6.40	12095049	154246992.00
2015-12-11	6.41	6.50	6.24	6.45	6142172	78783560.00
2015-12-14	6.34	6.72	6.27	6.52	5878662	75941336.00
2015-12-15	6.48	6.72	6.30	6.67	9197751	119045496.00
2015-12-16	6.66	6.90	6.61	6.72	10731749	142760704.00
2015-12-17	6.60	7.09	6.60	7.02	14142021	190521184.00
2015-12-18	6.94	7.23	6.84	6.95	8675638	118810848.00
2015-12-21	6.87	7.17	6.87	7.05	8951818	122741640.00
2015-12-22	7.04	7.12	6.71	6.87	8372940	112532376.00
2015-12-23	6.75	6.87	6.63	6.82	8767936	116683064.00
2015-12-24	6.80	7.13	6.67	6.85	9799455	132591072.00
2015-12-25	6.84	7.33	6.72	7.18	17245174	237919424.00
2015-12-28	7.20	7.30	6.52	6.65	14167482	193849232.00
2015-12-29	6.53	6.80	6.38	6.79	7350721	96437136.00
2015-12-30	6.73	6.96	6.72	6.95	7606191	102443176.00
2015-12-31	6.93	7.08	6.61	6.62	5880336	78604536.00
2016-01-04	6.62	6.67	5.69	5.69	7049068	86652568.00
2016-01-05	5.16	5.59	4.85	5.18	11860718	132619392.00
2016-01-06	5.20	5.48	5.12	5.43	10895377	122324664.00
2016-01-07	5.30	5.30	4.62	4.70	3292750	35934812.00
2016-01-08	4.95	5.39	4.70	5.15	13847137	150911344.00
2016-01-11	4.84	5.26	4.73	4.81	9458499	102861832.00
2016-01-12	4.81	5.15	4.81	5.10	5221268	57008712.00
2016-01-13	5.25	5.30	4.88	4.93	5158854	56642044.00
2016-01-14	4.62	4.99	4.47	4.93	6954433	73353056.00
2016-01-15	4.93	4.95	4.47	4.55	4896453	51126512.00
2016-01-18	4.45	4.73	4.24	4.57	5020090	51127404.00
2016-01-19	4.57	4.92	4.52	4.90	4041138	42821304.00
