600708 光明地产 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	4.53	5.32	4.49	4.79	28327682	268990560.00
2015-09-07	5.00	5.30	4.93	5.13	22205759	216924864.00
2015-09-08	5.09	5.71	5.01	5.71	25909775	265460528.00
2015-09-09	6.35	6.35	6.35	6.35	16599632	196373648.00
2015-09-10	6.51	7.05	6.51	7.05	91984549	1175594368.00
2015-09-11	6.75	7.82	6.75	7.82	109787938	1454762240.00
2015-09-14	7.81	8.47	6.99	7.15	114514069	1629172224.00
2015-09-15	6.92	7.93	6.87	7.64	113523885	1590054656.00
2015-09-16	7.39	8.47	7.05	8.47	117562167	1684262400.00
2015-09-17	8.49	9.25	8.01	8.03	120428469	1873846912.00
2015-09-18	7.94	8.16	7.28	7.58	67622739	954382016.00
2015-09-21	7.53	7.90	7.43	7.74	52394303	736009280.00
2015-09-22	7.63	8.21	7.59	7.90	68303953	986663488.00
2015-09-23	7.61	7.69	7.05	7.10	67684683	918682240.00
2015-09-24	7.10	7.45	7.10	7.27	34402222	460274752.00
2015-09-25	7.30	7.72	7.27	7.36	47526183	653118976.00
2015-09-28	7.37	7.38	6.63	7.28	32167743	416832608.00
2015-09-29	7.07	7.60	6.98	7.24	32666226	440770752.00
2015-09-30	7.31	7.43	6.86	7.01	25177752	329731616.00
2015-10-08	7.28	7.61	7.13	7.49	31365468	426811552.00
2015-10-09	7.45	8.31	7.37	7.92	58882377	862060288.00
2015-10-12	8.07	8.66	7.98	8.38	68667909	1046642560.00
2015-10-13	8.14	8.79	8.03	8.50	55869568	858174848.00
2015-10-14	8.36	8.61	7.93	7.94	43240750	651782208.00
2015-10-15	7.86	8.33	7.86	8.29	36678745	547828608.00
2015-10-16	8.34	9.12	8.18	8.72	73467780	1150430848.00
2015-10-19	8.55	9.02	8.25	8.37	63040102	986936640.00
2015-10-20	8.34	8.90	8.13	8.57	43690858	674882240.00
2015-10-21	8.48	8.66	7.64	7.64	44184020	650108800.00
2015-10-22	7.69	8.09	7.45	7.96	37570695	537244992.00
2015-10-23	7.87	8.48	7.81	8.22	48538722	719997888.00
2015-10-26	8.18	8.21	7.78	7.98	32659343	476265312.00
2015-10-27	7.87	8.70	7.80	8.58	56379923	853336704.00
2015-10-28	8.37	8.52	7.98	8.01	35835239	538298432.00
2015-10-29	8.21	8.44	8.06	8.14	25068174	375656960.00
2015-10-30	8.05	8.19	7.71	7.92	23836215	346199776.00
2015-11-02	7.81	8.28	7.53	7.92	30642344	448426880.00
2015-11-03	7.87	8.05	7.60	7.76	22089117	315714560.00
2015-11-04	7.76	8.37	7.73	8.29	34864472	516439616.00
2015-11-05	8.23	8.44	8.09	8.17	29705885	446430304.00
2015-11-06	8.28	8.51	8.16	8.34	32258509	489639712.00
2015-11-09	8.21	8.33	7.99	8.25	28847286	430967808.00
2015-11-10	8.22	9.10	8.11	8.64	50018332	785279424.00
2015-11-11	8.64	9.11	8.38	9.10	49245673	780257344.00
2015-11-12	9.11	9.79	8.76	8.84	66121514	1118974720.00
2015-11-13	8.86	9.07	8.52	8.53	35860062	569286592.00
2015-11-16	8.22	8.32	7.99	8.30	24523631	367033568.00
2015-11-17	8.32	8.45	8.11	8.14	25543551	387164352.00
2015-11-18	8.17	8.45	8.06	8.08	21289230	319875136.00
2015-11-19	8.03	8.16	7.77	8.08	21276095	308543200.00
2015-11-20	8.09	8.16	7.87	7.92	19823276	290053600.00
2015-11-23	7.96	8.41	7.96	8.16	26354536	395706432.00
2015-11-24	8.11	8.21	7.87	8.06	15258881	222764032.00
2015-11-25	8.06	8.06	7.86	7.96	17445133	253081024.00
2015-11-26	7.97	8.02	7.82	7.86	17308101	250198576.00
2015-11-27	7.87	7.96	7.01	7.10	21440209	296317152.00
2015-11-30	7.11	7.21	6.36	6.81	18332780	230005520.00
2015-12-01	6.86	7.18	6.70	7.02	16816608	215633840.00
2015-12-02	7.02	7.17	6.82	7.04	13951539	181503872.00
2015-12-03	7.11	7.16	6.96	7.12	11049466	144232144.00
2015-12-04	7.04	7.10	6.89	6.95	11809240	152306224.00
2015-12-07	6.92	6.99	6.80	6.88	8894219	113765928.00
2015-12-08	6.88	6.89	6.53	6.65	12782762	158148560.00
2015-12-09	6.60	6.70	6.50	6.51	7283960	89119744.00
2015-12-10	6.54	6.92	6.53	6.69	14228158	178267216.00
2015-12-11	6.57	6.67	6.45	6.54	7271320	88370568.00
2015-12-14	6.45	6.61	6.40	6.60	7320409	88650568.00
2015-12-15	6.67	6.83	6.61	6.69	9349791	116306976.00
2015-12-16	6.72	6.88	6.68	6.80	10575200	132867256.00
2015-12-17	6.86	7.09	6.79	7.01	15067730	193945520.00
2015-12-18	6.95	7.16	6.91	6.92	13316614	173125248.00
2015-12-21	6.72	7.33	6.70	7.27	19505053	256726240.00
