600748 上实发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	6.67	7.53	6.62	7.42	18879586	188080512.00
2015-09-07	7.42	7.84	7.16	7.20	10183995	106837408.00
2015-09-08	7.24	7.93	6.94	7.81	8833069	91430880.00
2015-09-09	7.94	8.25	7.69	7.84	28017545	307602240.00
2015-09-10	7.76	7.91	7.49	7.56	9668571	103906440.00
2015-09-11	7.47	8.37	7.47	8.37	25236807	281301312.00
2015-09-14	8.46	8.47	7.48	7.82	29117012	324384192.00
2015-09-15	7.42	7.59	6.99	7.06	14356906	145095600.00
2015-09-16	7.16	7.82	7.08	7.82	13258507	137633040.00
2015-09-17	7.70	8.20	7.51	7.52	16343672	178482704.00
2015-09-18	7.66	7.75	7.32	7.38	9394393	97963552.00
2015-09-21	7.33	7.75	7.30	7.62	9025983	95390904.00
2015-09-22	7.59	7.93	7.59	7.79	11210990	121318368.00
2015-09-23	7.66	8.04	7.55	7.86	11086662	120946408.00
2015-09-24	7.93	8.06	7.64	7.82	9492675	102636512.00
2015-09-25	7.73	7.92	7.42	7.46	8090399	86449736.00
2015-09-28	7.50	7.57	7.23	7.53	5694882	58585024.00
2015-09-29	7.32	7.46	7.18	7.22	4819127	49107372.00
2015-09-30	7.31	7.37	7.20	7.26	3387505	34435616.00
2015-10-08	7.68	7.74	7.56	7.64	7424194	78962488.00
2015-10-09	7.66	7.92	7.59	7.86	7281528	78490040.00
2015-10-12	7.96	8.37	7.86	8.10	36508792	405339840.00
2015-10-13	7.93	8.25	7.91	8.22	18349540	205610032.00
2015-10-14	8.12	8.29	7.91	7.93	13396603	150081056.00
2015-10-15	7.89	8.28	7.86	8.22	13741069	155118384.00
2015-10-16	8.32	8.75	8.28	8.56	26511763	311820352.00
2015-10-19	8.61	9.02	8.39	8.62	22830061	273570656.00
2015-10-20	8.62	8.82	8.52	8.61	17276346	206129024.00
2015-10-21	8.64	8.79	7.86	7.92	21066656	245524880.00
2015-10-22	7.96	8.32	7.93	8.22	17346282	195237264.00
2015-10-23	8.34	9.02	8.24	8.92	43724607	527525600.00
