600871 石化油服 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	6.33	6.89	6.01	6.12	43047727	275709824.00
2015-09-07	6.49	6.60	6.10	6.29	34948154	223327712.00
2015-09-08	6.06	6.67	6.00	6.60	35911483	226811264.00
2015-09-09	6.67	7.26	6.55	7.26	84727893	596546560.00
2015-09-10	7.00	7.20	6.85	6.88	63636729	447122848.00
2015-09-11	7.11	7.26	6.84	6.97	43579149	306319200.00
2015-09-14	7.06	7.17	6.27	6.27	51218357	339556960.00
2015-09-15	6.02	6.90	6.02	6.90	110249585	742230528.00
2015-09-16	6.85	7.59	6.71	7.59	103773258	745545920.00
2015-09-17	7.88	8.35	7.65	8.04	92047135	753711104.00
2015-09-18	8.28	8.84	7.65	8.84	143702803	1182615168.00
2015-09-21	8.45	9.72	8.32	9.72	93557726	857906496.00
2015-09-22	10.06	10.69	9.76	10.69	115253756	1205188864.00
2015-09-23	10.50	11.05	10.15	10.19	106950276	1127348736.00
2015-09-24	9.98	10.65	9.79	10.02	87889831	886526656.00
2015-09-25	9.81	10.63	9.72	10.18	96877808	989642560.00
2015-09-28	9.91	10.02	9.16	9.90	66335368	635231744.00
2015-09-29	9.60	10.15	9.18	9.76	64246295	618078208.00
2015-09-30	9.56	9.96	9.22	9.61	50067921	480442304.00
2015-10-08	10.00	10.30	9.71	9.99	78929245	782916416.00
2015-10-09	9.60	9.71	9.35	9.57	63498524	605504192.00
2015-10-12	9.56	10.35	9.40	10.02	102711026	1020198720.00
2015-10-13	9.75	10.00	9.63	9.98	72702060	711639744.00
2015-10-14	9.88	10.61	9.67	10.11	107214806	1090508544.00
2015-10-15	9.85	10.60	9.75	10.33	162608358	1673412480.00
2015-10-16	10.35	11.36	10.03	11.36	229442381	2495235072.00
2015-10-19	11.20	11.58	10.82	11.06	188980106	2102008064.00
2015-10-20	10.77	10.95	10.31	10.82	111147029	1185012608.00
2015-10-21	10.78	11.23	9.74	9.74	107155199	1127437056.00
2015-10-22	9.24	10.26	9.07	9.88	102556379	982788160.00
2015-10-23	9.71	10.00	9.50	9.76	79880403	775691328.00
2015-10-26	9.79	9.91	9.42	9.68	62944063	608845824.00
2015-10-27	9.55	10.20	9.50	10.08	87312593	865279744.00
2015-10-28	10.09	10.54	9.80	9.86	91566950	933794304.00
2015-10-29	9.73	9.86	9.51	9.65	58754631	567277056.00
2015-10-30	9.50	10.00	9.24	9.84	71277997	687539968.00
2015-11-02	9.50	9.90	9.04	9.16	55939620	532536288.00
2015-11-03	9.08	9.28	8.80	8.88	41487912	374469056.00
2015-11-04	8.96	9.32	8.95	9.29	43996877	403519008.00
2015-11-05	9.30	9.85	9.23	9.49	70632151	673251072.00
2015-11-06	9.37	9.65	9.30	9.52	57122860	540297856.00
2015-11-09	9.43	10.39	9.39	9.89	91740039	913558016.00
2015-11-10	9.71	10.33	9.62	10.03	82487214	819940544.00
2015-11-11	9.97	10.19	9.90	10.08	62746346	629503104.00
2015-11-12	10.03	10.09	9.72	9.78	51432883	506688928.00
2015-11-13	9.65	9.78	9.30	9.33	48094909	454683552.00
2015-11-16	9.10	9.44	9.10	9.42	25346420	236313776.00
2015-11-17	9.57	9.64	9.23	9.24	36150410	340167104.00
2015-11-18	9.26	9.59	9.10	9.36	38979252	365257696.00
2015-11-19	9.30	9.58	9.21	9.48	34417825	324165888.00
2015-11-20	9.42	9.94	9.36	9.86	69675489	669396672.00
2015-11-23	9.80	10.00	9.64	9.78	60785339	595575936.00
2015-11-24	9.75	9.86	9.61	9.77	30491717	296313280.00
2015-11-25	9.79	10.20	9.79	9.87	57657321	575266944.00
2015-11-26	9.82	9.85	9.40	9.50	46338420	446571872.00
2015-11-27	9.38	9.44	8.55	8.70	47049401	425199968.00
2015-11-30	8.71	8.88	7.90	8.53	32871100	277310624.00
2015-12-01	8.53	8.53	8.26	8.41	26306085	220328144.00
2015-12-02	8.42	8.68	8.30	8.61	25193628	213477520.00
