601126 四方股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	7.45	8.43	7.35	8.24	8164309	201234672.00
2015-09-07	8.69	8.90	8.21	8.32	3991604	103048208.00
2015-09-08	7.91	8.71	7.72	8.58	3921792	98950280.00
2015-09-09	8.58	9.79	8.51	9.71	6310902	170522464.00
2015-09-10	9.34	9.96	9.21	9.51	2889404	80343744.00
2015-09-11	9.51	9.77	9.22	9.49	1925013	53023416.00
2015-09-14	9.56	9.71	8.15	8.74	3574939	94432120.00
2015-09-15	8.35	8.60	7.44	7.44	4254574	102043152.00
2015-09-16	7.44	8.60	6.71	8.29	4993953	117765296.00
2015-09-17	8.20	8.70	7.76	7.94	4031768	100718192.00
2015-09-18	7.93	8.56	7.93	8.37	2852139	71746320.00
2015-09-21	8.12	8.85	7.97	8.79	1729256	44616912.00
2015-09-22	8.87	9.00	8.54	8.76	2299150	59776944.00
2015-09-23	8.57	9.04	8.42	8.63	1713400	44680808.00
2015-09-24	8.82	8.97	8.48	8.88	1475910	38633664.00
2015-09-25	8.80	9.46	8.76	9.03	3656537	98556032.00
2015-09-28	9.10	9.11	8.47	8.87	1863073	48682052.00
2015-09-29	8.94	9.21	8.78	8.90	1930524	51277364.00
2015-09-30	9.35	9.35	8.71	8.93	1098758	29077214.00
2015-10-08	9.31	9.96	9.31	9.76	2656014	73962592.00
2015-10-09	9.78	10.01	9.64	9.96	2314268	65453916.00
2015-10-12	9.96	11.08	9.96	10.88	3561455	53399968.00
2015-10-13	10.40	10.81	10.31	10.68	5925655	87809184.00
2015-10-14	11.01	11.49	9.91	10.25	11935567	181209568.00
2015-10-15	9.91	10.63	9.84	10.56	5917813	86557912.00
2015-10-16	10.61	10.91	10.41	10.68	7600203	113482504.00
2015-10-19	10.69	10.92	10.45	10.61	7718801	115301328.00
2015-10-20	10.55	10.68	10.21	10.58	10185328	150111920.00
2015-10-21	10.62	11.31	9.70	9.75	11731206	174193360.00
2015-10-22	9.67	10.53	9.67	10.48	7040744	101035800.00
2015-10-23	10.51	11.13	10.35	10.97	10593092	160092416.00
2015-10-26	11.11	11.93	10.96	11.85	14260045	225819568.00
2015-10-27	11.91	11.91	10.24	11.48	15629978	241436112.00
2015-10-28	11.36	12.03	11.17	11.28	9416054	149908992.00
2015-10-29	11.23	11.54	11.16	11.27	4280318	66630740.00
