601608 中信重工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	5.72	6.50	5.70	5.73	64379302	392855200.00
2015-09-07	5.92	6.23	5.78	5.90	52782575	324974336.00
2015-09-08	5.90	6.35	5.76	6.29	46847333	290174400.00
2015-09-09	6.39	6.71	6.32	6.70	73733825	491373440.00
2015-09-10	6.50	6.71	6.37	6.41	55745297	372205920.00
2015-09-11	6.41	6.61	6.36	6.46	42417104	280655808.00
2015-09-14	6.56	6.62	5.80	5.80	56944912	356139456.00
2015-09-15	5.61	5.63	5.21	5.21	52123688	287346560.00
2015-09-16	5.22	5.75	5.22	5.75	56211476	315853664.00
2015-09-17	5.78	6.08	5.48	5.53	64460242	384878688.00
2015-09-18	5.66	5.84	5.59	5.72	42292982	247405760.00
2015-09-21	5.59	6.02	5.52	6.00	42979848	257334912.00
2015-09-22	6.00	6.16	5.90	6.02	53120228	327636512.00
2015-09-23	5.86	5.95	5.67	5.89	45633732	272465504.00
2015-09-24	6.07	6.49	6.07	6.49	60000155	392257888.00
2015-09-25	6.66	6.84	6.11	6.27	140090359	938782144.00
2015-09-28	6.23	6.39	6.01	6.37	62388145	396304704.00
2015-09-29	6.12	6.20	5.96	6.03	42789916	266418320.00
2015-09-30	6.09	6.19	5.96	6.01	32284099	200481536.00
2015-10-08	6.28	6.34	6.14	6.20	56563264	360280224.00
2015-10-09	6.22	6.56	6.14	6.44	71730823	467177504.00
2015-10-12	6.52	7.10	6.46	7.10	104545192	733172480.00
2015-10-13	7.05	7.13	6.82	7.08	117570743	839763712.00
2015-10-14	7.15	7.21	6.79	6.85	73910409	524213888.00
2015-10-15	6.75	7.16	6.74	7.10	78097414	559111808.00
2015-10-16	7.26	7.50	7.04	7.31	110801190	816497728.00
2015-10-19	7.36	7.38	6.99	7.09	85393514	624519040.00
2015-10-20	7.06	7.44	7.04	7.41	84948452	628065088.00
2015-10-21	7.42	8.17	7.22	7.63	229312186	1817236736.00
2015-10-22	7.47	8.06	7.36	8.05	162149060	1267677952.00
2015-10-23	7.96	8.16	7.71	8.03	122673037	990897792.00
2015-10-26	8.17	8.52	7.96	8.12	110274480	921587008.00
2015-10-27	7.98	8.34	7.51	8.21	97221392	786061568.00
2015-10-28	8.05	8.14	7.63	7.66	70377998	566108992.00
2015-10-29	7.80	7.85	7.56	7.65	51300330	402619168.00
2015-10-30	7.65	7.74	7.44	7.52	42879347	330675424.00
2015-11-02	7.34	7.48	7.06	7.11	47972965	356218784.00
2015-11-03	7.14	7.33	7.09	7.17	32645198	239695184.00
2015-11-04	7.21	7.63	7.19	7.61	58803115	447534304.00
2015-11-05	7.59	8.26	7.54	7.89	118095418	952708928.00
2015-11-06	7.82	8.11	7.76	7.97	84681937	685704512.00
2015-11-09	7.88	8.23	7.86	8.06	92706204	757449280.00
2015-11-10	8.01	8.06	7.82	8.01	66687883	540573120.00
2015-11-11	8.01	8.19	7.94	8.06	62531531	511901472.00
2015-11-12	8.06	8.10	7.75	7.86	61750724	496181344.00
2015-11-13	7.71	7.81	7.56	7.66	50637629	395608416.00
2015-11-24	8.44	8.44	8.24	8.44	74512856	637662528.00
2015-11-25	8.86	9.04	8.41	8.46	172611432	1520559232.00
2015-11-26	8.32	8.43	8.12	8.17	85095365	712816576.00
2015-11-27	8.02	8.11	7.34	7.44	82513927	648672320.00
2015-11-30	7.37	7.47	6.72	7.22	65541365	477025728.00
2015-12-01	7.18	7.54	7.06	7.38	50293861	376059456.00
2015-12-02	7.40	7.59	7.17	7.50	48229431	363442304.00
2015-12-03	7.46	7.51	7.34	7.50	39965954	302574624.00
2015-12-04	7.47	7.47	7.20	7.26	38885832	290089216.00
2015-12-07	7.46	7.62	7.37	7.49	50979733	389891136.00
2015-12-08	7.37	7.43	7.17	7.25	31217157	231562032.00
2015-12-09	7.25	7.25	7.07	7.14	23652128	172454256.00
2015-12-10	7.11	7.26	7.07	7.15	21368149	156018208.00
2015-12-11	7.14	7.16	6.90	6.93	28092354	200486688.00
2015-12-14	6.76	7.14	6.76	7.13	26059204	184613360.00
2015-12-15	7.14	7.18	7.07	7.13	20913397	151947744.00
2015-12-16	7.15	7.23	7.09	7.10	24280378	176894960.00
2015-12-17	7.11	7.25	7.11	7.22	36923529	270977632.00
2015-12-18	7.19	7.30	7.09	7.14	26711305	195568528.00
2015-12-21	7.11	7.23	7.06	7.22	27208232	198965216.00
2015-12-22	7.22	7.29	7.11	7.21	24431132	179111952.00
2015-12-23	7.24	7.36	7.09	7.26	45084933	331778496.00
2015-12-24	7.20	7.25	7.01	7.07	26789990	194131472.00
2015-12-25	7.05	7.12	7.00	7.05	20904862	150434432.00
2015-12-28	7.05	7.10	6.78	6.79	34739133	245809248.00
2015-12-29	6.78	6.84	6.70	6.83	21258307	146802336.00
2015-12-30	6.87	6.88	6.74	6.80	16221312	112512808.00
2015-12-31	6.80	6.85	6.69	6.71	15827376	109554304.00
2016-01-04	6.76	6.79	6.04	6.06	21766462	142722880.00
2016-01-05	5.94	6.12	5.69	6.02	32348748	196309168.00
2016-01-06	6.02	6.18	5.96	6.17	25995622	161825040.00
2016-01-07	6.07	6.07	5.54	5.56	7464727	44137668.00
2016-01-08	5.73	5.82	5.21	5.65	27832505	160799568.00
2016-01-11	5.57	5.94	5.39	5.45	32127829	186549008.00
2016-01-12	5.50	5.94	5.37	5.74	32507276	187905472.00
2016-01-13	5.66	5.77	5.44	5.46	22678230	130957928.00
2016-01-14	5.27	5.65	5.21	5.60	20240622	113224816.00
2016-01-15	5.55	5.64	5.26	5.32	17502353	97541888.00
2016-01-18	5.27	5.44	5.22	5.36	16324723	89538904.00
2016-01-19	5.36	5.70	5.32	5.61	27521234	156380112.00
2016-01-20	5.60	5.78	5.48	5.53	25884999	148372992.00
2016-01-21	5.38	5.69	5.35	5.39	26814856	151968256.00
2016-01-22	5.44	5.50	5.27	5.43	18738940	103806224.00
2016-01-25	5.49	5.50	5.38	5.44	17311846	96548096.00
2016-01-26	5.38	5.40	4.88	4.88	30038098	157365024.00
2016-01-27	4.88	4.96	4.43	4.67	28031323	134659216.00
2016-01-28	4.64	4.69	4.21	4.30	22009708	101467416.00
2016-01-29	4.32	4.55	4.26	4.52	23166029	105909304.00
2016-02-01	4.47	4.53	4.28	4.35	16633500	75854040.00
2016-02-02	4.36	4.73	4.35	4.55	21519167	100823032.00
2016-02-03	4.48	4.72	4.44	4.64	23922154	112554136.00
2016-02-04	4.59	4.76	4.59	4.68	22413720	108057928.00
2016-02-05	4.69	4.73	4.61	4.62	14872849	71463224.00
2016-02-15	4.42	4.58	4.42	4.55	12858209	59579124.00
2016-02-16	4.58	4.84	4.58	4.79	25412806	124042360.00
2016-02-17	4.76	4.97	4.73	4.93	33018061	165718464.00
2016-02-18	4.99	5.24	4.91	4.96	41187122	214258368.00
2016-02-19	4.90	5.00	4.87	4.95	18739549	94945776.00
2016-02-22	5.03	5.12	4.94	5.07	22095317	114517800.00
2016-02-23	5.06	5.08	4.91	5.01	17375727	89123736.00
2016-02-24	4.99	5.17	4.95	5.11	32110978	167662352.00
2016-02-25	5.11	5.12	4.59	4.59	33874186	168166448.00
2016-02-26	4.63	4.65	4.42	4.56	20352919	95742056.00
2016-02-29	4.55	4.59	4.21	4.27	21059342	93422752.00
2016-03-01	4.33	4.46	4.24	4.42	16495639	74002520.00
2016-03-02	4.42	4.70	4.41	4.68	26935898	126736136.00
2016-03-03	4.65	4.81	4.63	4.66	28843923	139948320.00
2016-03-04	4.68	4.77	4.41	4.49	36323126	172432832.00
2016-03-07	4.56	4.65	4.54	4.61	18023897	85418864.00
2016-03-08	4.63	4.64	4.32	4.61	21080937	97742192.00
2016-03-09	4.55	4.55	4.43	4.47	13517688	62422520.00
2016-03-10	4.46	4.58	4.42	4.44	13826828	63888348.00
2016-03-11	4.41	4.47	4.34	4.40	12605944	57181076.00
2016-03-14	4.46	4.63	4.44	4.56	21426933	100679688.00
2016-03-15	4.52	4.63	4.49	4.58	16582324	77949960.00
2016-03-16	4.58	4.61	4.48	4.49	14782181	69132168.00
2016-03-17	4.51	4.66	4.50	4.62	27872930	132392072.00
2016-03-18	4.65	4.85	4.63	4.82	43894244	216199968.00
2016-03-21	4.87	4.99	4.82	4.92	44341047	223148976.00
2016-03-22	4.88	5.10	4.81	4.98	50582652	258571472.00
2016-03-23	4.93	4.96	4.87	4.94	27376819	138313488.00
2016-03-24	4.89	4.94	4.81	4.82	29576112	148106320.00
2016-03-25	4.79	4.87	4.77	4.83	15586004	77441768.00
2016-03-28	4.84	4.94	4.77	4.78	18128156	90700432.00
2016-03-29	4.73	4.79	4.63	4.66	18511233	89739072.00
2016-03-30	4.71	4.83	4.71	4.82	18734959	91866968.00
2016-03-31	4.87	5.32	4.87	5.32	85750178	455979552.00
2016-04-01	5.56	5.87	5.48	5.87	85029220	500832192.00
2016-04-05	6.47	6.47	6.37	6.47	62059713	409913920.00
2016-04-06	6.86	7.13	6.75	7.13	316629605	2258092544.00
2016-04-07	7.11	7.14	6.84	6.93	206615715	1467863296.00
2016-04-08	6.85	6.94	6.46	6.63	169305998	1155617536.00
2016-04-11	6.65	6.72	6.55	6.64	135528338	918281472.00
2016-04-12	6.65	6.65	6.24	6.45	123726813	809791296.00
2016-04-13	6.41	6.60	6.38	6.43	112695055	747975552.00
2016-04-14	6.43	6.52	6.33	6.50	74938942	491993408.00
2016-04-15	6.43	6.45	6.26	6.34	63783563	412745408.00
2016-04-18	6.27	6.50	6.20	6.36	69775961	455139200.00
2016-04-19	6.39	6.42	6.26	6.36	44777175	289840512.00
2016-04-20	6.35	6.36	5.71	5.83	98608695	604539136.00
2016-04-21	5.79	5.84	5.63	5.66	54647703	321619136.00
2016-04-22	5.67	5.91	5.64	5.81	67596500	402298496.00
2016-04-25	5.72	5.81	5.49	5.79	45284077	262739312.00
2016-04-26	5.79	5.92	5.69	5.91	44621817	264785504.00
2016-04-27	5.92	5.92	5.67	5.74	42324682	251189680.00
2016-04-28	5.66	6.12	5.54	5.94	71950647	431011264.00
2016-04-29	5.82	5.94	5.76	5.79	40027741	238512112.00
2016-05-03	5.76	5.98	5.74	5.95	43685244	263514016.00
2016-05-04	5.93	6.04	5.84	5.91	46476160	281947776.00
2016-05-05	5.86	5.96	5.82	5.87	35152530	211105040.00
2016-05-06	5.87	5.91	5.42	5.45	58801702	340989312.00
2016-05-09	5.38	5.41	5.18	5.23	36478560	197927520.00
2016-05-10	5.20	5.48	5.20	5.31	40831542	223107312.00
2016-05-11	5.33	5.41	5.21	5.27	31420445	170880480.00
2016-05-12	5.18	5.26	4.98	5.21	24212757	128080760.00
2016-05-13	5.22	5.34	5.16	5.19	22317325	120427128.00
2016-05-16	5.13	5.30	5.11	5.28	24548504	131757112.00
2016-05-17	5.26	5.29	5.18	5.23	23460209	125997192.00
2016-05-18	5.16	5.17	4.94	5.02	28180122	146515680.00
2016-05-19	5.05	5.19	5.03	5.07	24797444	130368704.00
2016-05-20	5.02	5.31	4.98	5.19	34269179	182791040.00
2016-05-23	5.19	5.29	5.13	5.23	26376455	141191136.00
2016-05-24	5.21	5.21	5.08	5.15	19912242	105102632.00
2016-05-25	5.21	5.24	5.10	5.12	20645217	109749384.00
2016-05-26	5.10	5.15	4.94	5.15	23692660	122809056.00
2016-05-27	5.16	5.21	5.10	5.17	24427737	129637712.00
2016-05-30	5.14	5.17	5.04	5.11	13257507	69756200.00
2016-05-31	5.12	5.38	5.11	5.38	46066515	250974944.00
2016-06-01	5.38	5.48	5.31	5.37	36878020	203697504.00
2016-06-02	5.35	5.42	5.31	5.42	30754973	169690128.00
2016-06-03	5.45	5.52	5.37	5.47	38986374	217893616.00
2016-06-06	5.49	5.49	5.35	5.38	24050729	133311944.00
2016-06-07	5.38	5.40	5.29	5.37	21447977	117527680.00
2016-06-08	5.39	5.42	5.30	5.34	19987975	109889152.00
2016-06-13	5.25	5.29	4.96	4.98	30359696	160858336.00
2016-06-14	4.95	5.03	4.94	5.02	19467499	99889928.00
2016-06-15	4.94	5.16	4.89	5.11	24246762	126766296.00
2016-06-16	5.21	5.53	5.16	5.29	45961851	252158352.00
2016-06-17	5.26	5.33	5.18	5.24	24049036	129866592.00
2016-06-20	5.25	5.34	5.20	5.30	16635403	89916976.00
2016-06-21	5.32	5.36	5.11	5.15	22221133	119501520.00
2016-06-22	5.14	5.23	5.07	5.22	13688648	72500448.00
2016-06-23	5.22	5.23	5.10	5.14	15127988	80130856.00
2016-06-24	5.14	5.19	4.89	5.02	24386798	126396408.00
2016-06-27	5.03	5.16	4.98	5.15	18278634	95720976.00
2016-06-28	5.11	5.31	5.08	5.26	29010676	154759744.00
2016-06-29	5.24	5.52	5.24	5.32	54651275	302697696.00
