601956 东贝集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020-12-25	10.84	13.20	10.45	12.85	27583517	355241600.00
2020-12-28	11.51	11.51	11.51	11.51	3631900	43800712.00
2020-12-29	10.95	12.45	10.30	10.30	58464054	684530432.00
2020-12-30	9.22	10.05	9.22	9.30	49623505	490750976.00
2020-12-31	9.15	10.00	8.95	9.42	40944075	406427040.00
2021-01-04	9.27	9.33	8.99	9.10	27068604	262127184.00
2021-01-05	9.02	9.15	8.49	8.60	29295352	273157984.00
2021-01-06	8.59	8.86	8.29	8.71	27125866	247130688.00
2021-01-07	8.51	8.53	7.95	7.98	21532658	189442032.00
2021-01-08	7.95	7.95	7.51	7.58	17468413	143269056.00
2021-01-11	7.55	7.62	7.07	7.26	20675597	163036944.00
2021-01-12	7.23	7.41	7.10	7.25	14039562	109904224.00
2021-01-13	7.26	7.67	7.07	7.44	19269598	153173584.00
2021-01-14	7.32	7.89	7.16	7.65	18839761	153405472.00
2021-01-15	7.55	7.90	7.45	7.67	17227950	142500448.00
2021-01-18	7.55	7.75	7.50	7.58	12108934	98568752.00
2021-01-19	7.65	7.95	7.56	7.61	13801462	114207896.00
2021-01-20	7.56	7.72	7.31	7.35	15846901	127341768.00
2021-01-21	7.35	7.55	7.27	7.40	12976281	103295272.00
2021-01-22	7.31	8.20	7.31	8.20	14661979	124753400.00
2021-01-25	8.42	9.03	8.07	8.21	42990777	389844320.00
2021-01-26	7.89	8.69	7.71	8.39	29525446	260489040.00
2021-01-27	8.20	8.30	7.87	8.15	19362255	166816304.00
2021-01-28	7.96	8.10	7.56	7.60	17273160	143848560.00
2021-01-29	7.60	7.81	7.27	7.36	12243353	98371544.00
2021-02-01	7.32	7.73	7.25	7.67	13233938	107157008.00
2021-02-02	7.62	7.66	7.40	7.45	9958030	80052056.00
2021-02-03	7.48	7.51	7.11	7.15	11845098	91968608.00
2021-02-04	7.07	7.16	6.64	6.78	12525225	92263656.00
2021-02-05	6.79	6.89	6.68	6.85	8490720	62229736.00
2021-02-08	6.89	7.59	6.86	7.15	20025874	158870496.00
2021-02-09	6.99	7.21	6.76	7.05	14796812	111067840.00
2021-02-10	6.98	7.09	6.86	6.91	8600214	64487728.00
2021-02-18	7.01	7.16	6.94	7.12	8381747	63798916.00
2021-02-19	7.08	7.39	7.04	7.35	11229999	87343168.00
2021-02-22	7.31	7.51	7.25	7.26	14029658	111082520.00
2021-02-23	7.22	7.28	7.10	7.13	7970284	61603772.00
2021-02-24	7.16	7.25	7.05	7.13	7663295	59113876.00
2021-02-25	7.16	7.19	7.06	7.08	7090411	54306568.00
2021-02-26	7.06	7.06	6.88	6.91	8770075	65692664.00
2021-03-01	6.95	7.09	6.90	7.09	7279955	54899464.00
2021-03-02	7.11	7.12	6.94	7.00	7203430	54438676.00
2021-03-03	7.01	7.23	6.93	7.18	9818504	75122080.00
2021-03-04	7.13	7.26	7.06	7.24	10205341	78911576.00
2021-03-05	7.20	7.30	7.16	7.26	8511594	66116664.00
2021-03-08	7.29	7.31	7.09	7.12	9421055	73137728.00
2021-03-09	7.13	7.15	6.86	6.87	8326439	62561544.00
2021-03-10	6.93	7.39	6.82	7.15	13534474	103750648.00
2021-03-11	7.09	7.22	7.00	7.19	9245645	71130128.00
2021-03-12	7.13	7.27	7.01	7.27	9053963	69454592.00
2021-03-15	7.33	7.75	7.28	7.65	22003736	178759952.00
