603162 海通发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023-03-29	17.51	17.51	14.35	14.70	11624989	401557728.00
2023-03-30	13.63	15.29	13.63	14.27	9128646	289816032.00
2023-03-31	13.86	14.22	13.73	13.78	5995528	185899776.00
2023-04-03	13.78	13.91	13.54	13.68	4116955	126229128.00
2023-04-04	13.68	13.94	13.63	13.82	3956218	122021120.00
2023-04-06	13.81	13.81	13.47	13.53	3714059	112701280.00
2023-04-07	13.53	13.60	13.40	13.58	2337170	70791024.00
2023-04-10	13.69	13.70	13.42	13.44	2986134	90328648.00
2023-04-11	13.43	13.43	12.97	13.03	4014332	117928744.00
2023-04-12	12.95	13.10	12.94	12.99	2406708	70045152.00
2023-04-13	13.17	13.39	13.11	13.24	3215919	95385440.00
2023-04-14	13.16	13.16	12.97	13.06	1867709	54649744.00
2023-04-17	13.04	13.15	12.97	13.14	1375647	40315476.00
2023-04-18	12.99	13.03	12.95	12.97	1630038	47385248.00
2023-04-19	12.90	12.98	12.72	12.73	2031126	58297888.00
2023-04-20	12.86	12.89	12.72	12.73	1255700	35925840.00
2023-04-21	12.67	12.77	12.26	12.30	2291647	63956304.00
2023-04-24	12.30	12.34	11.95	12.00	1584978	42842208.00
2023-04-25	12.03	12.07	11.44	11.56	1701843	44813984.00
2023-04-26	11.56	11.73	11.44	11.67	1067279	27826770.00
2023-04-27	11.70	11.70	11.52	11.53	900255	23379128.00
2023-04-28	11.58	11.70	11.51	11.68	878171	22935292.00
2023-05-04	11.67	12.08	11.67	11.99	1415027	37863460.00
2023-05-05	12.08	12.28	12.03	12.09	1428877	38882888.00
2023-05-08	12.08	12.38	11.90	12.29	1493816	41013936.00
2023-05-09	12.35	12.48	12.09	12.10	1637280	45182940.00
2023-05-10	11.92	12.10	11.78	11.86	1047773	27899812.00
2023-05-11	11.87	11.92	11.81	11.87	521835	13894286.00
2023-05-12	11.83	11.94	11.83	11.88	486769	12989135.00
2023-05-15	11.88	11.88	11.76	11.84	507652	13459781.00
2023-05-16	11.85	11.91	11.81	11.89	493022	13135756.00
2023-05-17	11.89	11.90	11.79	11.87	499842	13273354.00
2023-05-18	11.91	12.28	11.89	12.19	1284606	35032196.00
2023-05-19	12.21	12.26	12.04	12.14	702172	19095556.00
2023-05-22	12.23	12.30	12.18	12.30	902874	24843154.00
2023-05-23	12.36	12.59	12.33	12.51	1604150	44851020.00
2023-05-24	12.49	12.49	12.29	12.34	1036686	28743314.00
2023-05-25	12.28	12.48	12.17	12.24	971831	17946380.00
2023-05-26	12.15	12.24	11.83	11.96	1195083	21563216.00
2023-05-29	12.06	12.06	11.89	11.89	766879	13818133.00
2023-05-30	11.78	11.99	11.78	11.85	745213	13309457.00
2023-05-31	12.04	12.04	11.82	11.86	581574	10406054.00
2023-06-01	11.83	11.87	11.63	11.69	1060304	18728902.00
2023-06-02	11.69	11.81	11.67	11.77	1303785	23026818.00
2023-06-05	11.76	11.80	11.66	11.67	915451	16111498.00
2023-06-06	11.66	11.75	11.56	11.59	1059965	18631484.00
2023-06-07	11.60	11.62	11.47	11.48	927756	16090037.00
2023-06-08	11.47	11.52	11.35	11.35	936034	16071208.00
2023-06-09	11.39	11.43	11.31	11.37	686145	11737641.00
2023-06-12	11.38	11.42	11.26	11.39	981932	16746001.00
2023-06-13	11.36	11.45	11.32	11.44	821334	14110860.00
2023-06-14	11.41	11.51	11.40	11.42	761892	13144138.00
2023-06-15	11.35	11.81	11.35	11.68	1554121	27076368.00
