603367 辰欣药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017-09-29	11.35	14.15	11.35	14.15	31371	526607.06
2017-10-09	15.83	15.83	15.83	15.83	14015	258857.05
2017-10-10	17.68	17.68	17.68	17.68	10400	211328.00
2017-10-11	19.71	19.71	19.71	19.71	45698	1021350.31
2017-10-12	21.95	21.95	21.95	21.95	110018	2705342.50
2017-10-13	24.41	24.41	24.41	24.41	185539	5018830.00
2017-10-16	27.12	27.12	27.12	27.12	425313	12657315.00
2017-10-17	27.36	30.09	26.06	29.45	56965891	1777005568.00
2017-10-18	27.37	28.90	26.94	26.96	33670930	1025872512.00
2017-10-19	26.34	27.80	25.72	27.38	23188816	691019968.00
2017-10-20	26.48	27.08	24.41	24.84	27970156	782846656.00
2017-10-23	24.47	24.79	23.56	24.10	17512728	469302976.00
2017-10-24	23.63	23.91	21.99	22.41	21386343	547571520.00
2017-10-25	22.38	23.54	22.38	22.92	14264086	366352544.00
2017-10-26	23.73	24.04	23.07	23.22	16403175	431256320.00
2017-10-27	22.96	23.13	22.46	22.49	10408207	263381760.00
2017-10-30	22.46	22.49	21.04	21.26	11124931	268702560.00
2017-10-31	21.24	22.21	21.24	22.10	9089964	221843104.00
2017-11-01	21.94	22.47	21.76	22.13	8133694	201388656.00
2017-11-02	22.04	23.82	21.88	23.36	18142217	466207712.00
2017-11-03	23.05	23.49	22.67	22.74	10349547	264866592.00
2017-11-06	22.37	22.64	21.39	22.57	11479921	283714944.00
2017-11-07	22.36	22.37	21.66	21.85	9409533	231154608.00
2017-11-08	21.49	22.92	21.47	22.39	12457407	310546336.00
2017-11-09	22.17	22.24	21.64	21.86	9179382	225166704.00
2017-11-10	21.83	22.13	21.51	21.54	8373231	204235136.00
2017-11-13	21.66	21.88	21.23	21.85	7377872	179176736.00
2017-11-14	21.87	21.96	21.37	21.77	6865784	167118016.00
2017-11-15	22.05	22.32	21.77	21.81	8366960	206622272.00
2017-11-16	21.44	21.45	20.26	20.27	12318245	287615648.00
2017-11-17	20.26	20.26	18.38	18.45	10162438	221751168.00
2017-11-20	18.36	18.37	17.47	18.29	5243679	108246880.00
2017-11-21	18.18	18.91	17.95	18.43	5768044	121556472.00
2017-11-22	18.36	18.81	18.10	18.30	5187587	109569704.00
2017-11-23	18.21	18.23	17.38	17.40	5462658	111350936.00
2017-11-24	17.41	17.54	17.01	17.16	4443942	88249736.00
2017-11-27	17.18	17.45	17.06	17.22	3085474	61420764.00
2017-11-28	17.20	17.46	17.18	17.46	3097660	61980712.00
2017-11-29	17.46	17.60	16.76	16.99	4588285	90504064.00
2017-11-30	16.99	17.33	16.88	16.99	3073693	60572876.00
2017-12-01	16.99	17.09	16.82	17.01	2373614	46577428.00
2017-12-04	17.01	17.01	15.36	15.58	6822278	127925472.00
2017-12-05	15.45	15.63	14.52	14.62	5982924	105528792.00
2017-12-06	14.60	15.15	14.55	15.04	4472910	78085672.00
2017-12-07	14.92	15.13	14.72	14.83	3467642	60825812.00
2017-12-08	14.85	15.76	14.78	15.49	5877393	106244368.00
2017-12-11	15.46	15.90	15.36	15.74	4519445	82823016.00
2017-12-12	15.56	15.86	14.89	14.95	4851666	86877640.00
2017-12-13	15.05	15.49	15.04	15.37	3467322	62246964.00
2017-12-14	15.42	15.63	15.32	15.59	3762018	68174056.00
2017-12-15	15.50	15.51	15.23	15.31	2901161	52231548.00
2017-12-18	15.41	15.46	14.89	15.15	2733766	48582876.00
2017-12-19	15.21	15.69	15.21	15.50	4031096	73102472.00
2017-12-20	15.43	15.50	14.99	15.13	2990016	53377028.00
2017-12-21	15.12	15.48	14.76	15.35	4261712	76032488.00
2017-12-22	15.17	15.52	15.17	15.34	3215585	58020592.00
2017-12-25	15.66	17.14	15.43	17.14	13715245	259213632.00
2017-12-26	17.27	18.70	17.14	17.99	22970390	476508384.00
2017-12-27	18.22	18.22	17.26	17.45	14079247	285756736.00
2017-12-28	17.16	17.61	16.84	17.16	10455804	207355968.00
2017-12-29	17.23	17.70	17.16	17.18	6962566	139572544.00
2018-01-02	17.06	17.52	16.98	17.37	6565509	130214848.00
2018-01-03	17.28	17.50	17.07	17.25	6985508	139276064.00
2018-01-04	17.21	17.25	16.99	17.09	5007041	98841224.00
2018-01-05	17.16	17.85	17.07	17.65	8781299	177002176.00
2018-01-08	17.66	18.06	17.39	17.96	9653102	196699904.00
2018-01-09	17.86	19.02	17.62	18.66	17006690	361705120.00
2018-01-10	18.41	18.51	17.16	17.53	11547725	236903920.00
2018-01-11	17.36	19.55	17.21	19.55	10440234	221096560.00
2018-01-12	20.16	21.21	19.06	19.07	27741633	635587840.00
2018-01-15	18.62	20.07	18.04	19.27	18557771	403777120.00
2018-01-16	18.86	20.15	18.57	19.76	15244306	340206208.00
2018-01-17	19.69	20.16	19.16	19.57	10181814	226948800.00
2018-01-18	19.55	20.19	19.36	19.89	10133050	228325776.00
2018-01-19	19.76	19.81	18.76	18.81	10750046	235645232.00
2018-01-22	18.48	18.49	17.56	17.73	8029195	164683296.00
2018-01-23	17.66	18.08	17.57	17.73	4294827	87737696.00
2018-01-24	17.79	18.11	17.67	18.00	4660528	95965136.00
2018-01-25	17.98	17.99	17.66	17.73	4576768	93541744.00
2018-01-26	17.67	17.91	17.31	17.40	4163845	84264816.00
2018-01-29	17.36	17.55	16.49	16.83	5842034	114759976.00
