603861 白云电器 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016-03-22	11.47	11.47	11.47	11.47	49185	602024.38
2016-03-23	12.69	12.69	12.69	12.69	12237	164710.02
2016-03-24	14.04	14.04	14.04	14.04	9230	136696.30
2016-03-25	15.52	15.52	15.52	15.52	39612	645279.50
2016-03-28	17.15	17.15	17.15	17.15	51148	916572.19
2016-03-29	18.94	18.94	18.94	18.94	235881	4649214.50
2016-03-30	20.91	20.91	20.91	20.91	208900	4528952.00
2016-03-31	23.08	23.08	23.08	23.08	556584	13274528.00
2016-04-01	25.47	25.47	25.03	25.47	15198436	398058912.00
2016-04-05	25.48	27.81	24.10	26.66	31579684	823739200.00
2016-04-06	25.73	26.16	25.24	25.55	18489513	488622624.00
2016-04-07	25.45	26.62	25.35	25.97	18784117	504516000.00
2016-04-08	25.33	26.11	24.73	25.99	12907566	337506496.00
2016-04-11	26.16	28.37	25.75	27.76	20632091	570727616.00
2016-04-12	27.20	27.71	25.82	26.23	16968738	467704064.00
2016-04-13	26.33	27.17	25.76	26.37	11828528	322825472.00
2016-04-14	26.56	29.08	26.32	29.08	20334599	585202944.00
2016-04-15	29.08	31.53	28.63	29.66	27878948	857926528.00
2016-04-18	28.22	28.41	26.84	28.16	13434275	385205920.00
2016-04-19	28.40	30.18	28.40	29.42	15588184	472542592.00
2016-04-20	29.23	31.04	27.01	30.14	18945810	565129088.00
2016-04-21	29.03	30.93	28.75	29.41	17195699	529096544.00
2016-04-22	28.25	29.72	28.11	28.38	12334036	363406560.00
2016-04-25	28.73	29.08	26.38	27.31	11088383	314279936.00
2016-04-26	26.73	27.78	26.73	27.73	9429791	263910608.00
2016-04-27	27.77	28.51	27.26	27.79	9937576	285100832.00
2016-04-28	27.43	27.73	26.23	27.10	8705632	240603664.00
2016-04-29	26.91	26.99	26.32	26.35	4923063	134801216.00
2016-05-03	26.40	27.03	25.53	27.00	7391323	202625248.00
