603933 睿能科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017-07-06	13.84	13.84	13.84	13.84	12400	360716.00
2017-07-07	15.32	15.32	15.32	15.32	2100	67200.00
2017-07-10	16.96	16.96	16.96	16.96	5014	176492.80
2017-07-11	18.75	18.75	18.75	18.75	12420	480902.41
2017-07-12	20.73	20.73	20.73	20.73	156560	6667890.50
2017-07-13	22.90	22.90	22.90	22.90	176592	8273335.00
2017-07-14	25.27	25.29	24.29	25.29	14545179	741052672.00
2017-07-17	24.86	26.55	24.10	24.28	14410623	745814272.00
2017-07-18	23.24	25.22	23.24	24.40	9976719	496514176.00
2017-07-19	25.00	25.43	24.26	24.75	8696916	441674880.00
2017-07-20	24.25	25.04	23.13	23.22	8433272	414053024.00
2017-07-21	22.82	23.26	22.39	22.68	5289090	246208816.00
2017-07-24	22.56	23.83	22.22	23.37	5689827	268713120.00
2017-07-25	23.28	23.38	22.21	22.24	4907237	228288784.00
2017-07-26	22.16	23.07	22.16	22.54	4248468	196283872.00
2017-07-27	22.29	23.58	21.90	23.22	6193190	288627552.00
2017-07-28	23.08	23.89	22.88	23.01	4664977	222025648.00
2017-07-31	22.47	23.21	22.47	23.01	3675261	172071888.00
2017-08-01	23.01	23.98	22.93	23.93	5190816	248915840.00
2017-08-02	23.74	23.86	22.69	22.76	4299363	205009616.00
2017-08-03	22.62	23.20	22.47	22.66	3205901	149885136.00
2017-08-04	22.57	22.75	21.97	22.02	3476953	158739936.00
2017-08-07	22.21	22.98	22.17	22.54	2468504	114085080.00
2017-08-08	22.46	23.02	22.04	22.99	2969487	137031856.00
2017-08-09	22.86	23.94	22.81	23.54	3853029	184637808.00
2017-08-10	23.28	23.79	22.48	22.66	3253872	152954576.00
2017-08-11	22.21	22.35	21.56	21.71	4272846	192492384.00
2017-08-14	21.52	22.11	21.50	21.99	2154638	96758680.00
2017-08-15	21.88	22.31	21.50	21.88	3336705	149515104.00
2017-08-16	21.85	22.91	21.77	22.51	4414185	202646592.00
2017-08-17	22.42	22.87	22.30	22.58	3133511	144830016.00
2017-08-18	22.31	22.42	22.07	22.15	2286601	103946872.00
2017-08-21	22.20	24.15	22.18	23.76	5207846	247647296.00
2017-08-22	23.79	24.50	23.54	23.98	5771132	282893280.00
2017-08-23	23.78	26.29	23.43	25.34	8010122	404755840.00
2017-08-24	25.02	25.83	23.96	24.05	7916454	402756960.00
2017-08-25	24.10	25.62	24.09	25.50	6067802	307361888.00
2017-08-28	25.86	26.88	25.71	26.34	7726077	413546976.00
2017-08-29	26.29	27.84	25.79	25.90	8174175	444992608.00
2017-08-30	25.44	25.99	24.73	25.08	5378228	277564416.00
2017-08-31	25.42	26.80	25.36	26.63	5329629	283428992.00
2017-09-01	26.77	26.84	25.84	26.11	4012429	213975296.00
2017-09-04	25.98	27.00	25.58	25.70	4168295	222513904.00
2017-09-05	25.58	26.32	25.32	26.14	2833824	148935072.00
2017-09-06	25.79	25.93	24.97	25.50	3207846	166130848.00
2017-09-07	25.32	26.00	25.32	25.45	2594609	135771440.00
2017-09-08	25.32	25.96	25.03	25.93	2963426	154311408.00
2017-09-11	26.14	26.96	26.03	26.82	3915936	212259904.00
2017-09-12	26.83	26.83	25.55	25.75	3757307	199321936.00
2017-09-13	25.85	27.47	25.68	27.26	4316488	233689216.00
2017-09-14	27.08	28.41	26.88	27.42	5417766	304262272.00
2017-09-15	27.10	28.33	27.10	27.44	5048173	285123040.00
2017-09-18	27.13	27.31	26.24	26.94	3786205	205010544.00
2017-09-19	26.73	28.03	26.60	27.88	3866786	215318928.00
2017-09-20	27.79	28.37	27.38	28.17	3595862	204163712.00
2017-09-21	27.87	28.07	26.85	26.89	3391942	189363776.00
2017-09-22	26.88	27.53	26.14	27.48	2894644	158663792.00
2017-09-25	27.31	28.01	26.65	26.73	2494997	138959664.00
2017-09-26	26.39	26.69	24.91	25.41	3631712	189989584.00
2017-09-27	25.39	25.92	25.30	25.65	1628811	84828168.00
2017-09-28	25.65	26.19	25.53	25.81	1629208	86056064.00
2017-09-29	25.78	26.25	25.53	25.87	1605097	84629512.00
2017-10-09	26.25	26.43	25.92	26.00	1479306	78816408.00
2017-10-10	25.93	26.74	25.89	26.74	1965295	105678272.00
2017-10-11	26.80	27.00	26.19	26.28	1923431	103759976.00
2017-10-12	26.16	26.46	25.53	25.80	1935303	102123376.00
2017-10-13	25.77	26.65	25.54	26.59	2192823	117032048.00
2017-10-16	26.74	26.74	25.42	25.58	2118007	111619104.00
2017-10-17	25.42	26.43	25.30	26.03	1273876	67407872.00
2017-10-18	26.01	26.22	25.37	25.53	1281497	67249120.00
2017-10-19	25.53	26.13	25.42	25.94	1238997	65164980.00
2017-10-20	25.65	27.34	25.65	27.31	3452917	187909424.00
2017-10-23	27.21	27.84	27.13	27.59	2820017	157311440.00
2017-10-24	27.44	27.47	26.72	27.43	2727082	150310512.00
2017-10-25	27.52	28.80	27.32	28.73	4794520	274294624.00
2017-10-26	28.52	28.89	28.33	28.73	3033590	176318976.00
2017-10-27	28.52	28.98	28.41	28.95	2502573	145556816.00
2017-10-30	29.74	30.09	28.23	28.27	4441901	262528688.00
2017-10-31	28.08	31.20	28.06	30.55	5987232	364481792.00
2017-11-01	30.37	31.38	30.32	30.76	4720366	295277216.00
2017-11-02	30.66	31.90	30.38	30.44	3986597	250832128.00
2017-11-03	30.50	31.43	30.22	31.39	3446929	215958576.00
2017-11-06	31.63	31.74	30.95	31.39	3286441	207804720.00
2017-11-07	31.25	31.37	30.48	31.23	2868358	179552192.00
2017-11-08	31.17	31.74	30.57	30.58	2929734	184813600.00
2017-11-09	30.46	30.87	30.02	30.50	2594597	159738016.00
2017-11-10	30.52	31.10	30.38	30.68	2140448	133283552.00
2017-11-13	30.96	32.41	30.78	32.26	3683679	236940416.00
2017-11-14	32.21	32.24	31.06	31.18	2963310	189766848.00
2017-11-15	30.99	31.14	29.76	30.11	2756386	168878480.00
2017-11-16	30.09	30.53	29.00	29.16	2678780	160990592.00
2017-11-17	29.20	29.49	27.09	27.39	2912834	167512400.00
2017-11-20	27.72	28.60	27.38	28.55	2166385	123597480.00
2017-11-21	28.40	28.59	26.40	27.76	3365427	187326992.00
2017-11-22	27.63	28.45	27.21	28.28	2404657	136285344.00
2017-11-23	28.08	28.62	27.57	27.93	2047157	117068328.00
2017-11-24	27.72	28.41	27.45	27.79	1740000	98976824.00
2017-11-27	27.53	27.53	25.06	25.24	2684837	142963808.00
2017-11-28	25.24	26.08	25.24	25.96	1424634	74767168.00
2017-11-29	26.04	26.17	25.42	26.03	1494751	78651760.00
2017-11-30	26.03	26.49	25.73	26.01	1246751	66254188.00
2017-12-01	26.11	26.65	25.89	26.46	1321297	70902960.00
2017-12-04	26.10	26.10	24.07	24.33	2570797	130501216.00
2017-12-05	24.23	24.72	23.68	23.91	1503397	74327400.00
2017-12-06	23.97	24.94	23.97	24.87	1586450	79218048.00
2017-12-07	24.61	25.14	24.61	24.75	1150631	58382436.00
2017-12-08	24.57	25.65	24.57	25.37	1583767	81771160.00
2017-12-11	25.27	25.68	25.24	25.52	1092488	56636344.00
2017-12-12	25.42	25.42	24.15	24.26	1749786	88328896.00
2017-12-13	24.18	25.14	24.18	25.08	1365943	69200224.00
2017-12-14	24.91	25.68	24.67	25.48	1418851	73025528.00
2017-12-15	25.35	25.79	25.12	25.40	1207815	62531284.00
2017-12-18	25.51	25.58	24.92	25.40	1023014	52616300.00
2017-12-19	25.40	25.68	25.34	25.61	1001658	52064068.00
2017-12-20	25.53	25.53	24.84	24.97	1081774	55592520.00
2017-12-21	24.71	25.29	24.25	25.06	1262854	63824940.00
2017-12-22	25.02	25.13	24.71	24.79	965025	48996856.00
2017-12-25	24.61	25.02	24.23	24.73	1239617	62071448.00
2017-12-26	24.66	25.98	24.46	25.76	1895980	98279824.00
2017-12-27	25.67	26.11	25.47	25.53	1303100	68465832.00
2017-12-28	25.39	26.45	25.27	26.00	1426071	75736200.00
2017-12-29	26.00	26.39	25.86	26.21	1114857	59218824.00
2018-01-02	26.35	26.46	25.88	26.29	1097082	58335624.00
2018-01-03	26.19	26.24	25.80	25.96	1288508	68169080.00
2018-01-04	25.93	26.33	25.76	26.01	1059686	56163100.00
2018-01-05	26.01	26.27	25.85	25.99	1011600	53680144.00
2018-01-08	26.04	26.17	25.44	25.93	1529588	80025064.00
2018-01-09	25.93	25.93	25.53	25.77	1016294	53278356.00
