603938 三孚股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017-06-28	4.86	4.86	4.86	4.86	14227	197470.77
2017-06-29	5.41	5.41	5.41	5.41	10211	155921.97
2017-06-30	6.01	6.01	6.01	6.01	19900	334320.00
2017-07-03	6.67	6.67	6.67	6.67	26000	480480.00
2017-07-04	7.39	7.39	7.39	7.39	67689	1376117.38
2017-07-05	8.19	8.19	8.19	8.19	81458	1821400.88
2017-07-06	9.07	9.07	9.07	9.07	100312	2467675.25
2017-07-07	10.04	10.04	10.04	10.04	129678	3509086.75
2017-07-10	11.10	11.10	10.57	10.81	23845404	694583744.00
2017-07-11	11.10	11.58	10.75	11.06	22045189	659490816.00
2017-07-12	10.51	11.01	10.05	10.83	15990127	455257408.00
2017-07-13	10.67	10.68	9.88	9.91	13074569	358664448.00
2017-07-14	10.02	10.44	9.96	10.29	11118148	305846016.00
2017-07-17	10.01	10.29	9.20	9.20	9600339	247035456.00
2017-07-18	8.93	9.37	8.75	9.10	6988562	171261536.00
2017-07-19	8.92	9.64	8.76	9.36	8305635	207788704.00
2017-07-20	9.29	9.54	8.93	9.03	7337922	184170048.00
2017-07-21	9.07	9.81	8.79	9.42	9583547	240798848.00
2017-07-24	9.24	10.20	9.03	9.94	12407636	325219328.00
2017-07-25	9.70	9.89	9.55	9.76	8829763	231736112.00
2017-07-26	9.62	10.04	9.45	9.53	8918261	234687952.00
2017-07-27	9.25	9.87	9.16	9.73	10315815	265660544.00
2017-07-28	9.57	9.76	9.23	9.34	7322451	187614752.00
2017-07-31	9.31	9.84	9.15	9.82	8823468	226946144.00
2017-08-01	9.70	10.37	9.68	10.16	12280879	333386912.00
2017-08-02	10.02	10.18	9.78	9.94	7448220	200103792.00
2017-08-03	9.94	10.15	9.47	9.49	8271111	219983536.00
2017-08-04	9.27	9.40	9.03	9.07	7491913	186999056.00
2017-08-07	9.11	9.27	8.94	9.03	4138115	101971288.00
2017-08-08	9.04	9.17	8.85	9.04	3549623	86677440.00
2017-08-09	9.00	9.11	8.89	8.94	3214824	78283656.00
2017-08-10	8.91	8.94	8.49	8.52	4718714	111729480.00
2017-08-11	8.36	8.63	8.32	8.42	2710544	62140888.00
2017-08-14	8.38	8.58	8.36	8.52	2458631	56894412.00
2017-08-15	8.55	8.69	8.46	8.65	2890362	67640096.00
2017-08-16	8.60	9.07	8.60	8.94	5156432	124413088.00
2017-08-17	8.84	8.95	8.77	8.84	3109892	74758136.00
2017-08-18	8.81	8.81	8.60	8.61	2579111	60911804.00
2017-08-21	8.62	9.05	8.62	9.02	5102719	123288816.00
2017-08-22	9.02	9.56	8.93	9.38	9528949	239130176.00
2017-08-23	9.29	9.44	9.14	9.32	5323502	134023456.00
2017-08-24	9.27	9.62	8.98	9.13	6586325	166292624.00
2017-08-25	9.03	9.66	8.99	9.53	6918912	176100400.00
2017-08-28	9.67	10.08	9.47	10.00	10238249	271151392.00
2017-08-29	9.84	11.06	9.64	10.38	17030370	473639488.00
2017-08-30	11.27	11.48	11.27	11.48	7229777	221146192.00
2017-08-31	12.69	12.69	12.06	12.69	16710600	560114176.00
2017-09-01	13.09	13.61	12.25	12.27	26116437	901534400.00
2017-09-04	11.97	12.59	11.31	11.56	16320623	518565664.00
2017-09-05	11.43	11.70	11.12	11.32	10394906	317747264.00
2017-09-06	11.19	11.53	11.02	11.27	7916864	239122960.00
2017-09-07	11.26	11.70	10.97	10.99	10412753	317620608.00
2017-09-08	11.04	11.18	10.73	10.86	6860953	201282848.00
2017-09-11	10.94	11.42	10.82	11.39	7469396	223991856.00
2017-09-12	11.31	11.94	11.13	11.77	11227092	346739104.00
2017-09-13	11.58	11.89	11.51	11.67	6137675	191527200.00
2017-09-14	11.67	12.10	11.62	11.70	7726869	245089680.00
2017-09-15	11.47	11.58	10.97	11.07	5722968	172627888.00
2017-09-18	10.96	11.96	10.93	11.92	8546951	264799392.00
2017-09-19	11.88	12.50	11.59	12.24	9845260	316978976.00
2017-09-20	12.08	12.56	12.03	12.10	7963204	260198304.00
2017-09-21	12.06	12.22	11.47	11.48	6741006	212338224.00
2017-09-22	11.55	12.50	11.55	12.27	9804154	317501856.00
2017-09-25	12.15	12.23	11.82	11.97	5405718	173437552.00
2017-09-26	11.89	12.12	11.08	11.31	6233823	190612512.00
2017-09-27	11.19	11.70	11.11	11.50	4051268	124505632.00
2017-09-28	11.51	11.81	11.30	11.41	3477944	107929504.00
2017-09-29	11.45	11.59	11.25	11.40	2443329	74613808.00
2017-10-09	11.58	11.66	11.46	11.50	2908937	89996832.00
2017-10-10	11.47	11.88	11.33	11.84	3853811	119657928.00
2017-10-11	11.93	12.01	11.47	11.77	4035589	126256720.00
2017-10-12	11.64	11.87	11.53	11.64	3002285	93698376.00
2017-10-13	11.74	12.02	11.62	11.97	4368927	138884784.00
2017-10-16	12.05	12.12	11.00	11.21	5807578	178122400.00
2017-10-17	11.15	11.27	10.86	11.19	2646728	78685600.00
2017-10-18	11.15	11.22	10.68	10.75	3259558	95663328.00
2017-10-19	10.79	10.88	10.64	10.70	2583244	74655576.00
2017-10-20	10.60	10.94	10.60	10.91	1716091	50102748.00
2017-10-23	10.91	11.17	10.88	11.10	1595088	47433700.00
2017-10-24	10.99	11.67	10.99	11.57	4565134	139538192.00
2017-10-25	11.57	11.95	11.51	11.92	4143141	130604992.00
2017-10-26	11.93	12.21	11.70	12.04	5510440	177036400.00
2017-10-27	11.99	12.32	11.90	12.23	4272694	138388944.00
2017-10-30	11.77	11.84	10.95	10.97	6074522	184230688.00
2017-10-31	11.01	11.56	10.84	11.54	3997789	119831176.00
2017-11-01	11.42	11.95	11.41	11.83	4852550	152166080.00
2017-11-02	11.83	12.01	11.59	11.92	4285221	135353872.00
2017-11-03	12.02	12.18	11.80	12.02	4418884	141730816.00
2017-11-06	12.13	12.37	11.96	12.09	4297021	139483232.00
2017-11-07	12.16	12.16	11.69	11.96	3641106	115457360.00
2017-11-08	12.05	13.22	12.05	13.21	15295178	529388000.00
2017-11-09	12.96	14.60	12.83	14.60	15816255	572851456.00
2017-11-10	15.27	16.04	14.73	15.38	14989762	605625920.00
2017-11-13	15.47	15.90	14.95	15.31	13081516	533330048.00
2017-11-14	15.26	15.84	15.03	15.54	12974377	529718496.00
2017-11-15	14.72	14.72	13.93	13.93	10515565	397125280.00
2017-11-16	14.06	14.64	13.96	14.20	8537436	324524032.00
2017-11-17	14.45	15.68	14.20	15.16	12222306	494067552.00
2017-11-20	14.86	15.58	13.74	15.43	9079746	353613440.00
2017-11-21	15.15	15.78	13.91	15.17	9462851	371156704.00
2017-11-22	14.80	16.60	14.50	15.96	10171377	418273376.00
2017-11-23	15.94	16.07	14.37	14.44	7536304	304651328.00
2017-11-24	14.05	14.92	13.80	14.19	5175370	196889488.00
2017-11-27	13.81	14.41	12.71	12.80	4684281	170703664.00
2017-11-28	13.07	13.44	12.88	13.32	4006544	140269424.00
2017-11-29	13.39	14.13	12.41	14.03	8159831	285598624.00
2017-11-30	13.76	14.03	13.47	13.55	5085476	185843728.00
2017-12-01	13.42	13.94	13.41	13.57	3468647	126247600.00
2017-12-04	13.34	13.35	12.71	12.88	4067777	141075392.00
2017-12-05	12.88	13.74	12.71	13.17	4770820	168876864.00
2017-12-06	13.17	13.88	12.96	13.80	4303429	154401104.00
2017-12-07	13.64	14.07	13.55	13.78	4050806	148703216.00
2017-12-08	13.85	14.20	13.46	13.93	3818451	141083248.00
2017-12-11	13.78	14.49	13.78	14.36	4324397	163566496.00
2017-12-12	14.33	14.53	14.11	14.29	3382185	128660688.00
2017-12-13	14.25	14.41	13.94	14.28	2343468	88391864.00
2017-12-14	14.32	14.97	14.20	14.73	4574193	177288144.00
2017-12-15	14.58	14.95	13.94	14.20	3488742	133501552.00
2017-12-18	14.05	14.33	13.21	13.66	2999160	108850248.00
2017-12-19	13.56	14.15	13.56	14.13	3617841	133563896.00
2017-12-20	14.09	14.93	14.04	14.65	5131927	199144976.00
2017-12-21	15.11	15.70	14.80	15.10	5282845	211970688.00
2017-12-22	15.18	16.53	15.18	15.89	5454266	229734400.00
2017-12-25	15.93	16.04	15.32	15.68	3936892	163271424.00
2017-12-26	15.62	15.82	15.07	15.50	3470748	141362592.00
2017-12-27	15.58	16.04	15.00	15.07	3521978	144612272.00
2017-12-28	15.09	15.80	15.09	15.15	4966394	202591360.00
2017-12-29	15.33	15.62	14.73	15.49	3131125	126447968.00
2018-01-02	15.46	15.82	15.18	15.60	3065569	125981776.00
2018-01-03	15.49	15.84	15.28	15.46	3124385	128095536.00
2018-01-04	15.23	15.79	15.09	15.68	3250934	133236232.00
2018-01-05	15.66	15.74	14.96	15.00	3710600	149542912.00
2018-01-08	14.98	15.35	14.51	15.26	3249960	128185368.00
2018-01-09	15.11	15.23	14.61	14.71	2196452	86569088.00
2018-01-10	14.67	14.71	14.39	14.47	2088517	80318768.00
2018-01-11	14.33	14.67	14.25	14.40	2588917	98856392.00
2018-01-12	14.48	14.52	14.07	14.10	2054594	77477136.00
2018-01-15	14.09	14.67	14.01	14.13	2569467	97396752.00
2018-01-16	14.03	14.03	13.15	13.46	4280780	154096496.00
2018-01-17	13.41	13.47	12.61	13.35	3119969	108557504.00
2018-01-18	13.19	13.66	13.19	13.39	1629200	58112912.00
2018-01-19	13.38	13.60	13.03	13.44	1610228	57363660.00
2018-01-22	13.43	13.58	12.99	13.31	1556868	55120924.00
2018-01-23	13.39	13.67	13.27	13.55	1720012	61682840.00
2018-01-24	13.50	13.57	13.30	13.47	1648798	58863992.00
2018-01-25	13.53	13.59	13.27	13.39	1583782	56656136.00
2018-01-26	13.31	13.48	12.65	12.70	2992509	103142992.00
2018-01-29	12.70	12.70	12.11	12.35	1708200	56221176.00
2018-01-30	12.73	12.99	12.49	12.50	1683100	56957384.00
2018-01-31	12.21	12.48	11.42	11.54	2893627	92286448.00
2018-02-01	11.50	11.76	10.40	10.58	4313771	126127616.00
2018-02-02	10.53	10.53	10.07	10.24	3860854	107023720.00
2018-02-05	10.01	10.70	9.93	10.27	2309767	64441492.00
2018-02-06	10.02	10.09	9.57	9.63	2754495	73344568.00
2018-02-07	9.89	9.99	8.79	9.50	3150117	80714240.00
2018-02-08	9.40	9.84	9.33	9.82	2028894	52884712.00
2018-02-09	9.46	9.70	9.15	9.18	2034259	51891668.00
2018-02-12	9.37	9.78	9.34	9.71	1881779	48879608.00
2018-02-13	9.76	10.35	9.76	9.85	2545412	68993480.00
2018-02-14	9.85	9.95	9.54	9.85	1260807	33205544.00
2018-02-22	9.84	10.36	9.84	10.27	2193907	60037796.00
2018-02-23	10.23	10.25	10.03	10.17	1537000	41987368.00
