605188 国光连锁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020-07-28	5.45	6.57	5.45	6.57	229143	1531114.00
2020-07-29	7.24	7.24	7.24	7.24	47087	347031.00
2020-07-30	7.98	7.98	7.98	7.98	48746	395330.00
2020-07-31	8.79	8.79	8.79	8.79	176778	1576860.00
2020-08-03	9.68	9.68	9.68	9.68	296071	2904457.00
2020-08-04	10.66	10.66	10.66	10.66	195582	2110330.00
2020-08-05	11.74	11.74	11.74	11.74	124658	1479690.00
2020-08-06	12.93	12.93	12.93	12.93	224746	2935183.00
2020-08-07	14.24	14.24	14.24	14.24	2771565	39827388.00
2020-08-10	15.68	15.68	15.68	15.68	2874257	45442004.00
2020-08-11	17.26	17.26	16.77	17.26	11605075	201678640.00
2020-08-12	17.60	17.60	15.75	16.43	31942820	533280992.00
2020-08-13	15.90	16.23	14.77	14.77	23415198	361680832.00
2020-08-14	14.38	14.64	14.10	14.24	16066318	232170944.00
2020-08-17	14.07	14.55	14.07	14.33	11753097	170303728.00
2020-08-18	14.21	14.42	13.77	14.04	15794680	223294304.00
2020-08-19	13.99	14.22	13.77	14.08	10076713	142593728.00
2020-08-20	13.97	13.97	13.50	13.59	8608084	119037200.00
2020-08-21	13.65	13.83	13.56	13.58	6545211	90312072.00
2020-08-24	13.52	13.70	13.29	13.47	5597711	75993312.00
2020-08-25	13.57	14.08	13.43	13.90	10840264	151035664.00
2020-08-26	14.02	14.03	13.42	13.57	7698617	106553872.00
2020-08-27	13.66	13.89	13.57	13.73	5659181	78341952.00
2020-08-28	13.66	13.66	13.23	13.39	7095221	96033424.00
2020-08-31	13.39	13.48	13.24	13.27	4730066	63761668.00
2020-09-01	13.23	13.34	13.13	13.25	3803627	50750640.00
2020-09-02	13.25	13.30	12.87	12.90	5677211	74724768.00
2020-09-03	12.85	13.04	12.61	12.65	4393292	56872048.00
2020-09-04	12.52	12.68	12.47	12.65	2679119	34025012.00
2020-09-07	12.54	12.72	12.47	12.49	2985200	37985120.00
2020-09-08	12.49	12.53	12.17	12.25	3715379	46222752.00
2020-09-09	12.16	12.17	11.78	11.79	3746748	45284724.00
2020-09-10	11.92	12.00	11.60	11.65	3118824	37372868.00
2020-09-11	11.57	11.96	11.40	11.83	2628427	30992098.00
2020-09-14	11.87	12.23	11.82	12.18	3224489	39392936.00
2020-09-15	12.20	12.29	12.07	12.24	2046909	25212324.00
2020-09-16	12.29	12.50	12.15	12.31	3530039	44053668.00
2020-09-17	12.23	12.45	12.06	12.40	3112352	38508968.00
2020-09-18	12.27	12.66	12.26	12.39	2958078	37252160.00
2020-09-21	12.41	12.41	12.17	12.17	1925140	23861512.00
2020-09-22	12.15	12.53	12.02	12.22	2534193	31425200.00
2020-09-23	12.29	12.78	12.29	12.52	5643303	71945488.00
2020-09-24	12.41	12.45	12.04	12.08	3943409	48745360.00
2020-09-25	12.23	12.52	11.80	11.85	3470100	42476748.00
2020-09-28	11.82	11.95	11.33	11.33	3350374	39188192.00
2020-09-29	11.32	11.50	11.27	11.50	1673183	19269096.00
2020-09-30	11.44	11.62	11.37	11.46	1698010	19766084.00
2020-10-09	11.55	11.75	11.48	11.70	1701004	20017192.00
2020-10-12	11.71	12.18	11.68	12.15	2902864	35161880.00
2020-10-13	12.08	12.14	11.99	12.13	1729043	21075928.00
2020-10-14	12.01	12.27	12.00	12.10	1397409	17089922.00
2020-10-15	12.14	12.26	11.72	11.77	1871538	22580544.00
2020-10-16	11.86	11.87	11.69	11.74	896330	10661466.00
2020-10-19	11.84	11.85	11.56	11.58	1397984	16498243.00
2020-10-20	11.66	11.76	11.55	11.74	1122391	13239315.00
2020-10-21	11.73	11.88	11.63	11.83	1428718	17021526.00
2020-10-22	11.82	11.86	11.57	11.75	1719712	20375528.00
2020-10-23	11.87	12.33	11.72	11.82	5550432	67352376.00
2020-10-26	11.82	11.82	11.38	11.56	4157500	48494720.00
2020-10-27	11.44	11.66	11.43	11.52	1741488	20286312.00
2020-10-28	11.48	11.61	11.38	11.39	2068868	23977716.00
2020-10-29	11.32	11.37	11.17	11.20	2267009	25797536.00
2020-10-30	11.19	11.24	10.64	10.67	2726047	30309848.00
2020-11-02	10.74	10.76	10.56	10.66	1569054	16905028.00
2020-11-03	10.61	11.74	10.61	11.35	9754733	113053536.00
2020-11-04	11.26	11.43	10.97	10.97	7527682	84566096.00
2020-11-05	11.10	11.33	11.01	11.15	3324893	37599952.00
2020-11-06	11.14	11.42	11.07	11.26	3202088	36433500.00
2020-11-09	11.42	11.47	11.27	11.33	2903891	33379900.00
2020-11-10	11.34	11.59	11.27	11.47	3544028	40860464.00
2020-11-11	11.47	11.84	11.20	11.76	6998481	82392968.00
2020-11-12	11.74	11.84	11.52	11.64	2984558	35099260.00
2020-11-13	11.72	11.81	11.47	11.70	2583849	30466652.00
2020-11-16	11.69	11.91	11.65	11.89	3764927	44940328.00
2020-11-17	11.81	11.99	11.57	11.70	3390200	40322728.00
2020-11-18	11.76	11.84	11.63	11.80	2388100	28346536.00
2020-11-19	11.79	11.93	11.71	11.86	2184649	26146070.00
2020-11-20	11.82	11.86	11.63	11.70	2028537	24065538.00
2020-11-23	11.70	11.70	11.53	11.58	2072189	24287368.00
2020-11-24	11.58	11.60	11.48	11.51	1010803	11773558.00
2020-11-25	11.56	11.61	11.23	11.31	1820712	21053932.00
2020-11-26	11.37	11.42	11.09	11.16	2144217	24314100.00
2020-11-27	11.25	11.28	11.04	11.17	1991895	22448160.00
2020-11-30	11.22	11.41	11.10	11.24	2316192	26406316.00
2020-12-01	11.22	11.95	11.22	11.92	7266492	85891856.00
2020-12-02	11.80	12.13	11.72	11.86	5920911	71423768.00
2020-12-03	11.94	12.19	11.79	12.12	5684103	69256232.00
2020-12-04	12.03	12.07	11.75	11.78	3346190	40201760.00
2020-12-07	11.67	12.26	11.67	12.26	6418130	78536544.00
2020-12-08	12.05	12.11	11.85	11.95	4594400	55602412.00
2020-12-09	11.86	12.16	11.80	12.00	3478621	42155860.00
2020-12-10	11.88	11.97	11.30	11.39	5343800	62643796.00
2020-12-11	11.40	11.59	10.89	10.96	3817803	43102124.00
2020-12-14	10.89	11.09	10.78	11.04	1787889	19785448.00
2020-12-15	10.98	11.18	10.89	11.06	1470000	16421370.00
2020-12-16	11.02	11.04	10.69	10.71	1948467	21380076.00
2020-12-17	10.65	10.79	9.75	10.72	2360491	25279820.00
2020-12-18	10.71	10.71	10.25	10.28	2292302	24195396.00
2020-12-21	10.27	10.32	10.17	10.17	1631900	16910936.00
2020-12-22	10.24	10.25	9.91	9.94	1565200	15973364.00
2020-12-23	9.98	10.06	9.87	9.90	1186967	11962819.00
2020-12-24	9.95	9.95	9.58	9.67	2215350	21845698.00
2020-12-25	9.69	10.33	9.59	10.08	2834537	28801272.00
2020-12-28	9.97	10.07	9.65	9.68	2054940	20415400.00
2020-12-29	9.67	9.92	9.60	9.68	1314200	12961105.00
2020-12-30	9.73	9.94	9.65	9.84	1411276	13986356.00
2020-12-31	9.83	9.95	9.80	9.84	1037403	10374715.00
2021-01-04	9.84	9.98	9.77	9.83	1775503	17715024.00
2021-01-05	9.82	9.85	9.68	9.69	1411003	13924580.00
2021-01-06	9.72	9.75	9.41	9.42	1990806	19211530.00
2021-01-07	9.42	9.42	8.85	8.92	3201100	29348116.00
2021-01-08	8.87	9.09	8.63	8.75	2307506	20680096.00
2021-01-11	8.75	8.78	8.31	8.45	2634174	22721340.00
2021-01-12	8.45	8.67	8.37	8.45	1550589	13385159.00
2021-01-13	8.43	8.43	8.15	8.18	2023738	16951676.00
2021-01-14	8.21	8.40	8.14	8.19	2338003	19605232.00
2021-01-15	8.16	8.66	8.16	8.64	3928806	33877668.00
2021-01-18	8.54	8.87	8.53	8.69	2268904	20081396.00
2021-01-19	8.77	8.81	8.67	8.76	1043196	9257584.00
2021-01-20	8.76	9.27	8.70	9.06	5264829	48314908.00
2021-01-21	8.93	9.14	8.85	8.88	3065400	27941300.00
2021-01-22	8.87	9.78	8.85	9.78	9208978	89063968.00
2021-01-25	9.97	10.50	9.23	9.57	12944160	129416216.00
2021-01-26	9.45	9.93	8.97	9.57	8655082	82276392.00
2021-01-27	9.57	9.58	8.99	9.23	6375662	59749148.00
2021-01-28	9.17	9.33	8.85	8.86	5321948	48708680.00
2021-01-29	8.98	8.98	8.62	8.67	4106115	36510784.00
2021-02-01	8.67	9.01	8.65	8.92	3043378	27309896.00
2021-02-02	8.93	8.98	8.75	8.83	2087203	18757016.00
2021-02-03	8.69	8.88	8.60	8.82	2968900	26316204.00
2021-02-04	8.82	8.82	8.57	8.59	2219503	19524156.00
2021-02-05	8.67	8.99	8.57	8.76	3698395	33185440.00
2021-02-08	8.86	9.03	8.60	8.68	3130103	27845764.00
2021-02-09	8.58	8.67	8.50	8.59	2379187	20702712.00
2021-02-10	8.58	8.69	8.49	8.49	2010481	17457660.00
2021-02-18	8.51	8.85	8.51	8.74	2286592	20202184.00
2021-02-19	8.73	9.01	8.65	9.01	3188889	28770840.00
2021-02-22	9.01	9.23	8.97	9.00	3437500	31674106.00
2021-02-23	8.88	8.99	8.80	8.93	2137756	19272760.00
2021-02-24	8.93	9.08	8.88	8.94	1720800	15669034.00
2021-02-25	8.94	9.07	8.68	8.70	2346400	20988636.00
2021-02-26	8.62	8.78	8.52	8.72	1251500	11041594.00
2021-03-01	8.74	9.04	8.74	9.01	2492900	22605512.00
2021-03-02	9.04	9.16	8.88	8.92	2191103	20046378.00
2021-03-03	8.90	9.02	8.90	8.98	1425700	12970935.00
2021-03-04	8.98	9.09	8.85	8.90	1712500	15578396.00
2021-03-05	8.83	9.00	8.82	8.97	1764189	15979787.00
2021-03-08	9.02	9.11	8.92	8.97	1719400	15703138.00
2021-03-09	8.98	9.00	8.62	8.70	1834700	16333015.00
2021-03-10	8.71	8.77	8.53	8.63	2091200	18331356.00
2021-03-11	8.63	8.89	8.60	8.72	2015200	17877796.00
2021-03-12	8.70	8.74	8.60	8.62	1437400	12631895.00
2021-03-15	8.59	8.69	8.56	8.57	1042292	9106886.00
2021-03-16	8.63	8.80	8.59	8.74	2439508	21596744.00
2021-03-17	8.76	8.87	8.69	8.81	1954525	17457740.00
2021-03-18	8.87	8.97	8.82	8.88	2132400	19200464.00
2021-03-19	8.80	9.30	8.80	9.08	5280600	48714548.00
2021-03-22	9.11	9.44	9.11	9.30	4052200	38125052.00
2021-03-23	9.25	9.31	8.95	8.99	3251100	30002192.00
2021-03-24	8.98	9.11	8.93	9.04	2315678	21196880.00
2021-03-25	9.07	9.29	9.04	9.11	3070900	28512308.00
2021-03-26	8.99	9.60	8.98	9.43	5682715	53800796.00
2021-03-29	9.34	9.75	9.15	9.72	6706300	64276308.00
2021-03-30	9.59	9.67	9.26	9.45	6600800	63012248.00
2021-03-31	9.72	10.41	9.70	10.41	4214600	43608784.00
2021-04-01	10.57	11.13	9.75	9.79	13753534	143377616.00
2021-04-02	9.54	9.94	9.41	9.61	8157228	79579536.00
2021-04-06	9.55	10.05	9.55	9.83	5824265	58058420.00
2021-04-07	9.92	10.83	9.75	10.83	8360201	87425936.00
2021-04-08	11.16	11.49	10.31	10.41	14339477	156946624.00
2021-04-09	10.52	11.46	10.38	11.46	11169217	125620576.00
2021-04-12	12.62	12.62	12.62	12.62	4808846	61312788.00
2021-04-13	13.00	13.90	12.48	13.90	32805319	445890240.00
2021-04-14	13.67	15.30	12.52	13.42	41670878	597178880.00
2021-04-15	12.07	12.27	12.07	12.07	12375178	151034880.00
2021-04-16	11.13	11.42	10.85	10.85	28549668	317457920.00
2021-04-19	10.65	10.87	10.55	10.72	16565256	179210752.00
2021-04-20	10.63	10.83	10.41	10.50	14242661	153262144.00
2021-04-21	10.41	10.70	10.33	10.44	10336836	110029552.00
2021-04-22	10.43	10.48	10.16	10.24	9353821	97210008.00
2021-04-23	10.19	10.24	9.72	9.83	8897615	89378328.00
2021-04-26	9.81	9.89	9.66	9.71	4820700	47796320.00
2021-04-27	9.68	9.80	9.65	9.74	4240849	41734704.00
2021-04-28	9.68	9.71	9.42	9.50	4698300	45328104.00
2021-04-29	9.50	9.57	9.35	9.37	3990700	38312528.00
2021-04-30	9.37	9.38	9.05	9.22	4907988	45741276.00
2021-05-06	9.24	9.35	9.19	9.22	2848403	26763414.00
2021-05-07	9.27	9.31	9.09	9.14	2804713	26146506.00
2021-05-10	9.20	9.20	9.04	9.17	2950278	27275640.00
2021-05-11	9.16	9.30	9.10	9.28	3292600	30830258.00
2021-05-12	9.52	9.83	9.39	9.46	8539591	83036272.00
2021-05-13	9.33	9.35	9.15	9.18	4817303	45162452.00
2021-05-14	9.18	9.26	9.15	9.18	3005803	28058732.00
