605318 法狮龙 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020-08-03	14.21	17.35	14.21	17.35	127064	2389504.00
2020-08-04	19.24	19.24	19.24	19.24	53070	1100672.00
2020-08-05	21.31	21.31	21.31	21.31	121237	2765416.00
2020-08-06	23.59	23.59	23.59	23.59	127966	3210667.00
2020-08-07	26.10	26.10	22.70	26.10	20079846	532014112.00
2020-08-10	25.51	25.59	23.40	23.79	14897105	384152672.00
2020-08-11	23.16	23.47	22.27	22.50	11414476	277123840.00
2020-08-12	22.03	22.11	21.19	21.75	8967344	207546976.00
2020-08-13	21.84	22.49	21.20	21.33	7421348	173304384.00
2020-08-14	20.93	21.27	20.30	20.57	6610834	146060224.00
2020-08-17	20.45	20.89	20.40	20.75	4679412	103889760.00
2020-08-18	20.76	20.77	20.35	20.66	4318849	95286880.00
2020-08-19	20.68	21.68	20.59	20.93	7126431	161868224.00
2020-08-20	20.60	20.61	19.81	20.06	5045442	108986912.00
2020-08-21	20.15	20.27	19.87	20.05	3167435	68281400.00
2020-08-24	20.04	20.12	19.51	19.78	2913444	61804268.00
2020-08-25	19.72	20.19	19.71	20.03	3314158	71188056.00
2020-08-26	19.96	20.65	19.96	20.09	4514764	98605088.00
2020-08-27	20.03	20.50	19.81	20.40	2715578	58981740.00
2020-08-28	20.25	20.37	20.00	20.30	2244557	48655948.00
2020-08-31	20.46	20.65	20.31	20.56	2558275	56132736.00
2020-09-01	20.50	20.96	20.34	20.92	3251279	72183000.00
2020-09-02	20.74	20.90	20.15	20.28	3543553	77732192.00
2020-09-03	20.15	20.37	19.80	19.88	2389366	51545616.00
2020-09-04	19.68	20.18	19.52	20.16	1609307	34398156.00
2020-09-07	19.97	20.16	19.62	19.72	1573704	33649168.00
2020-09-08	19.73	20.10	19.70	19.86	1281361	27377640.00
2020-09-09	19.84	20.22	19.60	20.00	2919594	62717344.00
2020-09-10	20.03	20.59	20.02	20.29	3334027	72598456.00
2020-09-11	20.40	20.46	19.50	20.00	2745794	58786616.00
2020-09-14	19.87	20.24	19.71	20.18	2129359	45878888.00
2020-09-15	20.15	21.04	20.08	21.02	4726057	104720728.00
2020-09-16	21.05	21.23	20.50	21.14	4002363	89515064.00
2020-09-17	21.03	21.26	20.63	20.80	3620823	81170072.00
2020-09-18	20.80	21.11	20.62	20.83	2284886	51051912.00
2020-09-21	20.83	20.83	20.35	20.47	1859901	40925928.00
2020-09-22	20.31	21.23	19.83	21.05	3863946	85704960.00
2020-09-23	21.25	21.43	20.86	21.10	3013700	68231992.00
2020-09-24	21.11	21.16	20.10	20.69	2691558	59352808.00
2020-09-25	20.73	21.49	20.52	21.28	4001678	90470120.00
2020-09-28	21.38	21.65	19.00	19.16	11383519	245981040.00
2020-09-29	19.34	19.34	17.09	17.45	7104008	135363040.00
2020-09-30	17.30	17.61	17.15	17.45	2904671	54996216.00
2020-10-09	17.55	17.96	17.50	17.92	2193418	42179088.00
2020-10-12	17.84	18.32	17.81	18.20	2107136	41228876.00
2020-10-13	18.15	18.19	17.90	18.00	1626090	31706832.00
2020-10-14	17.88	18.18	17.81	17.98	1654999	32149314.00
2020-10-15	18.06	18.07	17.64	17.76	1413930	27415768.00
2020-10-16	17.77	17.97	17.65	17.88	978985	18925144.00
2020-10-19	17.87	17.90	17.57	17.66	1240692	23864964.00
2020-10-20	17.58	17.84	17.53	17.77	978673	18775212.00
2020-10-21	17.71	17.89	17.57	17.72	980752	18827372.00
2020-10-22	17.64	17.71	17.49	17.65	893664	17078408.00
2020-10-23	17.59	17.76	17.38	17.44	1047204	19984392.00
2020-10-26	17.30	17.86	17.04	17.76	2293106	43723336.00
2020-10-27	17.68	17.70	17.48	17.58	1020259	19468020.00
2020-10-28	17.57	17.68	17.38	17.57	720312	13692664.00
2020-10-29	17.43	17.48	17.22	17.37	937384	17668380.00
2020-10-30	17.44	17.61	16.96	17.32	1408653	26541076.00
2020-11-02	17.30	17.57	17.19	17.41	1632938	30934736.00
2020-11-03	17.42	17.76	17.35	17.70	1112793	21264832.00
2020-11-04	17.75	17.77	17.47	17.67	1026128	19645408.00
2020-11-05	17.71	17.85	17.60	17.77	1276397	24595884.00
2020-11-06	17.85	18.30	17.65	17.74	967570	18661718.00
2020-11-09	17.90	17.97	17.64	17.88	1757929	34008932.00
2020-11-10	17.94	17.97	17.67	17.70	1194689	23074904.00
2020-11-11	17.79	18.23	17.70	18.13	3232740	63178904.00
2020-11-12	18.20	18.62	17.80	18.45	3162603	62325624.00
2020-11-13	18.23	18.84	18.12	18.38	2225340	44415288.00
2020-11-16	18.50	18.59	18.12	18.31	1402902	27757274.00
2020-11-17	18.40	18.70	18.10	18.36	1672463	33271400.00
2020-11-18	18.26	18.55	18.23	18.37	1060310	21065426.00
2020-11-19	18.40	18.46	18.29	18.37	1112600	22109316.00
2020-11-20	18.35	18.42	18.03	18.09	1336960	26285088.00
2020-11-23	18.09	18.14	17.96	18.02	977371	19095184.00
2020-11-24	18.11	18.11	17.75	17.77	1029186	19907452.00
2020-11-25	17.77	17.80	17.50	17.64	1023300	19547168.00
2020-11-26	17.68	17.78	17.56	17.77	610838	11721135.00
2020-11-27	17.80	17.87	17.68	17.77	536566	10335082.00
2020-11-30	17.78	17.85	17.63	17.74	680670	13103717.00
2020-12-01	17.80	18.05	17.72	17.91	708135	13741141.00
2020-12-02	17.98	17.99	17.83	17.95	662364	12871562.00
2020-12-03	17.98	18.08	17.90	17.91	720049	14021522.00
2020-12-04	17.98	17.99	17.85	17.91	481400	9339670.00
2020-12-07	17.85	17.91	17.71	17.85	473397	9133379.00
2020-12-08	17.80	17.88	17.66	17.66	418443	8062738.00
2020-12-09	17.78	17.78	17.15	17.70	1043065	19731342.00
2020-12-10	17.49	17.70	17.36	17.68	597500	11377820.00
2020-12-11	17.64	17.73	17.25	17.37	589500	11137849.00
2020-12-14	17.45	17.47	17.26	17.47	430265	8107885.00
2020-12-15	17.42	17.49	17.34	17.47	283138	5353087.00
2020-12-16	17.50	17.83	15.57	15.57	3600172	64031228.00
2020-12-17	13.93	14.68	13.89	14.24	6788148	106924472.00
2020-12-18	14.02	14.24	13.84	13.96	4037446	62658232.00
2020-12-21	13.94	14.35	13.88	13.99	3085638	48129416.00
2020-12-22	13.90	13.95	13.58	13.62	2430102	36992208.00
2020-12-23	13.60	13.78	13.29	13.30	2031648	30466380.00
2020-12-24	13.26	13.33	12.88	13.08	1944368	28331564.00
2020-12-25	12.96	13.74	12.96	13.50	1879472	27843072.00
2020-12-28	13.59	14.00	13.16	13.18	1560896	23349914.00
2020-12-29	13.24	13.28	13.00	13.07	1356656	19852448.00
2020-12-30	13.13	13.30	12.92	13.07	1412300	20593304.00
2020-12-31	13.15	13.26	13.03	13.18	1484291	21725062.00
2021-01-04	13.18	13.35	13.00	13.25	1453502	21367792.00
2021-01-05	13.19	13.40	13.17	13.38	1311860	19423800.00
2021-01-06	13.35	13.40	12.86	12.97	1462156	21316928.00
2021-01-07	12.82	12.96	12.21	12.36	1808635	25282214.00
2021-01-08	12.43	12.49	12.06	12.19	1122766	15439954.00
2021-01-11	12.19	12.19	11.76	11.90	1379146	18502382.00
2021-01-12	11.90	12.25	11.89	12.15	1438005	19600252.00
2021-01-13	12.18	12.59	11.88	12.26	1911581	26363578.00
2021-01-14	12.20	12.75	12.08	12.67	1744832	24465806.00
2021-01-15	12.70	13.15	12.57	13.15	1845299	26740636.00
2021-01-18	13.17	13.35	12.79	12.88	1779028	25718216.00
2021-01-19	12.82	12.92	12.66	12.85	1311656	18754684.00
2021-01-20	12.82	13.29	12.76	13.16	1705800	24840716.00
2021-01-21	13.20	13.36	13.08	13.11	1695400	24930568.00
2021-01-22	13.13	13.80	13.08	13.37	3461280	51619716.00
2021-01-25	13.47	13.53	12.75	13.42	2651920	38834664.00
2021-01-26	13.34	13.86	13.19	13.48	2697169	40785184.00
2021-01-27	13.28	13.55	13.06	13.37	1637369	24189792.00
2021-01-28	13.35	13.61	12.72	12.81	1555569	22758900.00
2021-01-29	12.80	12.99	12.30	12.43	1453970	20494030.00
2021-02-01	12.39	13.08	12.35	13.04	1370200	19591444.00
2021-02-02	12.93	13.19	12.75	12.78	1081007	15617456.00
2021-02-03	12.78	12.95	12.18	12.35	1128815	15801683.00
2021-02-04	12.22	12.57	12.14	12.24	985276	13619878.00
2021-02-05	12.31	13.61	12.10	13.61	2599044	38069448.00
2021-02-08	14.00	14.30	12.85	12.95	4003085	59658624.00
2021-02-09	12.91	13.03	12.36	12.75	2409231	33904368.00
2021-02-10	12.58	13.00	12.40	12.49	1811016	25552516.00
2021-02-18	12.61	12.94	12.31	12.81	1677018	23891690.00
2021-02-19	12.78	13.34	12.72	13.23	1953734	28601420.00
2021-02-22	13.25	13.67	13.12	13.17	2107235	31398352.00
2021-02-23	13.10	13.47	12.98	13.44	1472978	21722520.00
2021-02-24	13.44	13.61	13.26	13.56	1759804	26332638.00
2021-02-25	13.57	13.60	13.16	13.20	1394578	20667052.00
2021-02-26	13.05	13.49	13.00	13.38	1213900	17973110.00
2021-03-01	13.47	13.60	13.41	13.49	1233228	18502460.00
2021-03-02	13.58	13.93	13.44	13.54	1740028	26355568.00
2021-03-03	13.51	13.67	13.38	13.55	1201237	18042992.00
2021-03-04	13.53	13.79	13.24	13.28	1367228	20497628.00
2021-03-05	13.28	13.81	13.11	13.69	1643403	24810990.00
2021-03-08	13.75	14.15	13.62	13.80	2281500	35065284.00
2021-03-09	13.98	13.98	13.17	13.39	1488500	22319752.00
2021-03-10	13.44	13.45	12.89	13.03	1379200	20166112.00
2021-03-11	13.00	13.34	12.98	13.28	946447	13910624.00
2021-03-12	13.19	13.28	13.03	13.10	926382	13550842.00
2021-03-15	13.08	13.13	12.76	12.88	860718	12431239.00
2021-03-16	12.90	13.20	12.90	13.12	808000	11797692.00
2021-03-17	13.15	13.58	13.10	13.42	1252808	18611364.00
2021-03-18	13.42	13.72	13.29	13.54	1491008	22332744.00
2021-03-19	13.60	14.00	13.47	13.74	2290908	34914304.00
2021-03-22	13.78	14.05	13.70	14.05	2138616	32954524.00
2021-03-23	14.01	14.04	13.55	13.58	1531469	23303298.00
2021-03-24	13.64	13.75	13.45	13.64	1058300	15984710.00
2021-03-25	13.69	13.80	13.48	13.48	1112088	16827320.00
2021-03-26	13.55	13.77	13.36	13.58	1125706	16952668.00
2021-03-29	13.56	13.88	13.40	13.76	1364300	20631492.00
2021-03-30	13.75	13.87	13.48	13.72	1272853	19289776.00
2021-03-31	14.32	15.18	14.10	14.20	6017624	96068616.00
2021-04-01	13.91	15.47	13.91	15.13	6440424	106019792.00
2021-04-02	14.67	15.39	14.38	15.00	4878253	79778648.00
2021-04-06	14.79	15.22	14.61	15.05	2879670	47309752.00
2021-04-07	15.08	15.42	14.55	15.19	5156084	84928976.00
2021-04-08	15.01	15.78	15.00	15.00	5577714	93849560.00
2021-04-09	14.88	16.30	14.76	15.75	6810981	115996104.00
2021-04-12	15.80	16.11	15.33	15.60	4972022	84978840.00
2021-04-13	15.47	15.86	14.70	15.20	3977656	66381704.00
2021-04-14	15.26	16.87	15.26	16.87	2897899	51824352.00
2021-04-15	18.71	18.71	17.78	18.71	6981642	140858496.00
2021-04-16	16.74	18.00	16.69	16.69	12312700	229417200.00
2021-04-19	15.76	16.00	15.32	15.80	8382214	144031872.00
2021-04-20	15.58	15.99	15.50	15.64	5230600	90207368.00
2021-04-21	15.60	16.99	15.60	16.74	7404906	130096816.00
2021-04-22	16.08	17.08	15.75	17.05	6476891	116503776.00
2021-04-23	17.43	17.78	15.60	15.62	8169889	147008800.00
2021-04-26	14.92	15.19	13.91	13.91	6935675	109941616.00
2021-04-27	13.90	14.05	13.51	13.79	2986244	45441268.00
2021-04-28	13.84	13.88	13.45	13.54	2422400	36595360.00
2021-04-29	13.65	13.94	13.52	13.54	2210295	33573544.00
2021-04-30	13.54	13.59	13.08	13.12	2319291	34102400.00
2021-05-06	12.98	13.23	12.95	13.10	1254828	18362590.00
2021-05-07	13.10	13.28	12.94	12.98	1201368	17444436.00
2021-05-10	12.98	13.04	12.65	12.87	1731240	24720512.00
2021-05-11	12.85	13.33	12.75	13.20	1860940	27190102.00
2021-05-12	13.00	13.17	12.96	13.14	1250200	18204620.00
2021-05-13	13.05	13.18	12.98	13.00	1259200	18331718.00
2021-05-14	13.00	13.13	12.98	13.11	1222800	17824040.00
2021-05-17	13.11	13.11	12.63	12.84	1579300	22565464.00
2021-05-18	12.80	12.98	12.70	12.98	1096128	15686652.00
2021-05-19	12.92	13.05	12.81	13.01	1002997	14513367.00
2021-05-20	12.95	13.17	12.81	13.08	1187997	17253588.00
2021-05-21	13.11	13.44	13.00	13.29	1756197	25935688.00
2021-05-24	13.30	13.40	13.10	13.19	1033300	15212694.00
2021-05-25	13.12	13.35	13.01	13.29	1245953	18306310.00
2021-05-26	13.26	13.47	13.20	13.42	1452725	21647674.00
2021-05-27	13.42	13.73	13.35	13.62	1403900	21184848.00
2021-05-28	13.72	14.04	13.60	13.63	2786056	42780784.00
2021-05-31	13.55	13.69	13.32	13.67	1502400	22520988.00
2021-06-01	13.61	13.86	13.56	13.69	1205100	18304148.00
2021-06-02	13.80	13.85	13.67	13.70	1200053	18293920.00
2021-06-03	13.68	13.79	13.60	13.60	1129900	17157908.00
2021-06-04	13.60	13.66	13.38	13.41	1069797	16014507.00
2021-06-07	13.41	13.56	13.36	13.44	814083	12147521.00
2021-06-08	13.47	13.65	13.39	13.55	810300	12177947.00
2021-06-09	13.55	13.65	13.47	13.63	517262	7787029.00
2021-06-10	13.60	13.69	13.54	13.62	855131	12929772.00
2021-06-11	13.68	14.17	13.68	13.81	2710131	41922184.00
2021-06-15	13.70	13.78	13.12	13.21	2121100	31552592.00
2021-06-16	13.28	13.28	12.91	12.97	1027597	14905940.00
2021-06-17	13.00	13.07	12.90	13.01	640969	9295570.00
2021-06-18	13.02	13.07	12.88	13.06	486700	7048855.00
2021-06-21	12.97	13.20	12.90	13.13	626700	9130626.00
2021-06-22	13.12	13.39	13.12	13.30	834822	12329158.00
2021-06-23	13.25	13.34	13.21	13.28	626538	9257694.00
2021-06-24	13.28	13.28	13.13	13.18	640427	9419803.00
2021-06-25	13.20	13.34	13.17	13.31	800269	11813784.00
2021-06-28	13.26	13.43	13.25	13.37	693169	10301834.00
2021-06-29	13.36	13.36	13.10	13.22	739500	10897140.00
2021-06-30	13.18	13.32	13.11	13.17	536700	7886430.00
2021-07-01	13.17	13.26	13.00	13.00	495700	7264683.00
2021-07-02	13.00	13.01	12.85	12.90	611097	8816276.00
2021-07-05	12.88	13.30	12.88	13.12	658900	9598834.00
2021-07-06	13.06	13.28	12.97	13.12	748100	10947135.00
2021-07-07	13.13	13.25	13.08	13.21	668997	9835206.00
2021-07-08	13.26	13.30	12.90	13.05	898381	13053438.00
2021-07-09	12.95	13.08	12.88	13.03	486700	7046232.00
2021-07-12	13.04	13.14	13.01	13.04	700300	10199911.00
2021-07-13	13.06	13.16	12.99	13.14	680200	9931024.00
2021-07-14	13.14	13.42	13.11	13.18	1001256	14735219.00
2021-07-15	13.15	13.17	12.89	13.01	765721	11114446.00
2021-07-16	13.01	13.06	12.80	12.80	646421	9335749.00
2021-07-19	12.80	12.92	12.25	12.43	1490200	20738976.00
2021-07-20	12.39	12.50	12.26	12.41	468500	6492236.00
2021-07-21	12.42	12.57	12.42	12.48	523300	7326312.00
2021-07-22	12.57	12.57	12.39	12.50	495077	6917966.00
2021-07-23	12.49	12.58	12.21	12.22	937208	12974985.00
2021-07-26	12.24	12.32	11.93	11.98	636578	8626048.00
2021-07-27	12.08	12.25	11.98	12.00	713357	9713713.00
2021-07-28	12.05	12.60	11.67	12.20	1475166	20143464.00
2021-07-29	12.14	12.37	12.14	12.27	845377	11660182.00
2021-07-30	12.19	12.33	12.12	12.29	653203	8967827.00
2021-08-02	12.30	12.44	12.19	12.39	635169	8789847.00
2021-08-03	12.41	12.48	12.37	12.40	734214	10214436.00
2021-08-04	12.40	12.48	12.36	12.40	557892	7750207.00
2021-08-05	12.45	12.70	12.33	12.43	921700	12889412.00
2021-08-06	12.54	12.54	12.23	12.42	881214	12193247.00
2021-08-09	12.36	12.57	12.30	12.50	946407	12926888.00
2021-08-10	12.54	12.68	12.48	12.65	602911	8321560.00
2021-08-11	12.82	13.03	12.73	12.77	1303264	18318050.00
2021-08-12	12.96	12.96	12.72	12.72	910600	12760334.00
2021-08-13	12.72	12.76	12.59	12.66	808900	11220116.00
2021-08-16	12.69	12.86	12.69	12.81	687328	9613630.00
2021-08-17	12.80	13.01	12.55	12.56	971928	13563009.00
2021-08-18	12.47	12.75	12.47	12.74	690417	9566686.00
2021-08-19	12.73	12.82	12.63	12.66	447728	6228572.00
2021-08-20	12.58	12.76	12.43	12.57	581709	8000299.00
2021-08-23	12.60	12.93	12.56	12.88	851714	11931478.00
2021-08-24	12.92	12.98	12.78	12.89	673869	9485657.00
2021-08-25	12.94	12.99	12.83	12.99	658828	9309302.00
2021-08-26	12.95	13.07	12.85	13.03	826370	11695595.00
2021-08-27	13.00	13.06	12.71	12.80	658111	9235961.00
2021-08-30	12.80	12.95	12.70	12.76	674100	9460141.00
2021-08-31	12.78	12.85	12.57	12.63	832640	11573215.00
2021-09-01	12.68	13.00	12.62	12.97	1337740	18806416.00
2021-09-02	12.95	13.02	12.78	12.97	932800	13147028.00
2021-09-03	12.97	13.05	12.89	12.99	775897	11006477.00
2021-09-06	13.04	13.10	12.92	13.05	764428	10862040.00
2021-09-07	13.30	13.60	13.14	13.17	1650930	23851106.00
2021-09-08	13.19	13.39	13.17	13.36	1306033	18915274.00
2021-09-09	13.30	13.39	13.24	13.27	767400	11121601.00
2021-09-10	13.34	13.45	13.14	13.19	897697	12962979.00
2021-09-13	13.25	13.32	13.12	13.30	852548	12284533.00
2021-09-14	13.29	13.35	13.01	13.06	673700	9668744.00
2021-09-15	13.09	13.28	12.98	13.23	745392	10675557.00
2021-09-16	13.23	13.36	13.06	13.07	940112	13563496.00
2021-09-17	13.00	13.12	12.83	13.06	738200	10457268.00
2021-09-22	12.93	13.01	12.80	12.90	788269	11091388.00
2021-09-23	12.91	13.12	12.89	12.95	594481	8452717.00
2021-09-24	13.28	13.29	12.71	12.72	957400	13451268.00
2021-09-27	12.72	12.78	12.30	12.32	742294	10121521.00
2021-09-28	12.33	12.43	12.27	12.39	451100	6103305.00
2021-09-29	12.36	12.37	12.11	12.11	529608	7102624.00
2021-09-30	12.10	12.23	12.01	12.22	478955	6405511.00
2021-10-08	12.25	12.56	12.25	12.48	779055	10628423.00
2021-10-11	12.57	12.99	12.43	12.69	887835	12293275.00
2021-10-12	12.59	12.78	12.51	12.61	601800	8325541.00
2021-10-13	12.61	12.84	12.58	12.76	659600	9187603.00
2021-10-14	12.67	12.85	12.67	12.78	509800	7124006.00
2021-10-15	12.88	12.88	12.67	12.71	588840	8232253.00
2021-10-18	12.89	12.89	12.50	12.85	318097	4452350.00
2021-10-19	12.71	12.82	12.58	12.60	473600	6585024.00
2021-10-20	12.66	12.72	12.47	12.50	371900	5110754.00
2021-10-21	12.56	12.67	12.30	12.38	456500	6221278.00
2021-10-22	12.36	12.51	12.28	12.28	490797	6651298.00
2021-10-25	12.30	12.35	12.13	12.24	225440	3036139.00
