605580 恒盛能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021-08-19	5.80	7.24	5.80	7.24	416533	5013379.00
2021-08-20	8.10	8.10	8.10	8.10	204296	2713051.00
2021-08-23	9.05	9.05	9.05	9.05	110313	1611673.00
2021-08-24	10.09	10.09	10.09	10.09	201322	3235245.00
2021-08-25	11.24	11.24	11.24	11.24	255916	4524595.00
2021-08-26	12.51	12.51	12.51	12.51	484384	9421269.00
2021-08-27	13.90	13.90	11.19	12.79	35231168	693002368.00
2021-08-30	11.38	11.87	11.38	11.48	23093478	415598816.00
2021-08-31	11.23	11.63	10.91	11.54	17167528	306777888.00
2021-09-01	11.36	11.36	10.25	10.26	16722197	281385504.00
2021-09-02	9.94	10.72	9.61	10.31	12785566	207788144.00
2021-09-03	9.96	10.94	9.91	10.60	13507578	225666112.00
2021-09-06	10.46	11.80	10.46	11.80	19879230	361697728.00
2021-09-07	11.92	12.66	11.23	11.49	25749239	476398976.00
2021-09-08	11.22	12.54	11.22	12.16	22157715	415084096.00
2021-09-09	11.70	11.96	10.90	11.29	16993324	304007616.00
2021-09-10	11.21	11.64	10.82	10.99	10342325	182148368.00
2021-09-13	10.90	10.99	10.41	10.44	9294517	155296688.00
2021-09-14	10.51	10.76	10.17	10.73	8654466	143334000.00
2021-09-15	10.56	11.04	10.40	10.41	8224944	138144800.00
2021-09-16	10.26	10.40	9.92	9.94	7043672	113495648.00
2021-09-17	9.94	10.37	9.88	10.21	6282954	101873584.00
2021-09-22	9.94	10.87	9.90	10.80	10090823	169978080.00
2021-09-23	11.19	11.32	10.21	10.34	8888220	148900096.00
2021-09-24	10.26	11.11	9.92	10.58	10158515	170101584.00
2021-09-27	10.93	11.78	10.26	11.78	21658242	382887808.00
2021-09-28	11.16	12.04	11.09	11.59	19799872	357663328.00
2021-09-29	11.29	11.60	10.29	10.29	13954795	238152848.00
2021-09-30	10.01	11.40	9.95	10.98	13716941	234501712.00
2021-10-08	10.97	11.37	10.58	11.24	11822861	204700064.00
2021-10-11	11.44	12.51	11.03	12.01	23080839	427959232.00
2021-10-12	11.40	12.71	10.78	12.46	22540081	410731520.00
2021-10-13	12.08	12.33	11.09	11.10	17570087	319473056.00
2021-10-14	10.54	11.40	10.41	11.15	11780282	203339808.00
2021-10-15	10.95	11.18	10.26	10.56	11105212	187381280.00
2021-10-18	10.55	11.76	10.54	11.76	10817290	196266320.00
2021-10-19	12.51	12.97	11.76	11.99	24699946	470807488.00
2021-10-20	12.10	12.50	11.81	12.19	17867489	340227392.00
2021-10-21	11.96	12.83	11.91	12.27	15989614	306345440.00
2021-10-22	11.98	12.17	11.26	11.47	11475461	208986624.00
2021-10-25	11.61	12.76	11.48	12.76	7105033	136997696.00
2021-10-26	13.32	13.40	12.26	12.39	18309839	360475424.00
2021-10-27	12.59	12.79	12.04	12.09	13023749	251617120.00
2021-10-28	12.16	12.89	11.69	12.29	13732843	264867856.00
2021-10-29	12.01	12.01	11.19	11.84	12001657	218403968.00
