000572 海马汽车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	5.32	5.90	5.12	5.79	45983916	259466448.00
2015-09-07	5.76	6.15	5.63	5.71	36939143	219325104.00
2015-09-08	5.66	5.93	5.45	5.90	28109682	161580176.00
2015-09-09	5.93	6.12	5.88	6.10	44446714	271284384.00
2015-09-10	6.01	6.08	5.83	5.87	28219721	170303712.00
2015-09-11	5.85	5.96	5.77	5.85	18371230	108655928.00
2015-09-14	5.91	5.93	5.26	5.26	31724485	175733472.00
2015-09-15	5.15	5.24	4.75	4.85	30429346	153666512.00
2015-09-16	4.90	5.34	4.85	5.26	30640909	157758496.00
2015-09-17	5.24	5.41	5.08	5.08	34056402	179466960.00
2015-09-18	5.10	5.17	5.02	5.10	17710572	91277368.00
2015-09-21	5.03	5.29	4.96	5.29	19692859	103094120.00
2015-09-22	5.34	5.41	5.21	5.29	25094128	134510608.00
2015-09-23	5.13	5.38	5.13	5.18	19698095	104374488.00
2015-09-24	5.19	5.43	5.17	5.41	28201795	151073408.00
2015-09-25	5.41	5.55	5.17	5.22	26877295	145273488.00
2015-09-28	5.25	5.75	5.25	5.75	66945289	383441952.00
2015-09-29	5.77	6.13	5.72	6.01	99256229	592725440.00
2015-09-30	5.96	6.10	5.63	5.71	74473724	436777952.00
2015-10-08	5.88	5.95	5.73	5.87	54238010	320782592.00
2015-10-09	5.86	5.91	5.72	5.87	38246559	224915600.00
2015-10-12	5.91	6.17	5.86	6.13	65549689	398332224.00
2015-10-13	6.04	6.14	5.94	6.08	43487281	264548592.00
2015-10-14	6.06	6.07	5.86	5.88	34225589	206361216.00
2015-10-15	5.89	6.09	5.89	6.06	35622165	216361680.00
2015-10-16	6.10	6.14	5.99	6.13	46418939	284184192.00
2015-10-19	6.17	6.51	6.06	6.35	68963698	435991616.00
2015-10-20	6.34	6.47	6.19	6.33	49440046	314620672.00
2015-10-21	6.31	6.39	5.74	5.89	55414132	341760608.00
2015-10-22	5.86	6.28	5.86	6.28	44779828	274558240.00
2015-10-23	6.33	6.71	6.23	6.60	65965614	427640064.00
2015-10-26	6.51	6.70	6.26	6.43	89210973	581825088.00
2015-10-27	6.37	6.60	6.28	6.55	67639697	441200000.00
2015-10-28	6.49	6.60	6.20	6.29	48864986	315138496.00
2015-10-29	6.31	6.54	6.26	6.34	38968413	251247472.00
2015-10-30	6.30	6.30	6.10	6.19	30896780	193684864.00
2015-11-02	6.06	6.15	5.98	5.98	24949924	152311264.00
