000592 平潭发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	6.14	7.00	6.14	6.14	54493747	689762816.00
2015-09-07	6.26	6.75	6.25	6.40	59748302	778795072.00
2015-09-08	6.39	7.00	6.25	6.94	43059118	567898368.00
2015-09-09	7.03	7.63	6.96	7.63	75031847	1114314112.00
2015-09-10	7.63	8.34	7.53	7.96	82574258	1316653696.00
2015-09-11	7.84	8.12	7.76	7.96	47221865	748812288.00
2015-09-14	8.03	8.04	7.17	7.17	41198884	618326464.00
2015-09-15	6.65	6.74	6.45	6.45	39565802	516212288.00
2015-09-16	6.30	7.10	6.30	7.10	59945141	796517568.00
2015-09-17	7.00	7.54	6.70	6.70	69347098	981954816.00
2015-09-18	6.80	6.90	6.52	6.77	39464918	531157856.00
2015-09-21	6.63	7.23	6.54	7.19	44295612	615655360.00
2015-09-22	7.36	7.70	7.27	7.46	60711745	908011712.00
2015-09-23	7.23	7.33	6.91	7.09	46233076	661515776.00
2015-09-24	7.15	7.43	7.15	7.34	39674361	578675264.00
2015-09-25	7.25	7.36	6.65	6.75	41672686	581275456.00
2015-09-28	6.78	6.96	6.55	6.96	27433643	375309856.00
2015-09-29	6.75	6.85	6.60	6.74	24634087	332172256.00
2015-09-30	6.79	6.88	6.70	6.73	20808532	282146912.00
2015-10-08	7.05	7.26	6.91	7.14	32758414	466082464.00
2015-10-09	7.15	7.48	7.11	7.37	42686550	627054848.00
2015-10-12	7.54	8.11	7.49	8.11	34780422	551578048.00
2015-10-13	8.38	8.91	8.20	8.65	86942656	1492326912.00
2015-10-14	8.50	8.64	8.34	8.41	50713226	859738752.00
2015-10-15	8.66	9.25	8.66	9.25	49674354	895039936.00
2015-10-16	9.80	10.01	9.36	9.52	92000290	1772522368.00
2015-10-19	9.30	10.47	9.28	10.29	84760060	1681912576.00
2015-10-20	10.11	10.45	9.83	10.29	54982063	1115763840.00
2015-10-21	10.10	10.24	9.26	9.26	65676566	1267984640.00
2015-10-22	9.21	9.74	8.96	9.72	60420997	1140952704.00
