000620 盈新发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	8.00	9.00	7.70	9.00	28736082	253361856.00
2015-09-07	9.01	9.67	8.69	8.81	15109223	146089072.00
2015-09-08	8.75	9.30	8.40	9.11	11413428	105898608.00
2015-09-09	9.13	9.87	9.13	9.53	16814910	168512016.00
2015-09-10	9.30	9.75	9.18	9.42	12825310	129098648.00
2015-09-11	9.37	9.58	9.10	9.30	9841457	96777248.00
2015-09-14	9.61	9.86	8.38	8.69	18773404	184724656.00
2015-09-15	8.33	8.69	7.77	7.77	14569975	125655560.00
2015-09-16	7.90	8.60	7.58	8.48	14832071	127612720.00
2015-09-17	8.59	8.70	8.00	8.08	15744173	140714512.00
2015-09-18	8.08	8.29	7.87	8.10	8286789	70922240.00
2015-09-21	8.01	8.96	7.98	8.76	14532630	132521920.00
2015-09-22	8.76	8.94	8.63	8.82	11671785	108615296.00
2015-09-23	8.61	8.80	8.34	8.52	10142207	91629616.00
2015-09-24	8.70	8.94	8.53	8.66	8970748	82909480.00
2015-09-25	8.60	8.79	8.25	8.57	8847500	79453576.00
2015-09-28	8.57	8.80	8.33	8.73	7055669	64250528.00
2015-09-29	8.52	8.66	8.40	8.45	4913931	44429868.00
2015-09-30	8.48	8.62	8.33	8.40	7097273	63269972.00
2015-10-08	8.69	8.92	8.58	8.82	10652652	98726624.00
2015-10-09	8.82	9.29	8.60	9.12	15771222	149067184.00
2015-10-12	9.15	9.77	9.08	9.69	18065813	181334224.00
2015-10-13	9.51	9.69	9.47	9.49	13187496	132542768.00
2015-10-14	9.46	9.98	9.41	9.57	18302699	187099504.00
2015-10-15	9.56	10.24	9.49	9.97	16357866	169150192.00
2015-10-16	10.15	10.63	9.97	10.30	20361378	220202112.00
2015-10-19	10.19	11.37	10.19	10.86	30479060	342535808.00
2015-10-20	10.86	11.32	10.61	10.80	17576082	201399856.00
2015-10-21	10.75	11.38	9.72	9.90	23289493	260091632.00
2015-10-22	9.79	10.94	9.79	10.94	25521692	279544032.00
2015-10-23	11.30	12.08	11.13	11.60	36357243	440590496.00
2015-10-26	11.80	11.84	10.80	11.11	27230518	317522560.00
2015-10-27	10.89	11.40	10.34	11.20	23449684	267626384.00
2015-10-28	10.90	11.24	10.53	10.60	14605294	165876960.00
2015-10-29	10.65	10.76	10.47	10.61	9110445	101296760.00
2015-10-30	10.75	11.02	10.46	10.51	13572680	152746816.00
2015-11-02	10.24	10.46	10.01	10.05	12446388	133429328.00
2015-11-03	10.05	10.37	9.90	10.20	9536930	101626640.00
2015-11-04	10.49	11.27	10.31	11.27	19764403	227086368.00
2015-11-05	11.84	12.30	11.10	11.73	38618803	465926624.00
2015-11-06	11.50	11.65	11.31	11.51	30792401	369865472.00
2015-11-09	11.36	11.53	11.05	11.26	31076721	366694176.00
2015-11-10	11.21	11.55	11.11	11.15	21179080	249198944.00
2015-11-11	11.25	11.39	11.06	11.21	19788455	231919616.00
2015-11-12	11.32	11.40	10.80	11.00	23179867	266747840.00
2015-11-13	10.95	11.11	10.68	10.83	18083897	206060048.00
2015-11-16	10.54	11.25	10.52	11.24	14700820	168159696.00
2015-11-17	11.40	11.42	10.85	10.90	19414112	225544416.00
2015-11-18	10.83	11.29	10.72	10.78	14774252	169926800.00
2015-11-19	10.61	10.88	10.61	10.83	9999269	112316568.00
2015-11-20	10.89	11.05	10.70	10.78	12284651	139401168.00
2015-11-23	10.85	10.92	10.50	10.57	12067652	135395184.00
2015-11-24	10.65	10.79	10.51	10.72	7134529	79465392.00
2015-11-25	10.70	10.85	10.58	10.78	10315335	115879640.00
2015-11-26	11.21	11.29	10.68	10.78	24344681	280314688.00
2015-11-27	10.64	10.70	9.66	9.77	19421882	208466992.00
2015-11-30	9.79	9.92	9.15	9.61	13057956	132638680.00
2015-12-01	9.61	10.44	9.50	9.99	15036660	156582448.00
2015-12-02	10.00	10.30	9.82	10.20	12988826	137854992.00
2015-12-03	10.18	10.44	10.17	10.25	8493881	91137744.00
2015-12-04	10.19	10.27	9.94	9.98	8439770	89313704.00
2015-12-07	9.99	10.26	9.96	10.09	6530760	69360208.00
2015-12-08	10.00	10.08	9.53	9.68	8129203	83657352.00
2015-12-09	9.59	9.79	9.53	9.77	6540747	66554444.00
2015-12-10	9.66	9.89	9.63	9.65	5050141	51829780.00
2015-12-11	9.73	9.73	9.38	9.58	7452051	74639784.00
2015-12-14	9.45	9.84	9.41	9.82	5468768	55728496.00
2015-12-15	9.82	9.99	9.72	9.77	6083017	62909644.00
2015-12-16	9.82	9.91	9.68	9.69	6556281	67367536.00
2015-12-17	9.72	10.18	9.72	9.99	13971128	146282880.00
2015-12-18	10.00	10.09	9.74	9.80	10884695	112728848.00
2015-12-21	9.83	9.90	9.62	9.86	8563078	87943072.00
2015-12-22	9.86	10.27	9.81	10.22	17109906	180865552.00
2015-12-23	10.37	10.38	9.93	9.93	12584160	133011024.00
2015-12-24	9.92	9.98	9.73	9.81	8055476	83154520.00
2015-12-25	9.85	9.89	9.73	9.80	5401450	55622264.00
2015-12-28	9.82	9.86	9.51	9.52	9176339	93290504.00
2015-12-29	9.52	9.65	9.44	9.59	7301237	73276992.00
2015-12-30	9.62	9.96	9.48	9.83	7472855	75581888.00
2015-12-31	9.83	9.83	9.60	9.61	6832187	69819568.00
2016-01-04	9.63	9.65	8.68	8.70	7586584	73034936.00
2016-01-05	8.17	8.65	8.05	8.37	10166705	90171232.00
2016-01-06	8.49	8.58	8.35	8.52	5179147	46513552.00
2016-01-07	8.40	8.40	7.62	7.63	1915752	16177832.00
2016-01-08	7.90	7.99	7.30	7.67	8828915	72157856.00
2016-01-11	7.54	7.60	7.20	7.33	15621537	123761280.00
2016-01-12	7.33	7.59	7.33	7.44	6280090	50033636.00
2016-01-13	7.56	7.57	7.00	7.00	4559770	35748440.00
2016-01-14	6.50	7.10	6.50	7.09	8581634	62757728.00
2016-01-15	6.95	7.02	6.45	6.70	8840009	63393820.00
2016-01-18	6.55	6.75	6.48	6.63	6982901	49664928.00
2016-01-19	6.60	7.04	6.59	6.98	10283355	75741992.00
2016-01-20	6.90	6.99	6.71	6.78	5360499	39357356.00
2016-01-21	6.73	7.01	6.63	6.69	6704361	49141968.00
2016-01-22	6.74	6.90	6.60	6.76	4351927	31452986.00
2016-01-25	6.81	6.88	6.72	6.81	2858439	20872756.00
2016-01-26	6.69	6.72	6.09	6.09	6607710	45810056.00
2016-01-27	6.19	6.26	5.56	6.04	9854046	62912948.00
2016-01-28	5.82	6.13	5.68	5.97	8632550	55068788.00
2016-01-29	6.00	6.29	5.86	6.29	9545287	62675300.00
2016-02-01	6.21	6.33	5.95	6.22	5539115	37014124.00
2016-02-02	6.22	6.43	6.20	6.35	6830828	46561236.00
2016-02-03	6.36	6.48	6.20	6.32	6720878	46127720.00
2016-02-04	6.35	6.45	6.30	6.36	6217371	42700436.00
2016-02-05	6.35	6.38	6.22	6.27	4075778	27659136.00
2016-02-15	6.14	6.19	5.92	6.15	4203349	27475910.00
2016-02-16	6.15	6.82	6.15	6.82	14513147	103073160.00
2016-02-17	6.99	7.55	6.95	7.55	33004565	262339600.00
2016-02-18	7.80	8.13	7.71	7.98	36100480	302427136.00
