000626 远大控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016-02-15	23.45	23.45	19.17	20.78	11877227	530907616.00
2016-02-16	20.78	22.89	20.34	22.89	10014428	437316256.00
2016-02-17	23.67	25.21	23.23	24.53	15211090	759873920.00
2016-02-18	24.25	25.07	23.87	24.27	10554886	523261952.00
2016-02-19	24.02	26.73	23.93	26.73	14613321	758350976.00
2016-02-22	27.45	29.44	26.95	29.44	11362512	649200064.00
2016-02-23	30.29	32.41	28.55	32.41	21614454	1313931008.00
2016-02-24	32.67	35.69	32.17	35.69	16112030	1114095744.00
2016-02-25	36.17	38.17	34.08	34.12	27003335	1947012992.00
2016-02-26	35.16	35.86	30.83	30.90	23241126	1565983232.00
2016-02-29	29.82	31.66	28.76	29.43	18614296	1122780416.00
2016-03-01	29.17	30.51	27.57	29.21	20320487	1192725376.00
2016-03-02	29.18	32.16	28.57	32.16	17420610	1067434688.00
2016-03-03	33.60	35.41	33.60	35.41	11249341	783824768.00
2016-03-04	36.30	38.47	32.75	33.23	28528925	2040659968.00
2016-03-07	32.12	34.42	31.17	32.27	17322341	1147157760.00
2016-03-08	32.42	35.53	30.53	35.53	25102130	1710895872.00
2016-03-09	34.07	35.17	32.16	32.17	20232248	1372773376.00
2016-03-10	32.07	32.93	30.36	30.66	12980188	830570816.00
2016-03-11	29.72	31.32	29.25	30.59	10939956	668355328.00
2016-03-14	31.22	33.68	30.67	32.77	18093942	1191961728.00
2016-03-15	32.17	32.42	30.47	30.52	14328718	907807360.00
2016-03-16	31.05	31.16	29.22	29.97	9983452	609459904.00
2016-03-17	30.42	31.61	29.75	30.97	13129190	816114496.00
2016-03-18	30.72	33.58	30.72	32.17	17490069	1141004160.00
2016-03-21	32.57	34.45	31.82	33.86	16557652	1113863680.00
2016-03-22	33.17	33.42	32.27	32.62	14407491	955167744.00
2016-03-23	32.53	35.92	32.21	35.92	23756833	1674673920.00
2016-03-24	36.39	39.36	35.52	35.76	26122352	1962715520.00
2016-03-25	34.87	35.67	33.62	34.32	16156484	1126429696.00
2016-03-28	34.61	35.64	33.67	33.92	10851974	754225728.00
2016-03-29	33.92	34.51	33.02	34.30	11031772	756251008.00
2016-03-30	34.72	35.45	34.01	35.17	12315681	865678656.00
2016-03-31	35.31	37.45	34.83	35.12	14637986	1067367872.00
2016-04-01	35.09	35.12	33.42	33.80	10144352	693928192.00
2016-04-05	33.44	34.67	33.17	34.42	8977554	615777280.00
2016-04-06	34.08	35.32	33.67	33.83	8937592	618197440.00
2016-04-15	35.57	37.06	34.27	34.78	14907137	1073152896.00
2016-04-18	33.92	34.52	32.43	33.10	9126539	613358848.00
2016-04-19	33.52	33.57	31.52	32.65	6160668	404339392.00
2016-04-20	32.67	33.12	29.83	30.60	9068518	577523456.00
2016-04-21	30.17	31.36	30.07	30.44	6500521	405268704.00
2016-04-22	30.43	31.01	30.01	30.62	4602534	282941120.00
2016-04-25	30.30	30.42	29.21	29.53	4922699	295243200.00
2016-04-26	29.24	29.32	27.60	28.42	8154232	470564192.00
2016-04-27	28.17	29.01	28.16	28.79	5969577	345856576.00
2016-04-28	28.57	28.76	26.78	27.67	6784929	380689696.00
2016-04-29	27.42	27.82	27.07	27.09	5101395	282650784.00
2016-05-03	27.16	27.92	26.38	27.84	7780537	429900000.00
2016-05-04	27.77	30.66	27.52	30.66	8163304	481283648.00
2016-05-05	31.37	33.51	30.65	30.82	15832038	1015284160.00
2016-05-06	30.57	30.62	28.07	28.07	11289843	676195648.00
2016-05-09	28.07	28.09	26.42	26.83	6699799	366034464.00
2016-05-10	26.87	28.17	26.85	27.79	7102099	398135520.00
2016-05-11	28.00	28.45	26.73	26.93	5789628	321129664.00
2016-05-12	27.35	29.11	26.93	28.47	9127314	516133024.00
2016-05-13	28.12	29.07	27.67	28.52	7608062	435725664.00
2016-05-16	28.17	28.65	27.57	28.52	5579376	317579360.00
2016-05-17	28.78	29.97	28.30	28.32	8008823	471311552.00
2016-05-18	27.67	27.67	26.36	26.67	7016193	382680384.00
2016-05-19	26.62	27.57	26.58	26.85	5069797	278217472.00
2016-05-20	26.42	27.20	26.22	27.01	3933690	213053792.00
2016-05-23	27.15	27.42	26.77	27.35	5062140	278536224.00
2016-05-24	27.32	27.37	26.47	26.71	4194346	227249072.00
2016-05-25	26.96	27.13	26.38	26.53	3768032	204122848.00
2016-05-26	26.54	26.97	25.47	26.32	4623291	244157904.00
2016-05-27	26.12	26.42	25.86	26.12	3214493	169745600.00
2016-05-30	25.67	26.04	25.42	25.66	2699504	140754592.00
2016-05-31	25.87	28.26	25.73	28.26	8622459	471854176.00
2016-06-01	28.26	28.92	27.78	28.12	9974991	570879040.00
2016-06-02	28.00	28.10	27.59	27.92	5546944	312771264.00
2016-06-03	28.17	29.37	27.89	28.58	10103171	587934848.00
2016-06-06	28.55	28.90	27.92	28.13	5254627	301001760.00
2016-06-07	28.35	28.35	27.76	28.03	3818239	216429184.00
2016-06-08	28.12	28.17	27.47	27.76	3817852	214390480.00
2016-06-13	27.20	27.20	25.17	25.22	6202783	330793472.00
2016-06-14	25.23	26.14	25.23	25.55	4424035	229518832.00
2016-06-15	25.17	26.61	25.02	26.27	4843730	255942656.00
2016-06-16	26.27	26.27	25.56	25.68	4406937	230026848.00
2016-06-17	25.68	26.32	25.41	25.61	4448749	232482560.00
2016-06-20	25.17	25.74	25.08	25.51	3550893	182368848.00
2016-06-21	25.91	26.27	25.07	25.31	4704030	245154592.00
2016-06-22	27.17	27.87	26.64	27.87	8947526	501872480.00
2016-06-23	28.90	30.62	28.77	29.29	18584989	1111468032.00
2016-06-24	29.14	29.24	26.58	28.18	11957917	687153472.00
2016-06-27	27.80	29.18	27.80	28.79	8281009	482468384.00
2016-06-28	28.51	31.69	28.45	31.15	14327821	883941312.00
2016-06-29	30.82	33.31	30.43	32.21	14071543	904187904.00
2016-06-30	31.88	32.41	31.26	31.51	8203134	526708352.00
2016-07-01	31.53	32.16	30.93	30.95	6511732	412043072.00
2016-07-04	30.68	32.37	30.33	31.61	8870443	563200000.00
2016-07-05	31.61	32.56	31.17	31.28	8277198	531291424.00
2016-07-06	30.95	31.91	30.67	31.41	5529206	349258112.00
2016-07-07	31.22	31.56	30.35	30.70	6302770	392713760.00
2016-07-08	30.61	31.06	30.43	30.68	3598150	224004816.00
2016-07-11	31.42	33.07	30.63	30.86	8931816	576371776.00
2016-07-12	30.67	30.83	29.68	30.70	5811797	356123360.00
2016-07-13	30.89	30.92	30.48	30.75	3923254	243470144.00
2016-07-14	30.52	31.11	30.38	30.85	3463548	215535760.00
2016-07-15	30.97	32.11	30.86	31.65	6574123	419144096.00
2016-07-18	31.45	32.42	31.25	32.02	7882074	509510464.00
2016-07-19	31.86	32.57	31.47	31.68	5932834	383419552.00
2016-07-20	31.60	31.75	31.15	31.25	3995394	252637696.00
2016-07-21	31.15	31.39	30.97	31.15	2932573	184603120.00
2016-07-22	31.15	31.70	30.73	30.79	5295458	335789248.00
2016-07-25	30.48	30.48	29.52	29.65	5082339	307238560.00
2016-07-26	29.65	30.02	29.62	29.97	2473364	149238096.00
2016-07-27	30.09	30.10	27.58	27.82	5682016	328689760.00
2016-07-28	27.91	28.39	27.67	28.17	3680372	208913904.00
2016-07-29	28.27	28.30	27.71	28.17	2476132	140517168.00
2016-08-01	27.92	28.07	27.08	27.62	2223941	123735280.00
2016-08-02	27.85	28.42	27.67	28.23	2487769	141350416.00
2016-08-03	28.11	28.79	27.98	28.38	2954506	169606704.00
2016-08-04	28.26	28.91	28.00	28.48	2781323	160142944.00
2016-08-05	28.48	28.74	27.92	28.04	2154971	122965752.00
2016-08-08	27.76	28.42	27.43	28.28	2131387	120638592.00
2016-08-09	28.32	29.11	28.20	28.85	4238869	246192256.00
2016-08-10	28.85	28.85	28.45	28.52	2326449	134478544.00
2016-08-11	28.56	28.67	27.82	27.82	2565934	146072560.00
2016-08-12	27.77	28.07	27.72	28.07	1504622	85034256.00
2016-08-15	28.14	29.42	28.07	29.08	4406688	257184016.00
2016-08-16	29.14	29.57	28.89	29.17	4102712	242362192.00
2016-08-17	29.21	32.12	29.21	32.12	7645744	484697248.00
2016-08-18	33.17	33.65	31.61	32.01	14913683	981704576.00
2016-08-19	32.16	34.61	31.42	33.65	16023973	1078341760.00
2016-08-22	33.38	33.63	32.11	32.15	8116539	533937088.00
2016-08-23	31.91	32.51	31.12	31.52	6492357	417514848.00
2016-08-24	31.66	33.02	31.42	31.83	6693318	436320608.00
2016-08-25	31.37	32.61	30.79	32.53	6309368	403348640.00
2016-08-26	32.32	32.94	31.77	31.82	5125506	334332960.00
2016-08-29	31.76	32.17	31.31	31.68	3923807	251424896.00
2016-08-30	31.82	32.28	31.57	31.83	3225720	208155808.00
2016-08-31	32.07	32.87	31.92	32.17	7675260	503079488.00
2016-09-01	31.66	31.77	30.93	30.94	6340162	401271168.00
2016-09-02	30.87	31.46	30.37	30.56	3542239	220715920.00
2016-09-05	30.67	31.00	30.28	30.49	3219084	199281648.00
2016-09-06	30.39	31.40	30.39	31.18	3500807	218963264.00
2016-09-07	31.08	31.37	30.63	30.68	2650234	165854624.00
2016-09-08	30.65	31.21	30.57	31.05	2294159	143282208.00
2016-09-09	30.42	30.66	29.57	29.67	5871776	356046976.00
2016-09-12	28.79	29.29	28.60	28.63	2974857	173904016.00
2016-09-13	28.92	29.10	28.57	28.75	1886930	109803248.00
2016-09-14	28.62	28.87	28.27	28.79	1677347	97111960.00
2016-09-19	28.67	29.27	28.62	29.03	1643558	96472272.00
2016-09-20	29.09	29.22	28.82	28.92	1672104	97850976.00
2016-09-21	28.92	29.11	28.75	28.92	1483146	86806088.00
2016-09-22	29.12	29.27	28.97	29.03	1728399	101715432.00
2016-09-23	29.04	31.36	28.87	30.45	5887005	363831904.00
2016-09-26	30.10	30.25	29.42	29.56	3099897	186564032.00
2016-09-27	29.52	30.61	29.51	30.57	3245942	197550352.00
2016-09-28	30.58	31.15	30.28	30.71	3191260	198048496.00
2016-09-29	30.87	30.90	30.27	30.27	2027608	124996352.00
2016-09-30	30.10	30.45	30.07	30.32	1663463	101781424.00
2016-10-10	30.43	31.14	30.43	30.91	2970448	185306224.00
2016-10-11	30.91	31.23	30.68	30.87	2617141	163328688.00
2016-10-12	30.77	30.79	30.42	30.56	1870100	115592368.00
2016-10-13	30.67	31.35	30.45	30.79	3257049	203272816.00
2016-10-14	31.07	31.87	30.92	31.21	5323306	337869792.00
2016-10-17	30.82	30.87	29.87	30.02	4859576	297723328.00
2016-10-18	30.16	30.77	29.97	30.62	2814187	173300288.00
2016-10-19	30.62	32.67	30.50	32.07	8097335	518129504.00
2016-10-20	32.00	33.33	31.78	32.74	12136799	803234304.00
2016-10-21	32.34	32.72	30.60	31.82	20183918	637945920.00
2016-10-24	31.61	35.02	31.24	35.02	14019761	477941728.00
2016-10-25	38.53	38.53	34.92	35.71	46912292	1714884864.00
2016-10-26	35.04	35.63	33.28	33.28	25613737	878831808.00
2016-10-27	32.95	33.59	32.70	33.44	14257242	473829440.00
2016-10-28	33.31	34.27	33.05	33.64	16790420	569679680.00
2016-10-31	32.84	33.13	31.92	32.03	11763615	382196992.00
2016-11-01	30.84	31.71	30.65	31.57	13838029	433954720.00
2016-11-02	31.55	31.55	30.73	30.76	10798438	336469344.00
2016-11-03	30.69	31.80	30.57	31.17	11582573	364611936.00
2016-11-04	30.85	31.83	30.84	31.03	9538805	299907392.00
2016-11-07	30.97	30.97	30.05	30.11	9059616	276474368.00
2016-11-08	30.15	30.48	30.00	30.20	6091649	184751536.00
2016-11-09	30.27	30.41	28.85	29.44	9959705	296689184.00
2016-11-10	29.69	30.20	29.44	29.62	6919116	206733040.00
2016-11-11	29.63	32.60	29.62	31.71	26021093	827994944.00
2016-11-14	31.15	31.15	30.22	30.81	14773034	455716448.00
2016-11-15	30.61	30.80	30.22	30.60	7634926	234052928.00
2016-11-16	30.66	31.49	30.64	30.70	7660770	238135008.00
2016-11-17	30.70	30.70	29.99	30.08	7017854	213122976.00
2016-11-18	30.10	30.53	30.01	30.09	4978756	151135792.00
2016-11-21	30.11	30.74	29.97	30.24	5382498	163866864.00
2016-11-22	30.33	30.53	30.06	30.28	5205152	158247024.00
2016-11-23	30.29	30.44	29.86	29.88	5566244	168213424.00
2016-11-24	30.02	30.12	29.24	29.39	5936522	176930272.00
2016-11-25	29.31	29.34	28.35	29.00	6556916	189414784.00
2016-11-28	29.13	30.06	29.09	29.52	7123808	212445760.00
2016-11-29	29.61	29.72	28.74	28.80	5243980	153242336.00
2016-11-30	28.59	29.54	28.59	28.79	4442949	129263256.00
2016-12-01	28.79	29.03	28.48	28.59	4308727	124103768.00
2016-12-02	28.64	28.66	27.54	27.62	6255500	176055472.00
2016-12-05	27.60	27.60	26.80	26.85	5202448	141986208.00
2016-12-06	26.92	27.26	26.92	26.99	3403649	92723624.00
2016-12-07	27.04	28.62	26.65	28.12	8203517	228643040.00
2016-12-08	27.84	27.95	27.28	27.29	4482630	124665424.00
2016-12-09	27.14	28.18	27.14	27.43	5159506	143496352.00
2016-12-12	27.34	27.41	25.29	25.47	5968099	158419056.00
2016-12-13	25.54	26.19	25.09	25.72	5155452	132876136.00
2016-12-14	25.64	25.72	25.15	25.24	3580688	91468216.00
2016-12-15	25.09	25.82	25.03	25.47	3726118	95570984.00
2016-12-16	25.44	26.13	25.26	25.76	3604453	93304448.00
2016-12-19	25.85	26.09	25.52	25.58	2405508	62152816.00
2016-12-20	25.53	25.88	25.40	25.74	2103379	54250532.00
2016-12-21	25.86	26.49	25.86	26.02	3735401	98104520.00
2016-12-22	25.96	26.11	25.71	25.81	2273510	59189956.00
2016-12-23	25.74	25.94	25.23	25.27	2573350	66096032.00
2016-12-26	25.28	25.35	24.45	25.12	3092024	77352880.00
2016-12-27	25.22	25.34	25.09	25.21	2045800	51884164.00
2016-12-28	25.15	25.29	24.89	24.91	1775567	44803200.00
2016-12-29	24.96	25.04	24.45	24.67	2203213	55037704.00
2016-12-30	24.67	24.84	24.45	24.49	2044133	50594200.00
2017-01-03	24.51	25.21	24.51	24.90	2586624	64942316.00
2017-01-04	24.90	25.12	24.78	25.10	2594713	65238768.00
2017-01-05	25.10	26.54	25.04	25.63	6369420	166357616.00
2017-01-06	25.49	25.69	24.95	25.04	3382224	85760312.00
2017-01-09	25.04	25.04	24.62	24.72	2845156	70818584.00
2017-01-10	24.89	24.97	24.56	24.61	2269157	56459060.00
2017-01-11	24.59	24.79	24.52	24.53	1967100	48781764.00
2017-01-12	24.50	24.74	24.08	24.64	3308672	81575808.00
2017-01-13	24.63	24.78	23.65	23.69	2724700	66418240.00
2017-01-16	23.84	23.84	21.31	21.90	4976751	112448896.00
2017-01-17	21.91	22.13	21.35	21.97	3755195	82213096.00
2017-01-18	21.98	23.79	21.51	22.55	6105401	139878016.00
2017-01-19	22.26	22.64	22.05	22.11	2531550	56808756.00
2017-01-20	22.07	22.98	22.06	22.48	2840750	64332068.00
2017-01-23	22.84	23.72	22.49	22.94	3578792	83151320.00
2017-01-24	22.87	23.12	22.68	22.73	1822815	41949504.00
2017-01-25	22.65	22.84	22.54	22.72	1877005	42924312.00
2017-01-26	22.72	23.01	22.72	22.78	1115403	25656004.00
2017-02-03	22.89	23.02	22.59	22.62	979072	22425450.00
2017-02-06	22.65	22.79	22.48	22.75	2389247	54390284.00
2017-02-07	22.76	22.76	22.36	22.50	2676643	60799056.00
2017-02-08	22.45	23.74	22.17	23.08	6245866	145104576.00
