000637 茂化实华 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	5.23	5.83	5.13	5.32	10353347	62670640.00
2015-09-07	5.52	5.79	5.48	5.52	8996277	55763580.00
2015-09-08	5.62	5.86	5.48	5.84	6352319	39766284.00
2015-09-09	5.87	6.28	5.83	6.17	14287713	94746008.00
2015-09-10	6.02	6.09	5.90	5.93	9167461	60404212.00
2015-09-11	5.98	6.06	5.87	6.04	6302546	41324292.00
2015-09-14	6.12	6.13	5.38	5.38	11187671	69454416.00
2015-09-15	5.17	5.58	5.03	5.08	12334040	71940008.00
2015-09-16	5.14	5.65	5.08	5.65	11214312	66145184.00
2015-09-17	5.64	6.03	5.44	5.60	18647479	117682000.00
2015-09-18	5.58	5.75	5.45	5.64	10806151	66730044.00
2015-09-21	5.55	5.86	5.54	5.83	9968905	62698640.00
2015-09-22	5.90	6.05	5.84	5.90	13346263	86967392.00
2015-09-23	5.77	5.81	5.56	5.64	10747400	67338688.00
2015-09-24	5.67	5.80	5.63	5.79	8405102	52957788.00
2015-09-25	5.75	5.87	5.48	5.53	8626200	53596020.00
2015-09-28	5.54	5.67	5.49	5.67	4164302	25669434.00
2015-09-29	5.58	5.59	5.46	5.50	5364430	32677010.00
2015-09-30	5.52	5.61	5.50	5.51	4551800	27914418.00
2015-10-08	5.72	5.84	5.66	5.76	9826045	62236272.00
2015-10-09	5.76	6.06	5.73	5.95	12243551	79013984.00
2015-10-12	5.96	6.38	5.92	6.23	18111720	121961208.00
2015-10-13	6.13	6.32	6.10	6.26	14389987	97551520.00
2015-10-14	6.18	6.28	6.12	6.15	13932437	94213464.00
2015-10-15	6.13	6.47	6.09	6.41	18510297	127089208.00
2015-10-16	6.47	6.77	6.27	6.60	26523217	188480784.00
2015-10-19	6.54	6.57	6.33	6.42	16490943	116043272.00
2015-10-20	6.41	6.54	6.33	6.51	11862745	83354728.00
2015-10-21	6.50	6.62	5.84	5.91	18746396	128874184.00
2015-10-22	5.86	6.13	5.78	6.10	14099007	92387176.00
2015-10-23	6.14	6.33	6.10	6.30	14645260	99495392.00
2015-10-26	6.39	6.54	6.32	6.46	18022748	126144000.00
2015-10-27	6.42	6.43	6.03	6.39	13791163	94116336.00
2015-10-28	6.34	6.59	6.29	6.44	20248103	142771408.00
2015-10-29	6.51	6.65	6.45	6.65	22461448	160181328.00
2015-10-30	6.65	6.76	6.38	6.57	21027313	151056832.00
2015-11-02	6.40	6.73	6.33	6.50	17392704	123921952.00
2015-11-03	6.49	6.57	6.33	6.44	11576320	81587640.00
2015-11-04	6.48	7.01	6.47	6.79	27328038	199389936.00
2015-11-05	6.79	7.13	6.72	6.89	33594352	249298144.00
2015-11-06	6.84	7.11	6.83	7.00	25696762	193772736.00
2015-11-09	6.92	7.37	6.83	7.09	26220833	199644976.00
2015-11-10	7.04	7.26	6.94	7.18	27479908	211247104.00
2015-11-11	7.17	7.41	7.11	7.35	20357735	159039616.00
2015-11-12	7.33	7.36	7.08	7.17	20516710	159218240.00
2015-11-13	7.08	7.10	6.83	6.87	16458942	123968192.00
2015-11-16	6.73	7.12	6.69	7.12	13155719	98597864.00
2015-11-17	7.13	7.24	7.05	7.07	15547402	120260184.00
2015-11-18	7.08	7.20	6.94	6.99	13034806	100130360.00
2015-11-19	7.03	7.21	6.94	7.17	11609756	89046816.00
2015-11-20	7.16	7.40	7.16	7.38	20565206	161860608.00
2015-11-23	7.39	7.48	7.18	7.25	21987289	173943040.00
