000852 石化机械 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	8.59	9.63	8.55	8.55	7600941	112726736.00
2015-09-07	8.69	9.14	8.43	8.70	4706042	70161776.00
2015-09-08	8.57	9.14	8.46	9.13	4266996	63809100.00
2015-09-09	9.20	9.75	9.08	9.59	6639037	106359616.00
2015-09-10	9.37	9.51	9.22	9.27	4080018	64625120.00
2015-09-11	9.36	10.05	9.30	9.69	6443052	104756176.00
2015-09-14	9.96	9.99	8.72	8.72	5343522	84372912.00
2015-09-15	8.34	8.58	7.85	7.85	5908137	81455392.00
2015-09-16	7.93	8.63	7.78	8.61	6621732	91611424.00
2015-09-17	8.70	9.17	8.30	8.52	7824915	115447656.00
2015-09-18	8.72	8.80	8.49	8.64	3582834	52243140.00
2015-09-21	8.49	9.28	8.45	9.28	4593528	68584992.00
2015-09-22	9.28	9.68	9.21	9.58	6618614	106216128.00
2015-09-23	9.35	9.41	8.93	9.17	5199369	80750648.00
2015-09-24	9.20	9.42	9.18	9.35	4085099	64196520.00
2015-09-25	9.35	9.47	8.62	8.78	4523284	68891776.00
2015-09-28	8.77	8.83	8.30	8.46	11742278	167071632.00
2015-09-29	8.28	8.36	8.09	8.13	5974790	83355072.00
2015-09-30	8.22	8.33	8.17	8.28	3542658	49408840.00
2015-10-08	8.64	9.05	8.64	8.78	7966760	118972120.00
2015-10-09	8.77	9.01	8.73	8.98	6965725	104658392.00
2015-10-12	9.05	9.75	9.03	9.72	10299293	164922960.00
2015-10-13	9.45	9.69	9.40	9.58	8449254	136022144.00
2015-10-14	9.53	9.77	9.46	9.50	6208951	100648456.00
2015-10-15	9.60	10.05	9.53	10.04	13486928	224354144.00
2015-10-16	10.53	11.04	10.24	11.04	19752704	354902848.00
2015-10-19	11.47	11.58	10.83	11.31	15921835	301423232.00
2015-10-20	11.17	12.43	10.78	11.83	11370800	218778272.00
2015-10-21	11.70	12.05	10.65	10.65	9413478	178817808.00
2015-10-22	10.37	11.17	10.12	11.17	10503251	188630128.00
2015-10-23	11.01	11.30	10.72	11.03	8291065	154093072.00
2015-10-26	11.17	11.21	10.92	11.07	8611391	160987984.00
2015-10-27	10.84	10.95	10.26	10.89	7869933	141645872.00
2015-10-28	10.84	11.17	10.65	10.86	9925669	183856800.00
2015-10-29	10.91	11.07	10.66	10.88	4687592	86017656.00
2015-10-30	10.83	11.02	10.47	10.93	4873081	89246504.00
2015-11-02	10.65	11.09	10.37	10.44	4868485	88234592.00
2015-11-03	10.41	10.56	10.17	10.40	4036662	70552096.00
2015-11-04	10.40	11.00	10.40	10.92	6760510	122543192.00
2015-11-05	10.96	11.39	10.83	11.17	9569797	179169056.00
2015-11-06	11.16	11.31	11.10	11.22	8177498	155137136.00
2015-11-09	11.04	11.69	11.04	11.22	8574008	163906768.00
2015-11-10	11.12	11.30	10.98	11.22	7091742	133792920.00
2015-11-11	11.31	11.37	11.09	11.37	7640489	145448176.00
2015-11-12	11.44	11.91	11.44	11.75	12768877	253078944.00
2015-11-13	11.72	11.89	11.28	11.30	7861046	154383936.00
2015-11-16	11.07	11.36	10.95	11.30	5613531	105775104.00
2015-11-17	11.42	11.75	11.28	11.59	8672543	168668032.00
2015-11-18	11.59	11.62	11.12	11.21	5299221	101632704.00
2015-11-19	11.25	11.51	11.17	11.38	4323673	82839400.00
2015-11-20	11.45	11.52	11.31	11.50	4961607	95848552.00
2015-11-23	11.51	11.92	11.48	11.80	10447809	206249600.00
2015-11-24	11.76	11.88	11.28	11.75	7190700	141271872.00
2015-11-25	11.87	12.92	11.87	12.92	5243125	110946216.00
2015-11-26	13.73	13.73	12.73	12.91	14558247	322576704.00
2015-11-27	12.69	12.90	11.73	11.83	9933292	208785344.00
