000952 广济药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	8.69	9.61	8.56	8.56	12872103	139990464.00
2015-09-07	8.56	9.10	8.52	8.80	9287488	100898000.00
2015-09-08	8.73	9.70	8.61	9.57	10068438	114630560.00
2015-09-09	9.52	10.11	9.44	9.68	11165279	134128824.00
2015-09-10	9.63	10.06	9.31	9.71	9301885	111096848.00
2015-09-11	9.46	10.56	9.41	10.17	14453551	179660608.00
2015-09-14	10.40	10.65	9.13	9.15	15695756	193180384.00
2015-09-15	8.66	9.15	8.40	8.85	9230205	99512408.00
2015-09-16	8.89	9.76	8.74	9.76	7969235	90489128.00
2015-09-17	9.66	10.30	9.56	9.60	11681946	142940896.00
2015-09-18	9.61	9.81	9.38	9.69	6466822	76699784.00
2015-09-21	9.65	10.31	9.53	10.16	7985174	98578400.00
2015-09-22	10.26	10.73	10.26	10.52	9911517	127845160.00
2015-09-23	10.33	10.61	10.06	10.10	8007298	101820856.00
2015-09-24	10.15	10.37	9.89	10.11	5341708	66677064.00
2015-09-25	10.11	10.44	9.46	9.52	8019890	98538576.00
2015-09-28	9.61	9.67	9.19	9.64	3912193	45850284.00
2015-09-29	9.40	9.69	9.13	9.24	4940611	57331980.00
2015-09-30	9.38	9.54	9.17	9.34	3114960	35959092.00
2015-10-08	9.73	10.02	9.56	9.95	5593076	67628704.00
2015-10-09	9.95	9.95	9.70	9.73	8420993	101449824.00
2015-10-12	9.87	10.73	9.77	10.71	13863097	176180336.00
2015-10-13	10.51	10.92	10.44	10.88	10396409	136473904.00
2015-10-14	10.61	11.23	10.44	10.49	10277751	134437872.00
2015-10-15	10.48	10.96	10.38	10.81	9884789	130537816.00
2015-10-16	10.84	10.96	10.65	10.88	8638677	114703176.00
2015-10-19	10.92	10.94	10.42	10.61	7176544	94094616.00
2015-10-20	10.90	11.05	10.59	10.86	7164642	95370976.00
2015-10-21	10.96	11.21	9.81	10.15	10896570	144100112.00
2015-10-22	10.15	10.98	10.05	10.92	9745004	126188432.00
2015-10-23	10.92	11.79	10.88	11.56	16607156	233605040.00
2015-10-26	11.65	11.66	11.17	11.37	11316502	159094864.00
2015-10-27	11.23	11.56	10.80	11.39	8041909	110220272.00
2015-10-28	11.40	11.72	10.97	11.00	5681082	78974848.00
2015-10-29	11.04	11.86	11.00	11.78	10243840	144915024.00
2015-10-30	11.83	12.02	11.31	11.61	10253174	146459440.00
2015-11-02	11.37	11.79	11.19	11.30	6578210	92746096.00
2015-11-03	11.31	11.81	11.25	11.61	7374492	104157816.00
2015-11-04	11.71	12.31	11.61	12.11	10992738	161032080.00
2015-11-05	12.11	12.41	12.02	12.22	10525662	157492864.00
2015-11-06	12.11	12.77	12.06	12.66	11538158	175893968.00
2015-11-09	12.51	13.95	12.51	13.61	16543742	271085120.00
2015-11-10	13.40	13.61	12.96	13.11	11064787	178820752.00
2015-11-11	13.11	13.26	12.93	13.18	7484936	120027912.00
2015-11-12	13.22	13.25	12.56	12.86	8114343	127735816.00
2015-11-13	12.66	12.81	12.26	12.44	6172595	95394992.00
2015-11-16	12.23	12.73	12.13	12.73	5688654	87156616.00
2015-11-17	12.81	12.96	12.26	12.36	8211469	127615584.00
2015-11-18	12.46	12.78	12.30	12.34	6182335	94724224.00
2015-11-19	12.47	12.77	12.38	12.76	4689631	72572880.00
