001267 汇绿生态 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021-11-17	8.48	8.48	5.80	5.80	58682546	408221152.00
2021-11-18	5.80	6.40	5.80	6.40	89964043	563169984.00
2021-11-19	6.36	7.06	6.07	6.43	112634985	769636544.00
2021-11-22	5.94	6.12	5.79	6.00	70894996	437365056.00
2021-11-23	5.88	5.91	5.66	5.74	57977206	346679264.00
2021-11-24	5.67	5.93	5.53	5.82	65818193	389899392.00
2021-11-25	5.71	5.86	5.66	5.67	38668737	229957344.00
2021-11-26	5.60	5.68	5.54	5.55	31587918	183204048.00
2021-11-29	5.31	5.46	5.31	5.35	25819123	144464480.00
2021-11-30	5.36	5.48	5.35	5.38	22093842	124205024.00
2021-12-01	5.37	5.53	5.31	5.47	27784062	156407472.00
2021-12-02	5.43	5.44	5.34	5.34	21729603	121836664.00
2021-12-03	5.33	5.37	5.24	5.27	20118106	110649536.00
2021-12-06	5.26	5.27	5.13	5.14	19454303	105175240.00
2021-12-07	5.17	5.33	5.12	5.30	23426298	127277104.00
2021-12-08	5.25	5.40	5.24	5.35	22073708	122595528.00
2021-12-09	5.31	5.40	5.27	5.37	20954658	116210704.00
2021-12-10	5.35	5.93	5.31	5.70	63341819	377405408.00
2021-12-13	5.62	5.83	5.44	5.68	48470435	282049760.00
2021-12-14	5.73	5.97	5.55	5.94	56972778	342531712.00
2021-12-15	5.87	6.56	5.86	6.56	71833209	464896992.00
2021-12-16	6.58	7.24	6.42	7.24	54961420	393949056.00
2021-12-17	7.99	7.99	7.86	7.99	27436904	225209088.00
2021-12-20	7.99	8.81	7.22	8.81	98020761	808129280.00
2021-12-21	9.69	9.71	9.17	9.71	66195599	652713408.00
2021-12-22	10.70	10.70	8.81	10.70	102016988	1048335488.00
2021-12-23	10.68	11.17	9.61	10.33	95710302	988831296.00
2021-12-24	10.37	10.37	9.28	9.28	75718721	741485632.00
2021-12-27	8.65	8.66	8.33	8.33	39317690	337695200.00
2021-12-28	7.78	8.10	7.48	7.48	77050458	611048768.00
2021-12-29	7.33	7.51	7.13	7.34	69723392	524192032.00
2021-12-30	7.15	7.47	7.10	7.20	57012697	426697568.00
2021-12-31	7.27	7.33	7.01	7.05	47139144	345608832.00
2022-01-04	7.06	7.15	6.96	7.11	32972563	240817488.00
