001282 三联锻造 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023-05-24	14.48	16.52	14.06	15.07	16126060	499316064.00
2023-05-25	14.08	18.39	13.83	17.13	17343072	551000896.00
2023-05-26	15.81	16.27	14.90	14.92	12816816	398736288.00
2023-05-29	14.28	15.58	14.05	15.13	8917864	263714080.00
2023-05-30	14.99	16.42	14.77	15.30	10864287	341393632.00
2023-05-31	15.17	16.86	15.17	16.86	10133269	337723296.00
2023-06-01	17.29	18.24	16.11	16.12	17375154	586789184.00
2023-06-02	14.48	15.19	14.48	14.98	10880544	324402624.00
2023-06-05	14.70	14.91	14.47	14.60	6028110	176633632.00
2023-06-06	14.49	14.51	14.03	14.13	5877120	167236160.00
2023-06-07	14.17	14.43	14.11	14.36	4098820	116930920.00
2023-06-08	14.28	14.31	13.89	13.94	4109496	115770464.00
2023-06-09	13.95	14.33	13.95	14.09	3765049	106786288.00
2023-06-12	13.92	14.73	13.61	14.59	6613866	189097280.00
2023-06-13	14.51	14.78	14.33	14.37	4665840	135067680.00
2023-06-14	14.30	14.48	14.10	14.18	3529844	100901680.00
2023-06-15	14.18	14.41	13.93	14.19	3552244	101185024.00
2023-06-16	14.11	15.64	14.11	15.64	13437893	411952544.00
2023-06-19	17.14	17.23	16.52	17.23	7825655	267739024.00
2023-06-20	17.03	18.10	15.99	16.62	17323823	588027008.00
2023-06-21	16.69	17.98	16.69	17.03	11327906	388766336.00
2023-06-26	17.43	18.53	16.17	16.93	10064488	351256832.00
2023-06-27	17.03	17.32	15.71	16.17	7880748	255250480.00
2023-06-28	16.24	17.19	15.76	16.98	7570924	248587152.00
2023-06-29	16.51	18.71	16.41	18.71	8815071	308903456.00
2023-06-30	18.71	18.71	17.76	17.90	8848533	320115616.00
2023-07-03	18.05	18.24	17.29	17.46	5815859	205461264.00
2023-07-04	17.61	17.95	17.28	17.67	5472451	192782944.00
2023-07-05	17.27	17.41	16.72	16.80	5548301	188178528.00
2023-07-06	16.68	17.05	16.45	16.86	3506192	117424712.00
2023-07-07	16.76	16.96	16.37	16.37	2904498	96481592.00
2023-07-10	16.33	17.37	16.33	16.71	4184175	140532384.00
2023-07-11	16.70	17.18	16.65	17.01	4021034	135991424.00
2023-07-12	16.89	17.24	16.52	16.53	4111892	138656256.00
2023-07-13	16.27	16.50	16.02	16.27	3573532	115620440.00
2023-07-14	16.22	16.37	16.01	16.14	1980647	64056004.00
2023-07-17	16.06	16.27	15.73	16.27	1841918	59017492.00
2023-07-18	16.12	16.36	15.91	16.29	2048820	66165888.00
2023-07-19	16.22	16.24	15.89	15.89	1845210	59043928.00
2023-07-20	15.88	16.16	15.70	15.76	1664387	52957436.00
2023-07-21	15.57	15.89	15.35	15.50	1433648	44677632.00
2023-07-24	15.48	15.64	15.41	15.50	728621	22601258.00
2023-07-25	15.64	15.92	15.64	15.70	1500453	47244124.00
2023-07-26	15.63	15.68	15.18	15.23	1607042	49442964.00
2023-07-27	15.49	15.84	15.28	15.29	1963574	61002056.00
2023-07-28	15.15	15.76	14.92	15.52	2069115	63468816.00
2023-07-31	15.56	15.84	15.25	15.34	1970827	60957904.00
2023-08-01	15.28	15.37	15.01	15.05	1832665	55493740.00
2023-08-02	15.04	15.17	14.91	15.05	1167793	35071816.00
2023-08-03	14.99	15.03	14.80	14.93	1126989	33602232.00
2023-08-04	14.93	15.08	14.89	14.97	1058329	31732724.00
2023-08-07	14.97	15.03	14.67	14.76	1257287	37349092.00
2023-08-08	14.79	14.94	14.68	14.92	1388739	41232944.00
2023-08-09	14.83	14.87	14.48	14.77	1590480	46681984.00
2023-08-10	14.74	15.17	14.70	15.14	2306879	69216944.00
2023-08-11	15.23	15.23	14.75	14.87	1456180	43495672.00
2023-08-14	14.66	15.02	14.56	14.94	1310695	38924288.00
2023-08-15	14.94	15.73	14.89	15.43	4710466	144420928.00
2023-08-16	15.36	15.68	15.01	15.13	3543949	108266624.00
2023-08-17	15.09	15.58	14.28	15.46	5328830	159584080.00
2023-08-18	15.40	16.27	15.37	15.78	7978581	252523488.00
2023-08-21	15.56	16.09	15.40	15.67	5418296	170201344.00
2023-08-22	15.66	15.99	14.99	15.36	4868010	150601120.00
2023-08-23	15.50	15.64	14.73	14.89	3340659	100413352.00
2023-08-24	14.74	14.93	14.29	14.74	2833157	82987664.00
