001379 腾达科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024-01-19	27.72	28.54	23.60	23.95	33890792	905508672.00
2024-01-22	22.72	26.10	21.94	24.83	27489896	674090816.00
2024-01-23	24.92	26.90	23.24	23.35	30072579	775827520.00
2024-01-24	21.10	23.22	20.83	21.77	25386308	560538560.00
2024-01-25	21.32	21.90	20.09	20.97	22196853	470877216.00
2024-01-26	20.48	23.10	20.14	23.10	27897376	618578688.00
2024-01-29	25.44	25.44	25.44	25.44	2463118	63351396.00
2024-01-30	24.93	25.66	22.87	22.87	25959265	630581952.00
2024-01-31	21.22	21.61	20.56	20.56	14410307	302286208.00
2024-02-01	18.52	19.03	18.48	18.48	17244128	325819648.00
2024-02-02	17.96	18.41	16.60	16.82	16189742	285554112.00
2024-02-05	16.82	16.99	15.11	15.11	11653998	183980880.00
2024-02-06	14.62	16.65	14.22	15.89	16206333	255396560.00
2024-02-07	15.82	15.97	14.27	14.27	13884026	213487968.00
2024-02-08	13.95	14.92	13.90	14.76	9770544	144903424.00
2024-02-19	14.85	15.60	14.62	15.22	11952045	183431936.00
2024-02-20	15.27	15.88	15.17	15.70	10588255	168460496.00
2024-02-21	15.32	16.50	15.27	15.90	12855809	209260112.00
2024-02-22	16.02	16.38	15.88	16.25	10091820	165384656.00
2024-02-23	16.22	17.90	16.00	17.90	10539702	179981536.00
2024-02-26	18.83	18.83	17.58	17.90	21591160	397492704.00
2024-02-27	17.70	18.13	17.42	18.13	14634104	265665616.00
2024-02-28	18.00	18.30	16.30	16.36	16169808	286482784.00
2024-02-29	15.97	16.82	15.83	16.80	8528599	143455968.00
2024-03-01	16.82	17.26	16.53	16.83	7699967	132050784.00
2024-03-04	16.89	16.91	16.23	16.60	5708936	96004992.00
2024-03-05	16.55	17.11	16.31	16.78	9132886	155338976.00
2024-03-06	16.72	17.90	16.54	17.27	12726727	223454752.00
2024-03-07	17.50	18.23	17.06	17.93	17553728	316205728.00
2024-03-08	17.60	17.82	17.20	17.44	11015982	195008288.00
2024-03-11	17.41	17.41	16.92	17.37	7700915	134549328.00
2024-03-12	17.37	17.67	17.14	17.51	7918640	140240752.00
2024-03-13	17.40	17.78	17.32	17.38	7202706	128371912.00
2024-03-14	17.22	18.81	17.09	17.79	14398154	260560976.00
2024-03-15	17.45	17.70	17.20	17.67	8277729	147067120.00
2024-03-18	17.71	18.15	17.71	18.10	9559579	174412048.00
2024-03-19	17.92	18.12	17.82	17.90	7106429	129680504.00
2024-03-20	17.90	18.03	17.80	17.91	5738872	104393560.00
2024-03-21	17.82	18.05	17.43	17.70	7548149	135890096.00
2024-03-22	17.70	17.72	17.07	17.07	5863957	103203160.00
2024-03-25	16.92	17.06	16.28	16.30	5288639	89665480.00
2024-03-26	16.21	16.47	15.82	16.29	4067800	67047812.00
2024-03-27	16.32	16.35	15.42	15.44	4257273	68683704.00
2024-03-28	15.43	15.95	15.41	15.77	4019307	64316036.00
2024-03-29	15.78	16.07	15.78	15.96	3018946	48881828.00
2024-04-01	15.94	16.25	15.94	16.25	3206210	52619652.00
2024-04-02	16.28	16.39	15.99	16.12	3264632	53712156.00
2024-04-03	16.12	16.15	15.70	15.92	2925008	47295364.00
2024-04-08	16.03	16.11	15.54	15.54	2931984	46903796.00
