002017 东信和平 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	6.59	7.42	6.59	6.70	8484900	96853488.00
2015-09-07	7.00	7.29	6.82	6.98	7802309	91264272.00
2015-09-08	6.97	7.66	6.80	7.56	8246994	98270320.00
2015-09-09	7.66	8.04	7.62	7.92	12067413	156403936.00
2015-09-10	7.74	7.88	7.62	7.68	7941147	102002264.00
2015-09-11	7.75	8.05	7.74	7.92	9261760	120777872.00
2015-09-14	8.04	8.06	7.14	7.14	8520741	106359016.00
2015-09-15	6.92	6.96	6.44	6.48	8491717	93583728.00
2015-09-16	6.53	7.11	6.50	7.11	7730938	86419832.00
2015-09-17	7.25	7.66	7.15	7.16	12604750	153993344.00
2015-09-18	7.17	7.49	7.11	7.38	7479438	90061936.00
2015-09-21	7.21	7.85	7.12	7.83	10513634	131389960.00
2015-09-22	7.85	7.92	7.53	7.69	11620906	148796032.00
2015-09-23	7.51	7.74	7.40	7.57	8949492	111999368.00
2015-09-24	7.67	7.78	7.54	7.71	8753290	111376248.00
2015-09-25	7.72	7.73	7.15	7.19	8850034	108122776.00
2015-09-28	7.22	7.55	7.06	7.50	7196563	87122120.00
2015-09-29	7.35	7.70	7.28	7.59	10462273	130087776.00
2015-09-30	7.67	7.70	7.37	7.47	5995126	74336872.00
2015-10-08	7.85	7.98	7.68	7.87	10295532	133892584.00
2015-10-09	7.86	8.12	7.80	8.04	10579352	139365568.00
2015-10-12	8.09	8.60	8.08	8.52	13221870	183767136.00
2015-10-13	8.37	8.74	8.37	8.73	12898028	182873712.00
2015-10-14	8.62	8.67	8.39	8.46	11475376	162151088.00
2015-10-15	8.40	9.12	8.40	8.97	16152029	235838176.00
2015-10-16	9.04	9.13	8.83	9.09	14600914	217393648.00
2015-10-19	9.10	9.13	8.69	8.85	13101304	193747152.00
2015-10-20	8.86	9.54	8.86	9.41	18931958	291093056.00
2015-10-21	9.46	9.77	8.48	8.51	23248387	356064448.00
2015-10-22	8.45	9.08	8.45	9.08	14622617	212927008.00
2015-10-23	9.22	9.60	9.04	9.50	17382084	267034656.00
2015-10-26	9.59	9.92	9.28	9.75	20795293	331527808.00
2015-10-27	9.54	9.78	8.85	9.57	17092225	265434448.00
2015-10-28	9.40	9.78	9.22	9.31	13117120	207534720.00
2015-10-29	9.41	9.56	9.22	9.40	10141602	158438464.00
2015-10-30	9.34	9.63	9.15	9.41	12825482	201072224.00
2015-11-02	9.09	9.65	8.97	9.19	12111433	189158544.00
2015-11-03	9.31	9.37	9.01	9.06	8344099	127087312.00
2015-11-04	9.15	9.66	9.13	9.66	15371663	241478320.00
2015-11-05	9.69	9.88	9.48	9.84	20028776	322345760.00
2015-11-06	9.93	10.20	9.87	10.09	18730274	313250560.00
2015-11-09	9.94	10.34	9.66	10.23	19262147	320398752.00
2015-11-10	10.11	10.22	9.88	10.02	13806076	231379136.00
2015-11-11	10.03	10.51	9.93	10.46	16636240	281717984.00
2015-11-12	10.37	10.43	9.99	10.11	15029057	254287360.00
2015-11-13	9.96	10.09	9.69	9.79	10198044	167724064.00
2015-11-16	9.79	10.15	9.64	10.15	9663493	160375488.00
2015-11-17	10.34	10.40	9.92	9.93	18458765	312804992.00
2015-11-18	9.94	10.02	9.63	9.66	11336851	184883344.00
2015-11-19	9.66	10.02	9.66	10.01	9102618	148564800.00
2015-11-20	10.06	10.28	9.93	10.17	14581153	244934160.00
2015-11-23	10.17	10.45	10.06	10.16	15315906	261200192.00
2015-11-24	10.17	10.88	10.08	10.82	21964452	382631424.00
2015-11-25	10.70	11.03	10.59	10.99	21803873	391498560.00
2015-11-26	11.13	11.14	10.72	10.76	18426927	336657280.00
2015-11-27	10.58	10.92	9.82	10.05	17438769	304734080.00
2015-11-30	10.05	10.19	9.19	10.01	15143799	246392432.00
2015-12-01	9.96	10.19	9.81	10.00	10464316	173967648.00
2015-12-02	9.99	10.10	9.24	9.72	8534189	136689056.00
