002054 德美化工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	7.65	8.73	7.48	7.85	10996626	97885320.00
2015-09-07	8.09	8.49	7.63	7.88	16690555	147741872.00
2015-09-08	7.68	8.74	7.68	8.69	16700990	150851440.00
2015-09-09	8.65	9.04	8.63	8.91	22920893	219724400.00
2015-09-10	8.73	9.01	8.66	8.68	12473628	119408640.00
2015-09-11	8.71	8.87	8.63	8.81	8300605	78998504.00
2015-09-14	8.90	8.97	7.85	7.85	13748944	124174392.00
2015-09-15	7.86	8.25	7.60	7.86	11908319	104216896.00
2015-09-16	7.95	8.72	7.91	8.70	14198658	128605864.00
2015-09-17	8.67	8.84	8.32	8.35	16223364	151107392.00
2015-09-18	8.45	8.55	8.26	8.48	8601796	78769160.00
2015-09-21	8.44	8.81	8.34	8.75	10758104	100653448.00
2015-09-22	8.79	8.89	8.52	8.69	12818978	120960336.00
2015-09-23	8.51	8.61	8.32	8.40	8662989	79772728.00
2015-09-24	8.39	8.70	8.39	8.69	8408478	78387048.00
2015-09-25	8.66	8.78	8.27	8.44	8182639	75825480.00
2015-09-28	8.44	8.70	8.37	8.69	6809034	63603728.00
2015-09-29	8.48	8.66	8.36	8.45	6393225	59079900.00
2015-09-30	8.48	8.57	8.42	8.50	4867939	45041932.00
2015-10-08	8.89	9.00	8.68	8.93	10796386	103818792.00
2015-10-09	8.91	9.63	8.87	9.48	17313958	175375904.00
2015-10-12	9.60	10.10	9.51	10.05	16963778	179641360.00
2015-10-13	10.05	10.21	9.86	10.06	15281358	165084384.00
2015-10-14	10.03	10.20	9.77	9.78	14448679	155443936.00
2015-10-15	9.73	10.40	9.67	10.40	15458961	167686768.00
2015-10-16	10.47	10.55	10.17	10.51	17382427	193631312.00
2015-10-19	10.51	10.99	10.35	10.61	18192657	207070096.00
2015-10-20	10.55	10.81	10.46	10.76	12324300	140403168.00
2015-10-21	10.76	10.79	9.61	9.79	18556407	203715760.00
2015-10-22	9.77	10.28	9.77	10.24	12601426	136061392.00
2015-10-23	10.34	10.62	10.17	10.57	13332569	148666976.00
2015-10-26	10.79	10.93	10.62	10.83	15737689	181567600.00
2015-10-27	10.75	11.17	10.30	11.10	16836015	193860448.00
2015-10-28	11.04	11.34	10.88	11.08	17060766	201847216.00
2015-10-29	11.15	11.40	10.98	11.38	15213549	181564352.00
2015-10-30	11.39	11.71	11.08	11.54	18307344	222650800.00
2015-11-02	11.25	11.47	10.62	10.87	20111509	238959216.00
2015-11-03	10.86	11.25	10.55	10.97	14002825	163829472.00
2015-11-04	11.10	11.81	11.10	11.79	22275854	272420800.00
2015-11-05	11.93	12.17	11.49	11.76	22681169	285711168.00
2015-11-06	11.73	12.41	11.63	12.26	20936842	268236432.00
2015-11-09	12.13	12.60	11.94	12.31	21913727	285340128.00
2015-11-10	12.16	12.43	12.03	12.22	15529945	201808864.00
2015-11-11	12.19	12.43	11.99	12.27	13341263	172151808.00
2015-11-12	12.45	12.45	12.03	12.27	14383355	186393568.00
2015-11-13	12.19	12.24	11.65	11.87	12512921	159318624.00
2015-11-16	11.64	12.26	11.53	12.25	12719578	162185456.00
2015-11-17	12.43	12.72	12.25	12.26	16380323	216478400.00
2015-11-18	12.24	12.58	12.05	12.09	12249510	159360448.00
2015-11-19	12.06	12.54	12.06	12.37	10392911	135633392.00
2015-11-20	12.37	12.50	12.29	12.49	13038877	171441296.00
2015-11-23	12.53	12.82	12.49	12.80	17746954	238386768.00
2015-11-24	12.70	12.99	12.47	12.85	13033708	175804912.00
2015-11-25	12.70	13.01	12.67	12.94	14089788	191757296.00
2015-11-26	13.13	13.13	12.69	12.70	12135785	165221712.00
2015-11-27	12.60	12.81	11.56	11.60	15630625	202786832.00
2015-11-30	11.60	11.79	10.70	11.52	11580749	140027904.00
2015-12-01	11.55	11.84	11.37	11.76	7958485	98651168.00
2015-12-02	11.79	11.81	11.02	11.69	8200285	100523000.00
2015-12-03	11.65	12.09	11.56	12.05	10430853	131688992.00
2015-12-04	12.05	12.63	11.95	12.31	18837914	247043024.00
2015-12-07	12.45	12.55	12.12	12.38	11989581	156743248.00
2015-12-08	12.39	12.75	12.28	12.55	18788132	249387648.00
2015-12-09	12.40	12.47	12.15	12.30	9822087	128120704.00
2015-12-10	12.33	12.42	11.95	11.95	11987018	154932736.00
2015-12-11	11.91	12.00	11.44	11.65	8765652	108964576.00
2015-12-14	11.47	11.99	11.40	11.95	8266652	103468208.00
2015-12-15	11.97	12.33	11.90	12.31	9587781	123574704.00
2015-12-16	12.25	12.40	12.21	12.23	8741248	114085808.00
2015-12-17	12.30	12.73	12.30	12.73	17844340	238018432.00
2015-12-18	12.73	12.76	12.45	12.60	13250204	176935264.00
2015-12-21	12.73	13.01	12.65	12.83	13690029	186359280.00
2015-12-22	12.85	13.13	12.75	13.04	14374794	197137888.00
2015-12-23	13.07	13.10	12.61	12.61	14717413	200242736.00
2015-12-24	12.56	12.83	12.53	12.79	9642049	129540720.00
2015-12-25	12.80	13.02	12.66	12.97	10087364	136688160.00
2015-12-28	13.06	14.00	13.06	13.23	26748160	380961376.00
2015-12-29	13.35	14.00	13.14	13.96	24351342	349670656.00
2015-12-30	14.00	14.05	13.65	13.90	17710792	258051792.00
