002083 孚日股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	3.90	4.45	3.81	4.04	16036339	93423328.00
2015-09-07	4.20	4.43	4.14	4.19	14821060	88808000.00
2015-09-08	4.20	4.52	4.10	4.49	13161447	79362976.00
2015-09-09	4.52	4.74	4.49	4.68	22624038	143265504.00
2015-09-10	4.53	4.65	4.43	4.47	14284098	89234424.00
2015-09-11	4.53	4.64	4.45	4.58	11859303	74044888.00
2015-09-14	4.60	4.61	3.95	3.95	19481789	115145168.00
2015-09-15	3.80	3.94	3.50	3.55	13674533	74417512.00
2015-09-16	3.62	4.08	3.61	4.03	16147412	89122888.00
2015-09-17	3.95	4.14	3.87	3.87	21422301	122623840.00
2015-09-18	3.88	3.99	3.78	3.91	9774735	54580212.00
2015-09-21	3.80	4.12	3.79	4.10	13084251	74458384.00
2015-09-22	4.13	4.21	4.02	4.16	18157040	105663528.00
2015-09-23	4.02	4.11	3.92	3.97	13010912	74320808.00
2015-09-24	3.97	4.09	3.97	4.08	10473594	60152708.00
2015-09-25	4.06	4.09	3.80	3.96	11972499	67869904.00
2015-09-28	3.91	4.23	3.85	4.23	14938979	86041560.00
2015-09-29	4.13	4.17	3.99	4.01	14817269	85517112.00
2015-09-30	4.04	4.08	3.98	4.04	9371538	53753008.00
2015-10-08	4.20	4.28	4.14	4.28	18345716	108778792.00
2015-10-09	4.27	4.35	4.19	4.31	17562659	104832432.00
2015-10-12	4.33	4.59	4.30	4.55	22866737	141475776.00
2015-10-13	4.50	4.76	4.46	4.73	26576872	168142992.00
2015-10-14	4.69	4.72	4.53	4.55	19824397	125310824.00
2015-10-15	4.64	4.75	4.50	4.75	22633691	143824944.00
2015-10-16	4.77	4.82	4.62	4.77	25392721	163285120.00
2015-10-19	4.79	4.96	4.71	4.89	31096373	203079136.00
2015-10-20	4.81	4.92	4.73	4.90	27503681	179729440.00
2015-10-21	4.94	4.94	4.30	4.34	29283354	186611200.00
2015-10-22	4.33	4.68	4.33	4.68	20230846	124880456.00
2015-10-23	4.70	4.90	4.58	4.83	25618818	164944656.00
2015-10-26	4.90	4.95	4.81	4.95	28717361	188865280.00
2015-10-27	5.10	5.30	4.95	5.26	49092668	336613504.00
2015-10-28	5.15	5.19	4.92	4.96	27298447	184943920.00
2015-10-29	5.05	5.15	4.97	5.06	18783949	126833728.00
2015-10-30	5.20	5.47	5.19	5.23	45357303	318085536.00
2015-11-02	5.05	5.26	4.92	4.99	24370539	165387520.00
2015-11-03	5.06	5.09	4.90	4.97	13851018	92792152.00
2015-11-04	5.02	5.34	5.02	5.32	28138670	194689040.00
2015-11-05	5.35	5.39	5.15	5.27	40213282	280181280.00
2015-11-06	5.25	5.52	5.23	5.45	32195123	229515936.00
2015-11-09	5.38	5.53	5.30	5.44	34923089	248463584.00
2015-11-10	5.37	5.55	5.34	5.46	27688769	198417008.00
2015-11-11	5.47	5.60	5.44	5.58	28327731	204653296.00
2015-11-12	5.58	5.64	5.37	5.46	30309312	217860672.00
2015-11-13	5.37	5.42	5.26	5.30	25896369	182264752.00
2015-11-16	5.14	5.44	5.12	5.43	17742077	123983520.00
2015-11-17	5.47	5.54	5.35	5.39	31128890	223204448.00
2015-11-18	5.40	5.44	5.25	5.26	17867636	126024072.00
2015-11-19	5.31	5.41	5.27	5.41	14673165	103463864.00
2015-11-20	5.41	5.74	5.39	5.65	62051613	452517696.00
2015-11-23	5.62	5.74	5.52	5.55	31080479	228100464.00
2015-11-24	5.54	5.68	5.47	5.62	26963489	196012240.00
2015-11-25	5.60	5.85	5.58	5.84	42252727	312642784.00
2015-11-26	5.85	5.85	5.66	5.67	32700697	243283168.00
2015-11-27	5.62	5.69	5.12	5.27	36760794	262172096.00
2015-11-30	5.30	5.75	5.11	5.72	47322591	341099392.00
2015-12-01	5.77	5.98	5.62	5.79	50897143	381559232.00
2015-12-02	5.76	5.79	5.40	5.67	26805144	195845280.00
2015-12-03	5.65	5.83	5.60	5.79	28460878	211377872.00
2015-12-04	5.78	6.05	5.74	5.95	62594569	475776288.00
2015-12-07	5.95	6.19	5.90	5.99	43761028	338590688.00
2015-12-08	5.90	6.12	5.69	5.90	41498951	316213472.00
2015-12-09	5.84	5.95	5.65	5.75	27655230	206307728.00
2015-12-10	5.75	6.12	5.75	5.94	35405797	270160736.00
2015-12-11	5.90	6.48	5.86	6.36	65248795	513351872.00
2015-12-14	6.24	6.37	6.11	6.33	48349947	383739296.00
2015-12-15	6.32	6.43	6.17	6.41	42620693	341841952.00
2015-12-16	6.39	6.64	6.35	6.45	41410480	338388000.00
2015-12-17	6.47	6.63	6.41	6.56	50187286	411283872.00
2015-12-18	6.52	6.57	6.28	6.33	41552397	336533888.00
2015-12-21	6.28	6.43	6.24	6.42	26508332	213646064.00
2015-12-22	6.40	6.41	6.27	6.37	23468607	188625024.00
2015-12-23	6.37	6.46	6.20	6.23	26760144	215601808.00
2015-12-24	6.22	6.36	6.10	6.31	25342757	200707424.00
2015-12-25	6.38	6.38	6.25	6.31	14726147	117983992.00
2015-12-28	6.36	6.43	6.13	6.13	24513520	195970752.00
2015-12-29	6.13	6.24	6.02	6.21	16373141	128316520.00
2015-12-30	6.25	6.43	6.21	6.41	24041687	193120672.00
2015-12-31	6.43	6.44	6.27	6.30	18043117	145291408.00
2016-01-04	6.29	6.29	5.64	5.72	19968212	153047120.00
2016-01-05	5.35	5.78	5.35	5.59	26359326	191730608.00
2016-01-06	5.62	6.05	5.54	6.00	23523142	175780736.00
2016-01-07	5.89	6.06	5.24	5.30	8768240	65122204.00
2016-01-08	5.61	5.79	5.30	5.69	28156327	206642528.00
2016-01-11	5.40	5.66	4.95	5.05	27580679	195271248.00
2016-01-12	4.96	5.19	4.80	5.05	17619326	118992208.00
2016-01-13	5.10	5.16	4.71	4.71	13025171	86967088.00
2016-01-14	4.40	4.91	4.37	4.86	15559319	98566072.00
2016-01-15	4.85	4.85	4.28	4.35	17448029	109108696.00
2016-01-18	4.26	4.54	4.18	4.42	10582086	64572296.00
2016-01-19	4.43	4.67	4.39	4.65	10995083	68731472.00
2016-01-20	4.61	4.70	4.51	4.64	11977138	75590344.00
2016-01-21	4.52	4.67	4.45	4.45	10448152	65392488.00
2016-01-22	4.50	4.56	4.34	4.50	8981749	55269236.00
2016-01-25	4.55	4.63	4.48	4.53	8783311	54883328.00
2016-01-26	4.46	4.47	4.01	4.04	13274407	79292728.00
2016-01-27	4.10	4.21	3.83	4.17	13000596	74999048.00
2016-01-28	4.11	4.15	3.84	3.92	8855213	50503584.00
2016-01-29	3.88	4.18	3.88	4.10	10081443	58059672.00
2016-02-01	4.11	4.17	4.02	4.10	6180956	35808384.00
2016-02-02	4.08	4.30	4.08	4.24	9309059	55183632.00
2016-02-03	4.18	4.25	4.08	4.23	7339600	42975148.00
2016-02-04	4.25	4.39	4.23	4.34	9307838	56058372.00
2016-02-05	4.35	4.42	4.26	4.31	8201377	49603832.00
2016-02-15	4.10	4.28	4.07	4.24	7560427	44383752.00
2016-02-16	4.26	4.51	4.25	4.43	13589222	82898056.00
2016-02-17	4.43	4.46	4.37	4.45	10106196	61848836.00
2016-02-18	4.48	4.51	4.42	4.43	10911257	67196544.00
2016-02-19	4.40	4.50	4.40	4.45	8128550	50024408.00
2016-02-22	4.50	4.58	4.46	4.58	12882101	80166016.00
2016-02-23	4.58	4.59	4.41	4.50	10869676	67305184.00
2016-02-24	4.47	4.57	4.42	4.56	8881949	55036736.00
2016-02-25	4.53	4.55	4.01	4.10	16511454	99120096.00
2016-02-26	4.19	4.27	4.06	4.12	7088741	41593180.00
2016-02-29	4.16	4.18	3.76	3.87	12775537	71940352.00
2016-03-01	3.91	4.07	3.85	4.03	8327805	47250304.00
2016-03-02	4.04	4.31	4.01	4.28	10700257	63109592.00
2016-03-03	4.26	4.39	4.25	4.32	10608891	63954416.00
2016-03-04	4.29	4.34	4.11	4.19	8310018	49317120.00
2016-03-07	4.23	4.42	4.20	4.42	11798929	70901976.00
2016-03-08	4.37	4.40	4.18	4.36	10845317	65001288.00
2016-03-09	4.24	4.28	4.18	4.22	6760123	40079392.00
2016-03-10	4.22	4.31	4.15	4.17	5300096	31408386.00
2016-03-11	4.15	4.20	4.08	4.13	4825084	28146110.00
2016-03-14	4.25	4.37	4.17	4.29	9986769	59883788.00
2016-03-15	4.25	4.34	4.20	4.25	6039913	35972356.00
2016-03-16	4.27	4.31	4.13	4.21	5941214	35097252.00
2016-03-17	4.21	4.38	4.20	4.36	11105158	66726464.00
2016-03-18	4.35	4.54	4.35	4.52	16837893	103897784.00
2016-03-21	4.57	4.60	4.51	4.57	17151348	107147272.00
2016-03-22	4.53	4.59	4.48	4.55	11567817	72235008.00
2016-03-23	4.53	4.63	4.53	4.61	11498364	72222048.00
2016-03-24	4.57	4.57	4.47	4.47	11511481	71623256.00
2016-03-25	4.47	4.53	4.45	4.52	6417991	39732596.00
2016-03-28	4.56	4.63	4.50	4.53	8964412	56242868.00
2016-03-29	4.52	4.57	4.46	4.48	8166147	50612356.00
2016-03-30	4.51	4.66	4.51	4.66	12874923	81099096.00
2016-03-31	4.65	4.68	4.59	4.61	12976733	82185208.00
2016-04-01	4.55	4.58	4.39	4.51	12960862	80091088.00
2016-04-05	4.47	4.95	4.45	4.90	25890878	165169328.00
2016-04-06	4.92	5.01	4.75	4.86	25669352	169163904.00
2016-04-07	4.91	4.92	4.68	4.69	14436096	93325296.00
2016-04-08	4.63	4.80	4.60	4.77	11038716	70352384.00
2016-04-11	4.76	4.92	4.76	4.84	12393938	81348728.00
2016-04-12	4.86	4.87	4.73	4.81	8020696	52087728.00
2016-04-13	4.83	5.05	4.83	4.93	17492179	116550952.00
2016-04-14	4.99	5.00	4.90	4.96	8986637	59651136.00
2016-04-15	4.94	5.01	4.90	4.99	8872777	59051940.00
2016-04-18	4.99	4.99	4.77	4.83	10928074	71715496.00
