002278 神开股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-09	14.18	14.18	14.18	14.18	527900	7643992.00
2015-09-10	12.73	12.73	12.73	12.73	443000	5772290.00
2015-09-11	11.43	11.43	11.43	11.43	10742700	126011872.00
2015-09-14	11.25	11.43	10.26	10.27	53459808	589909184.00
2015-09-15	9.77	10.51	9.70	10.00	27434761	282633248.00
2015-09-16	10.10	10.91	9.80	10.65	20424006	216165312.00
2015-09-17	10.54	10.85	10.08	10.10	23040699	249742976.00
2015-09-18	10.20	10.28	9.58	9.82	16715307	169413392.00
2015-09-21	10.83	10.83	10.83	10.83	9180987	102184384.00
2015-09-22	11.50	11.50	10.87	10.92	34493311	395215712.00
2015-09-23	10.40	11.03	10.36	10.75	15663496	173289808.00
2015-09-24	10.86	11.04	10.74	10.88	12171075	135861360.00
2015-09-25	10.81	10.85	10.20	10.40	11674200	126251136.00
2015-09-28	10.38	10.58	10.21	10.51	7031079	75670328.00
2015-09-29	10.39	10.46	10.05	10.27	7335982	77637128.00
2015-09-30	10.29	10.40	10.24	10.24	5556653	58903472.00
2015-10-08	10.56	10.73	10.43	10.66	10183794	111199296.00
2015-10-09	10.70	11.08	10.61	10.87	12985649	145078352.00
2015-10-12	10.92	11.41	10.91	11.21	16816377	192806432.00
2015-10-13	11.14	11.48	11.04	11.34	12937026	149748208.00
2015-10-14	11.19	11.29	10.95	10.96	12517293	142775376.00
2015-10-15	11.13	12.09	11.13	12.09	17970507	220435648.00
2015-10-16	12.80	12.85	12.31	12.57	30176768	387773344.00
2015-10-19	12.80	13.42	12.50	12.89	22716879	301990592.00
2015-10-20	12.60	13.88	12.55	13.50	19649247	268934624.00
2015-10-21	13.36	13.95	12.40	12.50	24538043	334727872.00
2015-10-22	12.81	13.78	12.81	13.78	20595286	283357856.00
2015-10-23	14.49	15.19	14.08	14.76	26565520	401737856.00
2015-10-26	14.81	16.27	14.55	16.27	26051332	417527648.00
2015-10-27	15.92	17.64	15.69	17.10	33343278	561794112.00
2015-10-28	16.83	17.42	16.00	16.21	21122037	358113440.00
2015-10-29	16.48	17.09	16.05	16.13	15109834	253503536.00
2015-10-30	15.93	16.80	15.73	16.24	12190513	203450608.00
2015-11-02	14.81	15.68	14.59	14.59	23946209	366863872.00
2015-11-03	14.59	15.00	14.42	14.72	11890164	178679824.00
2015-11-04	15.13	16.22	15.03	16.22	17181299	275580256.00
