002320 海峡股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016-01-07	5.04	5.04	5.04	5.04	61100	1508559.00
2016-01-08	4.48	4.48	4.48	4.48	512400	11385528.00
2016-01-11	3.97	3.97	3.97	3.97	315700	6314000.00
2016-01-12	3.52	3.52	3.52	3.52	2068800	37238400.00
2016-01-13	3.18	3.42	3.11	3.11	24940386	410648736.00
2016-01-14	2.83	3.26	2.77	3.15	28937214	446997824.00
2016-01-15	3.06	3.10	2.78	2.79	21447133	335056096.00
2016-01-18	2.79	3.13	2.65	3.13	13913526	220555792.00
2016-01-19	3.24	3.50	3.16	3.50	37512674	647227392.00
2016-01-20	3.44	3.88	3.35	3.66	35075829	631572928.00
2016-01-21	3.49	3.60	3.23	3.23	24692806	436160480.00
2016-01-22	3.23	3.32	3.02	3.27	20442559	338932320.00
2016-01-25	3.27	3.32	3.15	3.28	16952928	284189248.00
2016-01-26	3.20	3.23	2.89	2.89	15346353	243697536.00
2016-01-27	2.84	2.90	2.60	2.84	16431304	241970288.00
2016-01-28	2.81	2.86	2.50	2.50	14566884	207409840.00
2016-01-29	2.45	2.72	2.42	2.65	16957064	234729184.00
2016-02-01	2.60	2.63	2.39	2.47	12415594	169742720.00
2016-02-02	2.45	2.77	2.45	2.77	13203996	189153360.00
2016-02-03	2.76	2.95	2.65	2.90	19014775	282390880.00
2016-02-04	2.86	2.97	2.83	2.91	16087302	246029952.00
2016-02-05	2.89	2.91	2.75	2.75	11972147	178890512.00
2016-02-15	2.56	2.73	2.51	2.67	10198538	143710928.00
2016-02-16	2.72	3.00	2.67	3.00	11216179	170616736.00
2016-02-17	3.13	3.18	3.01	3.14	21870046	353560416.00
2016-02-18	3.14	3.14	3.02	3.05	19333955	310483136.00
2016-02-19	3.05	3.22	3.02	3.16	19370737	315863520.00
2016-02-22	3.25	3.28	3.13	3.20	19586221	325151712.00
2016-02-23	3.24	3.24	3.07	3.17	14643622	238211632.00
2016-02-24	3.15	3.37	3.06	3.35	17131802	282925504.00
2016-02-25	3.38	3.38	2.95	2.95	18857933	306317824.00
2016-02-26	2.99	3.02	2.75	2.83	11725524	178076128.00
2016-02-29	2.77	2.77	2.49	2.49	10752790	147426032.00
2016-03-01	2.49	2.64	2.39	2.58	9501856	129184480.00
2016-03-02	2.54	2.76	2.51	2.72	12124040	171721024.00
2016-03-03	2.71	2.87	2.69	2.72	12099372	178305760.00
2016-03-04	2.66	2.83	2.45	2.54	11914149	169602176.00
2016-03-07	2.61	2.67	2.56	2.63	8653416	122010496.00
2016-03-08	2.61	2.70	2.45	2.70	12187739	167894688.00
2016-03-09	2.58	2.88	2.54	2.82	19742241	290650080.00
2016-03-10	2.78	2.83	2.67	2.68	12140667	177589584.00
2016-03-11	2.66	2.69	2.57	2.59	8586452	120674936.00
2016-03-14	2.64	2.90	2.61	2.80	13512662	199279680.00
2016-03-15	2.82	2.95	2.76	2.92	18791342	285909152.00
2016-03-16	2.92	2.97	2.77	2.80	13238166	199233344.00
2016-03-17	2.81	3.06	2.79	3.02	19830425	306544736.00
2016-03-18	3.02	3.20	2.98	3.15	22644383	365774240.00
2016-03-21	3.20	3.28	3.09	3.26	23584986	389058944.00
2016-03-22	3.17	3.21	3.12	3.13	16634680	273301408.00
2016-03-23	3.15	3.26	3.15	3.20	16803744	278991392.00
2016-03-24	3.15	3.17	3.04	3.04	15745080	253954384.00
2016-03-25	3.00	3.07	2.97	3.05	8422574	133560744.00
2016-03-28	3.08	3.15	2.99	3.00	9441254	152113296.00
2016-03-29	2.95	3.10	2.95	3.03	9533998	150896768.00
2016-03-30	3.06	3.13	3.03	3.13	10637193	171608640.00
2016-03-31	3.16	3.18	3.10	3.11	9887285	161386864.00
2016-04-01	3.08	3.08	2.95	3.04	8458993	133662360.00
2016-04-05	3.03	3.16	3.02	3.15	11167306	181020656.00
2016-04-06	3.15	3.25	3.12	3.19	13279611	219556128.00
2016-04-07	3.20	3.22	3.05	3.06	10551767	170998672.00
2016-04-08	3.02	3.05	2.95	3.01	7509796	117841768.00
2016-04-11	3.04	3.13	3.04	3.11	9518907	153229952.00
2016-04-12	3.10	3.11	2.99	3.03	7978923	126818752.00
2016-04-13	3.06	3.19	3.04	3.13	15124925	246887680.00
2016-04-14	3.17	3.17	3.11	3.17	10763497	176140240.00
2016-04-15	3.17	3.33	3.15	3.31	19413048	325338688.00
2016-04-18	3.32	3.32	3.18	3.23	13464737	226095328.00
2016-04-19	3.27	3.28	3.15	3.23	10716236	178039312.00
2016-04-20	3.20	3.24	2.85	2.86	17321189	272916544.00
2016-04-21	2.87	2.88	2.74	2.75	10575921	157698656.00
2016-04-22	2.74	2.81	2.69	2.79	5868938	86200888.00
2016-04-25	2.77	2.79	2.68	2.74	4912538	71603904.00
2016-04-26	2.74	2.81	2.72	2.80	4511690	66322160.00
2016-04-27	2.81	2.83	2.76	2.77	5450119	81007944.00
2016-04-28	2.79	2.79	2.69	2.77	5090827	74263576.00
2016-04-29	2.74	2.77	2.71	2.73	4492040	65537112.00
2016-05-03	2.75	2.85	2.69	2.84	6691441	99239632.00
2016-05-04	2.85	2.87	2.82	2.84	6517981	98089240.00
2016-05-05	2.83	2.85	2.80	2.84	4690536	70305840.00
2016-05-06	2.84	2.87	2.60	2.60	9450660	137396896.00
2016-05-09	2.57	2.57	2.43	2.46	6446397	87135152.00
