002748 世龙实业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	10.81	13.13	10.64	11.95	4595911	120061160.00
2015-09-07	11.82	12.52	11.71	11.77	2450568	62985780.00
2015-09-08	11.66	12.55	11.31	12.45	1752922	44534048.00
2015-09-09	12.45	12.91	12.37	12.79	2838433	76149024.00
2015-09-10	12.57	12.77	12.36	12.42	1572057	41601980.00
2015-09-11	12.34	12.64	12.28	12.64	1092945	28753094.00
2015-09-14	12.64	12.80	11.31	11.31	1261900	31967352.00
2015-09-15	11.06	11.06	10.11	10.14	1390374	31130978.00
2015-09-16	10.21	11.23	10.16	11.15	1491139	33798156.00
2015-09-17	11.16	11.40	10.74	10.78	1438490	33886384.00
2015-09-18	10.77	11.00	10.66	10.87	847278	19494586.00
2015-09-21	10.76	11.37	10.67	11.31	1353048	31721872.00
2015-09-22	11.41	11.71	11.26	11.41	1538090	37339760.00
2015-09-23	11.16	11.70	11.12	11.56	1703443	41425880.00
2015-09-24	11.52	11.94	11.52	11.71	1579806	39332260.00
2015-09-25	11.66	12.29	11.21	11.32	2952117	74531728.00
2015-09-28	11.16	11.84	10.89	11.79	1631397	39296108.00
2015-09-29	11.47	11.54	11.21	11.35	922950	22285484.00
2015-09-30	11.41	11.86	11.41	11.75	1404401	34663740.00
2015-10-08	12.10	12.81	12.09	12.81	3562965	92923464.00
2015-10-09	12.42	12.81	12.42	12.61	2128821	56537088.00
2015-10-12	12.57	13.31	12.31	13.24	3689612	100778376.00
2015-10-13	13.11	13.27	12.92	13.19	2105277	58219832.00
2015-10-14	13.19	13.29	12.91	12.91	1462818	40246668.00
2015-10-15	12.99	13.25	12.83	13.21	1727900	47665984.00
2015-10-16	13.20	13.80	13.12	13.63	2549416	71923336.00
2015-10-19	13.57	13.80	12.97	13.21	1991820	55972128.00
2015-10-20	13.20	13.41	13.03	13.39	1093126	30471478.00
2015-10-21	13.36	13.61	12.06	12.21	2054759	56039492.00
2015-10-22	12.22	12.90	12.22	12.81	1749566	46352328.00
2015-10-23	12.83	13.86	12.83	13.66	2203974	61718448.00
2015-10-26	13.67	14.30	13.47	14.03	2883685	83642656.00
2015-10-27	14.56	15.45	14.16	15.31	7574273	234540512.00
2015-10-28	14.87	14.87	13.97	14.11	3888254	118084968.00
