002767 先锋电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015-09-02	16.38	18.27	16.15	16.36	2924259	77845880.00
2015-09-07	16.98	17.62	16.65	17.15	2511674	66361972.00
2015-09-08	17.14	18.90	16.73	18.90	3995035	111085304.00
2015-09-09	19.28	20.26	18.95	19.82	4481734	135244784.00
2015-09-10	19.17	19.68	18.65	18.70	2970490	86776272.00
2015-09-11	18.88	19.61	18.85	19.28	2111105	62068688.00
2015-09-14	19.22	19.28	17.32	17.32	2311497	64218940.00
2015-09-15	16.66	17.45	15.95	16.14	2010561	51164948.00
2015-09-16	16.56	17.80	16.38	17.80	2492041	65675164.00
2015-09-17	17.62	18.68	17.20	17.20	3251992	89358192.00
2015-09-18	17.45	17.75	16.90	17.51	1749112	46402892.00
2015-09-21	17.22	18.52	16.98	18.48	2706809	74923576.00
2015-09-22	18.68	19.34	18.36	18.73	2989800	86064880.00
2015-09-23	18.15	19.48	18.12	18.93	3899800	113324608.00
2015-09-24	19.14	19.54	18.66	19.02	2879739	84159368.00
2015-09-25	18.96	19.05	17.38	17.62	2147629	59844560.00
2015-09-28	17.90	19.10	17.50	18.89	2156893	60562936.00
2015-09-29	18.34	18.67	18.05	18.30	1566707	44035708.00
2015-09-30	18.36	19.08	18.26	18.80	2577138	73826168.00
2015-10-08	19.62	20.00	19.08	19.70	3135426	93531136.00
2015-10-09	19.62	20.06	19.42	19.82	2922987	88554560.00
2015-10-12	19.82	21.02	19.72	20.63	3264946	102280232.00
2015-10-13	20.54	20.98	20.29	20.97	3001479	94385192.00
2015-10-14	20.88	21.52	20.54	20.54	2865986	91677472.00
2015-10-15	20.28	21.47	20.16	21.35	3480078	111891616.00
2015-10-16	21.62	21.65	20.82	21.34	3308876	107207328.00
2015-10-19	21.45	21.68	21.10	21.37	3097930	101245200.00
2015-10-20	21.37	21.79	21.08	21.74	2777429	91051632.00
2015-10-21	21.74	22.68	19.98	20.02	4194605	138863792.00
2015-10-22	19.82	20.82	19.82	20.68	2562658	79851432.00
2015-10-23	20.79	21.52	20.74	21.34	2296684	74083056.00
2015-10-26	21.68	22.46	21.62	21.96	3233530	108871568.00
2015-10-27	21.79	22.26	20.25	22.24	2394270	78518208.00
2015-10-28	22.20	23.22	21.89	22.28	3367382	116256856.00
2015-10-29	22.57	22.83	21.80	22.68	2563441	87488600.00
2015-10-30	22.55	23.15	21.96	22.91	2529572	87574176.00
2015-11-02	22.58	25.24	22.40	25.24	6354436	240211680.00
2015-11-03	24.94	26.52	24.33	25.88	7323435	283024704.00
2015-11-04	25.48	27.14	25.29	26.74	5915139	235402768.00
2015-11-05	26.46	27.57	25.48	26.20	4153331	166944944.00
2015-11-06	25.94	27.28	25.94	27.06	3783688	153698064.00
2015-11-09	26.92	28.94	26.61	28.40	4703415	199477664.00
2015-11-10	27.93	28.55	27.34	28.06	3479842	148113312.00
