002825 纳尔股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016-11-29	3.38	4.27	3.38	4.27	8146	115214.82
2016-11-30	4.80	4.80	4.80	4.80	2217	35693.70
2016-12-01	5.39	5.39	5.39	5.39	300	5313.00
2016-12-02	6.03	6.03	6.03	6.03	2258	43985.84
2016-12-05	6.74	6.74	6.74	6.74	10700	229301.00
2016-12-06	7.52	7.52	7.52	7.52	3300	77781.00
2016-12-07	8.38	8.38	8.38	8.38	5046	130842.78
2016-12-08	9.33	9.33	9.33	9.33	5611	160025.72
2016-12-09	10.37	10.37	10.37	10.37	15839	496869.44
2016-12-12	11.51	11.51	11.51	11.51	29970	1034264.69
2016-12-13	12.77	12.77	12.77	12.77	49774	1889421.00
2016-12-14	14.15	14.15	14.15	14.15	33092	1381921.88
2016-12-15	15.68	15.68	15.68	15.68	21674	995703.56
2016-12-16	17.35	17.35	17.35	17.35	100653	5085996.00
2016-12-19	19.19	19.19	19.19	19.19	64882	3606141.50
2016-12-20	21.22	21.22	21.22	21.22	79256	4845712.00
2016-12-21	21.22	21.25	18.99	18.99	13059908	746347072.00
2016-12-22	18.00	18.89	17.49	17.68	10258103	534437248.00
2016-12-23	17.43	17.52	15.89	16.00	8582348	418165696.00
2016-12-26	15.70	16.23	15.17	16.01	5496482	253032528.00
2016-12-27	15.99	16.26	15.75	15.94	4348957	203368080.00
2016-12-28	15.92	15.95	15.51	15.54	3993089	183943440.00
2016-12-29	15.56	16.12	15.42	15.91	4592284	213173312.00
2016-12-30	15.77	16.34	15.77	16.06	4687419	219998064.00
2017-01-03	16.02	16.75	16.02	16.54	4351772	207898192.00
2017-01-04	16.44	16.53	16.14	16.28	3101510	147549808.00
2017-01-05	16.26	16.35	15.89	15.99	2588730	122183136.00
2017-01-06	16.00	16.72	15.66	16.34	5272954	250132448.00
2017-01-09	15.95	16.96	15.90	16.86	5060313	245937760.00
2017-01-10	16.77	16.98	16.44	16.67	2723889	132674776.00
2017-01-11	16.68	17.14	16.47	16.94	3851378	189498384.00
2017-01-12	16.79	18.23	16.79	17.62	5027952	257702848.00
2017-01-13	17.52	18.57	15.92	18.07	7292164	373301888.00
