002885 京泉华 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017-06-27	5.67	6.85	5.67	6.85	7100	157454.00
2017-06-28	7.56	7.56	7.56	7.56	3000	73800.00
2017-06-29	8.34	8.34	8.34	8.34	2700	73062.00
2017-06-30	9.20	9.20	9.20	9.20	5093	151618.61
2017-07-03	10.15	10.15	10.15	10.15	17600	576400.00
2017-07-04	11.19	11.19	11.19	11.19	31400	1131342.00
2017-07-05	12.33	12.33	12.33	12.33	62549	2478816.75
2017-07-06	13.59	13.59	13.59	13.59	75633	3296842.50
2017-07-07	14.97	14.97	14.34	14.97	10521397	498062848.00
2017-07-13	14.07	14.32	13.45	13.67	9323596	412479136.00
2017-07-14	14.08	14.35	13.69	13.85	8264479	371317440.00
2017-07-17	12.45	12.72	12.44	12.44	5695677	228202752.00
2017-07-18	11.81	12.08	11.34	11.76	5447962	205986176.00
2017-07-19	11.59	11.73	11.11	11.64	4501674	165820208.00
2017-07-20	11.60	12.06	11.22	11.26	4613802	172298576.00
2017-07-21	11.18	11.24	10.90	10.96	3626508	128843568.00
2017-07-24	10.81	11.24	10.67	11.02	3287827	115944792.00
2017-07-25	10.96	11.09	10.82	10.87	2400360	84623808.00
2017-07-26	10.92	11.16	10.82	10.86	2386506	84250360.00
2017-07-27	10.77	11.30	10.48	11.14	4575146	161111152.00
2017-07-28	11.07	11.38	11.00	11.08	3616468	130397160.00
2017-07-31	11.04	11.20	10.86	11.15	2424452	86346760.00
2017-08-01	11.15	11.73	11.09	11.71	4084774	150773632.00
2017-08-02	11.60	11.81	11.13	11.16	3374019	124149480.00
2017-08-03	10.93	11.15	10.75	10.91	3051521	107270168.00
2017-08-04	10.89	10.95	10.53	10.53	2108317	73006456.00
2017-08-07	10.52	10.74	10.46	10.53	1425693	48622100.00
2017-08-08	10.50	10.58	10.30	10.39	1614782	54127924.00
2017-08-09	10.36	10.50	10.26	10.27	1223449	40961112.00
2017-08-10	10.26	10.38	10.14	10.14	1429111	47217868.00
2017-08-11	10.02	10.13	9.85	9.88	1345694	43386220.00
2017-08-14	9.88	10.14	9.88	10.07	1133396	36689484.00
2017-08-15	10.06	10.33	10.05	10.30	1326575	43728608.00
2017-08-16	10.28	10.67	10.20	10.48	2079867	70335744.00
2017-08-17	10.42	10.83	10.33	10.69	2207011	75710016.00
2017-08-18	10.71	11.34	10.67	11.13	3898782	139148592.00
2017-08-21	10.23	11.04	10.18	11.04	5763567	196825296.00
2017-08-22	10.87	11.30	10.78	11.10	4874966	173596704.00
2017-08-23	10.96	12.00	10.75	11.64	6094108	222826224.00
2017-08-24	11.43	11.95	10.98	11.00	5948774	219981840.00
