002942 新农股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018-12-05	11.25	13.90	11.25	13.90	45392	931239.88
2018-12-06	15.48	15.48	15.48	15.48	14011	318049.69
2018-12-07	17.23	17.23	17.23	17.23	27375	683553.75
2018-12-10	19.15	19.15	19.15	19.15	73668	2023660.00
2018-12-11	21.27	21.27	21.27	21.27	182123	5503757.00
2018-12-12	23.59	23.59	23.59	23.59	683304	22713024.00
2018-12-13	23.48	25.91	22.14	24.43	20315702	665641216.00
2018-12-14	23.40	23.71	22.54	22.63	13616568	445775008.00
2018-12-17	21.87	22.33	21.48	22.20	9125778	284413984.00
2018-12-18	21.95	22.55	21.60	22.24	8834597	276874016.00
2018-12-19	21.98	22.39	21.30	21.67	7899777	243938400.00
2018-12-20	21.32	21.48	20.10	20.94	10277317	305031936.00
2018-12-21	20.67	21.31	20.13	21.20	8835050	260659712.00
2018-12-24	20.94	22.07	20.85	21.67	10336197	316974752.00
2018-12-25	20.94	21.17	20.03	21.03	8213368	241213168.00
2018-12-26	20.87	23.33	20.75	21.81	12496445	387002560.00
2018-12-27	22.25	24.19	22.13	24.19	22107522	730583424.00
2018-12-28	23.02	23.25	21.57	21.57	16552184	524572768.00
2019-01-02	20.71	21.00	20.19	20.41	9945749	291586272.00
2019-01-03	20.18	20.60	18.48	18.73	11264922	311235168.00
2019-01-04	18.26	19.37	18.26	19.08	8246675	224541008.00
2019-01-07	19.20	19.50	18.87	19.29	7964528	219302944.00
2019-01-08	19.22	19.74	18.80	19.49	9002512	249695520.00
2019-01-09	19.50	21.33	19.40	20.67	13165673	379849056.00
2019-01-10	20.36	21.43	19.90	21.17	12505957	367489664.00
2019-01-11	21.31	23.16	21.02	22.37	15210579	480203328.00
2019-01-14	23.40	23.85	19.93	19.93	14625164	451109280.00
2019-01-15	19.11	21.62	19.02	21.40	12293689	354582816.00
2019-01-16	20.96	22.25	20.55	21.06	11085841	337964512.00
2019-01-17	21.02	22.87	20.60	22.21	12644635	394210976.00
2019-01-18	21.99	24.63	21.71	23.54	17806752	586568640.00
2019-01-21	23.36	25.85	22.62	24.54	15516928	523933152.00
2019-01-22	24.05	27.20	23.98	27.20	19146021	697587904.00
2019-01-23	26.63	27.87	24.87	26.79	18372268	681222592.00
2019-01-24	26.20	27.01	24.70	24.73	15324750	551626240.00
2019-01-25	24.20	24.81	22.46	22.94	12524986	419342464.00
2019-01-28	23.31	23.87	22.40	23.75	11198908	367619424.00
2019-01-29	23.03	25.27	21.56	24.53	13679440	459888192.00
2019-01-30	24.22	25.33	23.14	23.43	11766003	404312960.00
2019-01-31	22.33	23.16	20.90	20.90	10391985	320730368.00
2019-02-01	20.79	21.44	20.70	20.80	6260677	187598592.00
2019-02-11	21.10	22.23	20.95	22.13	6483258	199948272.00
2019-02-12	22.33	23.14	22.33	22.63	7840502	251324464.00
2019-02-13	22.33	23.07	22.17	22.76	7766787	248759888.00
2019-02-14	22.63	24.40	22.46	24.37	10109018	335254688.00
2019-02-15	23.93	25.08	23.53	24.10	10056561	342098112.00
2019-02-18	23.84	25.07	23.50	24.80	9737435	332259680.00
2019-02-19	24.48	24.84	23.57	24.21	8839102	301989888.00
2019-02-20	24.78	25.60	23.41	24.23	10772042	373948576.00
2019-02-21	23.40	23.77	22.25	23.13	8561338	279953760.00
2019-02-22	22.98	23.37	22.65	23.18	5146434	168007120.00
2019-02-25	23.18	24.34	23.05	24.32	8642120	289552512.00
2019-02-26	24.54	26.16	23.97	25.40	13365693	472270848.00
2019-02-27	25.02	25.62	24.48	25.20	8854219	310732576.00
2019-02-28	24.77	25.25	23.95	24.15	6448715	223041488.00
2019-03-01	24.29	24.55	23.73	24.43	5076324	172643168.00
2019-03-04	24.33	25.30	24.29	24.70	7678789	266997888.00
2019-03-05	24.44	24.69	23.87	24.63	5512731	187964864.00
2019-03-06	24.63	26.25	24.29	26.06	12172028	434261824.00
2019-03-07	25.55	28.40	25.17	26.97	13109902	489335424.00
2019-03-08	25.81	26.43	24.07	24.07	9267598	330738880.00
2019-03-11	23.89	24.70	23.66	24.66	5155603	175744432.00
2019-03-12	24.66	25.67	24.66	25.19	6003749	211551328.00
2019-03-13	25.03	25.03	23.33	23.55	6308642	214933904.00
2019-03-14	23.40	23.80	21.93	22.37	4097786	132040920.00
2019-03-15	22.48	23.08	22.44	23.06	3084843	99467696.00
2019-03-18	23.40	24.14	23.10	24.03	3601711	120169392.00
2019-03-19	24.13	24.13	23.54	23.64	3211823	107571080.00
2019-03-20	23.78	23.87	23.17	23.83	3135042	104293664.00
2019-03-21	23.79	23.87	23.42	23.60	3130516	104377248.00
2019-03-22	23.63	23.77	23.08	23.63	2791176	92555696.00
2019-03-25	23.25	23.89	23.03	23.47	2804993	93192872.00
2019-03-26	23.77	24.31	23.67	23.86	5186269	175129184.00
2019-03-27	24.02	24.10	21.71	22.71	4273839	138226480.00
2019-03-28	22.73	22.78	21.87	22.05	2766862	87573992.00
2019-03-29	21.32	22.01	20.72	21.90	4910146	148937616.00
2019-04-01	21.87	22.63	21.87	22.47	3594104	113796800.00
2019-04-02	22.63	22.94	22.22	22.40	3987859	127275272.00
2019-04-03	21.90	22.63	21.90	22.59	3106841	98375832.00
2019-04-04	22.69	23.39	22.67	23.05	4456760	145210480.00
2019-04-08	25.03	25.55	24.17	24.61	11316585	393416544.00
2019-04-09	24.99	25.94	24.00	24.40	8513273	296155840.00
2019-04-10	24.52	24.90	23.70	23.70	5351549	181177328.00
2019-04-11	23.69	23.98	22.15	22.17	5204778	168123216.00
2019-04-12	22.11	22.37	21.71	22.03	2786611	86962744.00
2019-04-15	22.36	22.40	21.73	21.80	2257903	70697752.00
2019-04-16	21.81	22.21	21.56	22.21	2143134	66733272.00
2019-04-17	22.22	22.35	21.98	22.11	2479986	77774520.00
2019-04-18	22.10	22.29	21.70	21.79	2350189	73021008.00
2019-04-19	21.79	22.53	21.34	22.26	3219848	100481504.00
2019-04-22	22.17	22.17	21.63	21.79	2136941	66127072.00
2019-04-23	21.77	21.87	21.56	21.60	1292482	39796248.00
2019-04-24	21.63	21.78	21.25	21.50	1240778	37822472.00
2019-04-25	21.40	21.77	20.73	20.88	1608295	48683008.00
2019-04-26	20.87	20.88	19.95	19.95	2133498	61641280.00
2019-04-29	20.00	20.14	18.03	18.73	2019700	55218028.00
2019-04-30	18.63	19.15	18.56	19.01	1042944	28425874.00
2019-05-06	18.63	18.63	17.17	17.50	1894708	48737780.00
2019-05-07	17.57	18.10	17.53	17.95	1382637	35546824.00
2019-05-08	17.44	18.30	17.34	18.10	1538911	39929276.00
2019-05-09	17.87	18.40	17.70	18.24	1302603	34066852.00
2019-05-10	18.37	18.68	17.88	18.65	2035200	54167336.00
2019-05-13	18.40	18.63	18.35	18.60	1004152	26744938.00
2019-05-14	18.37	18.49	18.17	18.20	971711	25681186.00
2019-05-15	18.40	18.90	18.39	18.72	1318611	34929508.00
2019-05-16	18.72	19.98	18.57	19.44	2598822	71158320.00
2019-05-17	19.13	19.73	18.59	18.68	2433811	66618848.00
2019-05-20	18.17	18.40	17.49	18.05	1397101	35732916.00
2019-05-21	18.03	18.55	17.89	18.33	1021000	26603278.00
2019-05-22	18.35	18.43	17.83	17.90	1109279	28571366.00
2019-05-23	17.90	18.22	17.73	17.76	932500	23873974.00
2019-05-24	17.58	18.08	17.58	18.00	999704	25530078.00
2019-05-27	17.96	18.99	17.81	18.79	1975699	52265016.00
2019-05-28	18.61	19.53	18.61	18.84	2345618	63502116.00
2019-05-29	19.04	19.68	19.04	19.35	2483172	68182704.00
2019-05-30	19.09	21.46	19.04	21.19	7607746	222104480.00
2019-05-31	20.62	21.98	20.23	20.85	7273347	215088192.00
2019-06-03	20.60	22.47	20.40	21.97	8159282	248246784.00
2019-06-04	20.95	21.02	19.60	20.13	5012721	143232288.00
2019-06-05	20.21	21.56	20.17	21.10	4855710	142723248.00
2019-06-06	20.93	20.93	18.95	19.26	3947729	110515208.00
2019-06-10	19.17	19.51	18.71	19.02	2352505	63586084.00
2019-06-11	19.19	19.87	19.02	19.80	3174665	87978216.00
2019-06-12	19.76	20.54	19.58	20.14	3859740	109414232.00
2019-06-13	20.11	20.12	19.43	19.57	2728147	75997176.00
2019-06-14	19.73	19.87	18.26	18.38	3003460	81013888.00
2019-06-17	18.29	18.87	18.29	18.63	1111100	29400344.00
2019-06-18	18.63	19.10	18.43	18.76	1349707	36080716.00
2019-06-19	19.17	19.25	18.83	19.04	1768943	47740880.00
2019-06-20	19.00	19.21	18.62	19.20	1960696	52906096.00
2019-06-21	19.29	19.56	19.10	19.35	2043411	56002212.00
2019-06-24	19.35	19.40	19.10	19.37	1327311	36239884.00
2019-06-25	19.30	19.32	18.63	18.79	1568411	41943760.00
2019-06-26	18.73	18.98	18.57	18.90	832600	22297132.00
2019-06-27	18.80	19.11	18.73	18.79	1164240	31213642.00
2019-06-28	18.80	18.89	18.11	18.33	1475631	38537056.00
2019-07-01	18.62	18.93	18.62	18.88	1364329	36411712.00
2019-07-02	18.90	19.14	18.80	19.03	1416544	38214752.00
2019-07-03	19.02	19.02	18.63	18.77	980611	26147326.00
2019-07-04	18.77	18.90	18.50	18.57	949637	25171984.00
2019-07-05	18.69	19.07	18.60	19.00	1109870	29740588.00
2019-07-08	19.11	19.11	18.17	18.44	1357800	35825744.00
2019-07-09	18.37	18.47	18.11	18.40	833742	21709838.00
2019-07-10	18.40	18.47	18.02	18.06	838379	21765012.00
2019-07-11	18.07	18.37	18.01	18.09	730472	18924464.00
2019-07-12	18.25	20.07	18.00	20.07	4165082	116004792.00
2019-07-15	20.48	20.50	19.17	19.77	6097910	170936784.00
2019-07-16	19.54	20.17	19.23	20.00	5456821	152124448.00
2019-07-17	19.63	20.08	19.58	19.75	3597591	100412072.00
2019-07-18	19.57	19.58	19.10	19.11	2276138	62113448.00
2019-07-19	19.26	19.48	18.63	18.63	2366291	64190132.00
2019-07-22	18.64	18.66	17.05	17.25	2814620	70594400.00
2019-07-23	17.30	17.46	17.16	17.44	1117400	27719036.00
