301158 德石股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022-01-17	25.20	28.00	25.11	25.69	23144990	624592960.00
2022-01-18	23.90	36.59	23.70	35.10	25471549	721862656.00
2022-01-19	31.60	32.80	27.38	27.75	21245286	651035456.00
2022-01-20	26.10	29.07	25.09	25.65	17182121	480463296.00
2022-01-21	24.18	24.93	21.81	21.98	14580861	354372672.00
2022-01-24	21.43	21.89	20.63	20.83	9901915	217967888.00
2022-01-25	20.60	21.51	19.85	21.15	10275601	220839936.00
2022-01-26	20.92	21.28	20.10	20.28	7726540	165253248.00
2022-01-27	20.19	20.28	17.98	17.98	9331097	184958976.00
2022-01-28	18.55	21.76	18.38	21.76	16535612	364365952.00
2022-02-07	25.10	26.29	25.10	26.29	10426655	281134496.00
2022-02-08	26.10	26.10	23.86	23.95	20670006	527228160.00
2022-02-09	23.10	24.67	22.81	24.48	16236994	402697568.00
2022-02-10	23.51	25.08	22.30	25.07	15382695	376018304.00
2022-02-11	25.80	29.10	25.60	26.08	21570571	598555776.00
2022-02-14	25.41	27.98	25.00	25.13	15123399	415428384.00
2022-02-15	24.32	26.87	23.63	26.63	13892615	361902848.00
2022-02-16	25.29	27.98	24.70	27.55	15880313	434353024.00
2022-02-17	26.78	29.10	26.25	27.60	16382733	466745920.00
2022-02-18	25.10	25.95	24.66	24.91	12299095	322943104.00
2022-02-21	24.90	25.17	23.98	24.72	9028979	229325968.00
2022-02-22	25.80	27.60	25.21	26.50	14647190	398629792.00
2022-02-23	24.87	25.59	24.48	25.10	10438942	270671904.00
2022-02-24	25.64	30.30	25.41	27.25	20706984	588886144.00
2022-02-25	25.65	28.80	25.18	26.93	16760646	465905152.00
2022-02-28	27.53	29.10	26.80	26.96	14012038	401643264.00
2022-03-01	25.95	27.85	25.60	27.85	11815041	325876160.00
2022-03-02	31.78	33.60	28.67	33.60	22988708	738383296.00
2022-03-03	36.13	40.50	35.98	40.50	14268765	570872256.00
2022-03-04	40.53	45.47	38.13	38.30	27455274	1144108544.00
2022-03-07	40.06	40.06	36.43	37.02	16280683	635533632.00
2022-03-08	34.15	36.68	31.60	36.13	17762546	618422656.00
2022-03-09	34.89	34.96	32.10	33.45	13145779	454101568.00
2022-03-10	31.17	34.36	31.17	33.31	13966771	469726720.00
2022-03-11	32.55	32.99	30.91	32.20	11427802	374716000.00
2022-03-14	30.62	31.48	29.00	29.38	11019140	342700160.00
2022-03-15	28.10	29.00	26.60	26.94	9434191	271907872.00
2022-03-16	27.32	27.60	25.70	27.21	7981288	220115888.00
2022-03-17	26.78	28.68	26.67	28.54	11534670	331418400.00
2022-03-18	29.56	30.37	28.27	29.00	13377227	403081248.00
2022-03-21	28.17	29.37	28.17	28.93	9989383	297016608.00
2022-03-22	29.79	30.76	29.28	30.13	13267091	409424992.00
2022-03-23	28.18	28.79	26.83	27.12	11365684	325207840.00
2022-03-24	27.96	28.32	26.13	26.35	9058396	254409344.00
2022-03-25	25.63	26.60	25.50	26.10	7785194	209704352.00
2022-03-28	25.10	25.54	24.05	25.37	6409100	164717696.00
2022-03-29	25.10	25.30	23.98	24.22	5152885	130921968.00
2022-03-30	23.90	24.49	23.90	24.43	3860916	96897952.00
2022-03-31	24.30	24.30	23.44	23.68	4585443	113349656.00
2022-04-01	23.65	23.93	23.05	23.32	3303920	80641440.00
2022-04-06	23.50	24.24	23.36	23.92	4203145	103744880.00
2022-04-07	23.39	23.58	22.60	22.73	3891055	92870016.00
2022-04-08	22.73	22.99	21.82	22.29	3107716	72271696.00
2022-04-11	22.22	22.60	20.95	21.28	3390184	76578328.00
2022-04-12	21.30	21.81	20.81	21.76	2664070	59303448.00
2022-04-13	22.06	23.40	21.99	22.07	7198446	168879424.00
2022-04-14	21.95	22.33	21.13	22.32	4889862	110711056.00
2022-04-15	22.41	23.30	22.28	22.53	5204746	122485968.00
2022-04-18	22.00	23.23	21.78	23.10	4966758	117515840.00
2022-04-19	23.10	25.18	22.92	24.37	9973894	249914896.00
2022-04-20	23.40	23.76	22.48	22.55	8803795	211427056.00
2022-04-21	22.00	22.38	20.47	20.64	6641209	147339424.00
2022-04-22	20.27	24.10	20.00	22.94	10269595	239099632.00
2022-04-25	22.29	22.56	19.68	19.70	7682419	168863872.00
2022-04-26	19.40	20.40	18.40	18.73	5272987	106649152.00
2022-04-27	18.14	19.50	17.76	19.50	5055598	98451880.00
2022-04-28	19.00	19.24	17.59	17.76	4854413	93133344.00
2022-04-29	18.10	19.20	18.01	18.81	4502931	88586272.00
2022-05-05	19.11	20.04	19.11	19.76	4034956	83006856.00
2022-05-06	19.20	21.34	19.05	20.41	5650157	120057128.00
2022-05-09	20.13	21.60	20.10	21.51	5740637	125091344.00
2022-05-10	20.11	21.33	20.11	21.22	5291903	114939168.00
2022-05-11	21.22	21.90	20.90	20.99	6042004	134460768.00
2022-05-12	20.98	22.09	20.60	21.20	5112981	113966760.00
2022-05-13	21.20	21.70	20.92	21.22	3447832	76769392.00
2022-05-16	21.66	21.80	20.91	21.17	3399464	75904536.00
2022-05-17	21.67	23.10	21.52	22.06	7649387	177348624.00
2022-05-18	21.35	22.90	20.43	22.65	7629088	172426416.00
